date,open,high,low,close,volume
2023-07-26,8.07,8.5,8.06,8.21,7500
2023-08-02,8.5,8.5,8.5,8.5,500
2023-08-08,8.5,8.5,8.35,8.35,4000
2023-08-15,9.18,9.18,9.18,9.18,500
2023-08-16,9.18,9.18,9.18,9.18,500
2023-08-17,9.18,9.18,9,9,7500
2023-08-18,8,10,8,8.75,5500
2023-08-21,8.8,8.8,8.8,8.8,21000
2023-08-23,9,9,9,9,4000
2023-09-01,8,8.4,8,8.4,1000
2023-09-08,9,9,7.75,7.75,3500
2023-09-13,7.02,7.02,7.02,7.02,500
2023-09-14,8.01,8.01,8.01,8.01,1500
2023-09-15,8,9.01,8,9.01,2000
2023-09-19,9,9,9,9,2000
2023-09-21,9.4,9.5,9.4,9.5,50500
2023-09-22,10.5,10.5,8.5,8.5,173500
2023-09-25,8.5,8.8,8.23,8.5,15500
2023-09-26,8.5,8.5,8.47,8.48,40000
2023-09-27,8.45,8.5,8.45,8.5,10000
2023-09-28,8.5,8.5,8.5,8.5,3000
2023-10-02,8.55,8.55,8.54,8.54,2500
2023-10-03,8.46,8.46,8.46,8.46,2000
2023-10-04,8.64,9.46,8.64,8.7,10500
2023-10-06,8.55,8.8,7.7,8.7,8000
2023-10-11,8.41,8.43,8.41,8.41,2000
2023-10-13,8.41,8.41,8.41,8.41,2000
2023-10-16,8.89,8.89,8.55,8.8,11000
2023-10-17,8,8,7.8,7.8,9000
2023-10-18,8.24,8.24,7.9,7.9,1500
2023-10-19,8.2,8.2,7.85,7.85,2000
2023-10-20,7.61,7.61,7.61,7.61,500
2023-10-23,7.99,7.99,7.8,7.8,20500
2023-10-24,7.8,7.8,7.8,7.8,10000
2023-10-25,7.75,8.05,7.75,7.87,42500
2023-10-30,8.2,8.25,8,8,6000
2023-11-01,7.9,7.9,7.9,7.9,1000
2023-11-02,8.18,8.18,8.18,8.18,500
2023-11-03,8.14,8.15,8.14,8.15,16000
2023-11-06,8.25,8.25,8.25,8.25,5000
2023-11-10,8.2,8.2,8.2,8.2,5000
2023-11-13,8.2,8.4,8.2,8.39,4500
2023-11-14,8.43,8.43,8.43,8.43,500
2023-11-15,8.48,8.48,8.48,8.48,500
2023-11-16,8.3,8.3,8.21,8.21,1500
2023-11-20,8.1,8.1,8.1,8.1,500
2023-11-21,8.48,8.49,8.48,8.49,1500
2023-11-22,8.3,8.5,8.3,8.5,37000
2023-11-27,8.1,8.25,8.1,8.25,2500
2023-11-28,8.3,8.3,8.3,8.3,5000
2023-12-01,8.1,8.5,8.1,8.5,1500
2023-12-04,8.3,8.3,8.26,8.26,4000
2023-12-05,8.15,8.45,8.1,8.45,2000
2023-12-06,8.45,8.5,8.4,8.4,13500
2023-12-07,8.4,8.6,8.4,8.6,20000
2023-12-11,8.65,8.65,8.65,8.65,11000
2023-12-13,8.4,8.5,8.4,8.46,27500
2023-12-14,8.32,8.33,8.31,8.33,10000
2023-12-15,8.67,8.67,8.67,8.67,8500
2023-12-19,8.31,8.31,8.31,8.31,9500
2023-12-20,8.55,8.55,8.39,8.39,1000
2023-12-28,8.59,8.59,8.59,8.59,500
2023-12-29,8.3,8.3,8.3,8.3,2500
2024-01-01,8.69,8.75,8.51,8.51,25500
2024-01-03,8.65,8.65,8.65,8.65,7500
2024-01-17,8.6,8.6,8.6,8.6,500
2024-01-18,7.7,8.65,7.7,8.65,1000
2024-01-25,8.8,8.8,8.8,8.8,1000
2024-02-01,9.6,9.7,9.6,9.7,2000
2024-02-02,9.9,9.9,9.05,9.7,4500
2024-02-12,8.7,8.9,8.7,8.77,2500
2024-02-13,9,9,9,9,1000
2024-02-19,9.1,9.1,9.1,9.1,1500
2024-02-22,9.51,9.55,9.5,9.55,27500
2024-02-23,9.5,9.5,9.25,9.25,2000
2024-02-26,9.35,9.35,9.35,9.35,1000
2024-02-27,9.7,9.7,9,9.01,11000
2024-02-28,9.25,9.25,9.25,9.25,500
2024-02-29,9.4,9.4,9.4,9.4,2500
2024-03-06,9,9,8.75,8.75,6000
2024-03-07,8.8,8.8,8.8,8.8,500
2024-03-08,9.7,9.7,9.7,9.7,1000
2024-03-18,9.75,9.75,9.75,9.75,500
2024-03-20,9.01,9.01,9.01,9.01,500
2024-03-21,9.35,9.35,9.1,9.12,9500
2024-04-01,9.48,9.49,9.48,9.49,1000
2024-04-02,9.4,9.5,9.4,9.5,2500
2024-04-09,9.5,9.5,9.25,9.25,4500
2024-04-15,9.4,9.4,9.21,9.3,3500
2024-04-18,9.5,9.5,9.5,9.5,500
2024-04-23,10.5,10.5,10,10.35,9000
2024-04-24,9.7,10.11,9.7,10.11,1000
2024-04-26,10.07,10.07,10.07,10.07,1500
2024-04-29,10.5,10.5,10.25,10.5,6500
2024-04-30,10.5,10.5,10.4,10.4,6000
2024-05-02,10.25,10.25,10.25,10.25,1000
2024-05-03,10.1,10.1,10.1,10.1,1500
2024-05-07,10.35,10.69,10,10.5,12500
2024-05-08,10.15,10.5,10.15,10.5,6000
2024-05-09,10.65,10.65,10.59,10.6,4000
2024-05-10,10.53,10.84,10.53,10.84,2000
2024-05-13,10.3,10.3,10.3,10.3,500
2024-05-15,10.5,10.9,10.5,10.9,7500
2024-05-16,10.9,10.9,10.5,10.5,9000
2024-05-17,10.5,10.9,10.5,10.84,11500
2024-05-20,10.6,10.6,10.6,10.6,1500
2024-05-22,10.7,10.7,10.69,10.69,1500
2024-05-23,10.79,10.79,10.75,10.75,6000
2024-05-27,11.09,11.09,11.09,10.75,2
2024-05-29,11.69,11.69,10.5,10.5,4032
2024-05-30,10.84,10.84,10.84,10.5,1
2024-05-31,10.6,10.8,10.6,10.79,10031
2024-06-03,10.3,10.79,10.3,10.79,9502
2024-06-04,10.41,10.9,10.4,10.58,1691
2024-06-05,10.7,10.88,10.6,10.6,1116
2024-06-06,10.5,10.5,10.4,10.4,5000
2024-06-07,10.9,10.9,10.5,10.5,4289
2024-06-13,10.5,10.5,10.36,10.44,4000
2024-06-14,10.35,10.6,10.35,10.44,2
2024-06-20,10.6,10.6,10.3,10.33,9750
