date,open,high,low,close,volume
2023-10-26,231.1,231.99,220.05,221.79,12900
2023-10-27,222.5,222.5,221.0,221.75,200
2023-10-31,222.0,230.0,220.0,225.22,11300
2023-11-01,225.25,229.45,220.05,224.45,9500
2023-11-02,226.0,228.0,226.0,227.99,900
2023-11-03,224.05,228.0,224.05,227.99,500
2023-11-06,228.98,238.8,228.98,232.17,12500
2023-11-07,234.99,235.0,231.01,231.46,1600
2023-11-08,232.01,232.01,230.0,230.11,4200
2023-11-10,234.94,239.0,231.21,234.43,6500
2023-11-13,235.0,237.95,230.02,232.0,3600
2023-11-14,232.0,232.0,232.0,232.0,2500
2023-11-15,232.0,232.0,227.61,228.23,1900
2023-11-16,229.0,231.95,225.9,228.0,16600
2023-11-17,227.05,229.0,227.01,228.0,2200
2023-11-20,228.9,235.1,228.9,234.18,8000
2023-11-21,237.49,237.5,233.0,233.0,2800
2023-11-22,237.49,241.99,237.49,240.9,7500
2023-11-23,242.0,256.99,242.0,251.51,20500
2023-11-24,254.98,262.95,254.98,259.88,6000
2023-11-27,256.0,263.0,253.0,262.53,3500
2023-11-28,264.99,265.0,255.0,255.12,3900
2023-11-29,255.02,255.02,255.0,255.0,200
2023-11-30,255.0,265.9,254.99,259.97,6800
2023-12-01,255.0,277.5,255.0,273.61,10000
2023-12-04,279.98,279.98,265.0,266.26,1800
2023-12-05,265.0,269.99,265.0,265.01,900
2023-12-06,261.0,273.99,261.0,266.01,3600
2023-12-07,272.59,272.66,266.1,266.1,800
2023-12-08,266.0,266.5,263.02,263.02,500
2023-12-11,272.99,275.0,263.01,263.01,500
2023-12-12,269.98,272.0,269.98,272.0,10300
2023-12-13,276.0,276.0,269.0,269.0,2900
2023-12-14,268.0,268.0,265.01,266.0,1500
2023-12-15,268.05,268.05,265.0,267.93,1700
2023-12-18,265.01,268.0,265.0,265.0,5300
2023-12-19,253.0,255.2,250.0,250.75,600
2023-12-20,257.8,260.0,257.8,258.29,4000
2023-12-26,250.5,250.5,249.5,249.5,1600
2023-12-27,249.5,250.0,249.5,250.0,300
2023-12-28,259.74,261.0,255.0,255.0,3500
2023-12-29,250.0,250.01,250.0,250.01,400
2024-01-01,254.99,254.99,254.0,254.0,300
2024-01-02,255.0,255.0,250.0,250.0,500
2024-01-03,250.0,250.0,250.0,250.0,500
2024-01-04,250.0,250.0,250.0,250.0,200
2024-01-05,257.01,257.01,257.0,257.0,200
2024-01-09,250.0,250.0,250.0,250.0,200
2024-01-10,250.0,250.26,250.0,250.26,3200
2024-01-11,256.0,266.0,256.0,266.0,500
2024-01-12,250.1,251.15,250.0,250.02,1000
2024-01-16,250.0,250.0,250.0,250.0,100
2024-01-19,251.0,251.0,246.01,247.51,400
2024-01-23,245.0,250.0,245.0,247.2,600
2024-01-31,245.0,245.0,245.0,245.0,500
2024-02-01,245.0,245.0,245.0,245.0,700
2024-02-02,245.0,250.0,245.0,248.2,3600
2024-02-07,250.0,250.0,250.0,250.0,100
2024-02-13,234.0,234.0,234.0,250.0,100
2024-02-14,244.01,244.01,244.01,244.01,300
2024-02-15,245.0,248.0,245.0,247.17,1100
2024-02-16,245.25,250.0,245.0,247.98,13700
2024-02-19,245.02,250.0,245.02,250.0,400
2024-02-26,246.0,250.0,246.0,250.0,300
2024-02-27,257.99,261.0,257.99,261.0,3400
2024-02-28,256.01,265.0,255.0,265.0,3400
2024-03-01,255.0,260.0,255.0,258.72,1600
2024-03-05,255.01,259.5,255.0,259.5,1300
2024-03-07,252.0,259.99,252.0,259.8,4000
2024-03-08,253.0,258.99,253.0,258.9,2500
2024-03-11,258.89,265.0,258.89,264.62,6900
2024-03-12,253.0,260.0,253.0,260.0,200
