date,open,high,low,close,volume
2023-01-03,1.9,1.9,1.9,1.9,500
2023-01-06,2.55,2.65,2.1,2.1,26000
2023-01-16,2.05,2.05,1.62,2.05,32000
2023-02-07,2.0,2.0,2.0,2.0,1000
2023-02-10,1.6,1.6,1.55,1.58,1000
2023-02-14,1.6,1.6,1.6,1.6,3000
2023-02-16,1.9,1.9,1.9,1.9,4000
2023-02-22,2.0,2.0,2.0,2.0,2000
2023-03-14,2.0,2.5,1.61,1.85,128500
2023-03-20,1.61,1.61,1.61,1.61,500
2023-05-11,1.85,1.85,1.85,1.85,1000
2023-05-15,1.49,2.49,1.49,2.49,3500
2023-05-16,1.81,1.81,1.81,1.81,500
2023-05-23,1.5,1.5,1.5,1.5,5000
2023-05-31,1.99,1.99,1.99,1.99,500
2023-06-06,1.73,1.73,1.73,1.73,8500
2023-06-21,1.16,1.16,1.16,1.16,500
2023-07-13,1.94,2.15,1.7,1.7,3000
2023-07-14,1.2,1.51,1.11,1.51,2000
2023-07-20,1.94,1.94,1.85,1.87,6000
2023-08-03,1.99,1.99,1.99,1.99,1000
2023-08-04,1.7,1.98,1.6,1.79,2000
2023-08-07,1.99,2.5,1.65,2.08,4500
2023-08-08,1.71,2.48,1.71,2.0,2000
2023-08-09,2.19,2.19,2.19,2.19,500
2023-08-10,1.71,2.38,1.71,2.38,1000
2023-08-11,1.57,2.4,1.57,2.4,1000
2023-08-16,1.74,2.0,1.74,2.0,1000
2023-08-21,1.83,2.19,1.83,2.19,10500
2023-08-22,1.65,1.65,1.65,1.65,500
2023-08-23,2.48,2.48,2.48,2.48,500
2023-08-25,1.51,2.47,1.51,2.47,1000
2023-08-30,1.52,1.9,1.52,1.9,1000
2023-09-19,2.39,2.39,1.61,2.25,2500
2023-09-20,1.75,2.5,1.75,2.26,2000
2023-09-21,2.38,2.38,2.38,2.38,1000
2023-09-26,2.37,2.37,1.42,2.35,1500
2023-09-27,1.43,2.4,1.43,2.4,1000
2023-09-28,1.82,2.24,1.72,2.0,24000
2023-10-02,2.26,2.26,1.72,1.77,3000
2023-10-03,1.81,2.24,1.81,2.24,4000
2023-10-04,2.23,2.23,2.23,2.23,2000
2023-10-05,1.86,2.14,1.4,2.14,6000
2023-10-06,1.81,2.21,1.77,1.87,10000
2023-10-09,1.73,1.99,1.73,1.81,7500
2023-10-13,1.72,1.9,1.11,1.72,4500
2023-10-16,1.98,1.98,1.51,1.79,13500
2023-10-17,1.7,2.5,1.69,1.81,38500
2023-10-18,1.73,1.73,1.73,1.73,1000
2023-10-25,1.99,1.99,1.79,1.79,3000
2023-10-27,1.72,1.72,1.72,1.72,500
2023-10-30,1.72,1.94,1.72,1.94,2000
2023-10-31,1.73,1.73,1.73,1.73,2500
2023-11-10,2.0,2.0,1.9,1.9,2500
2023-11-13,1.99,2.2,1.99,1.99,10500
2023-11-16,2.15,2.21,2.1,2.21,7000
2023-11-20,1.99,2.34,1.73,2.0,440500
2023-11-21,2.34,2.34,2.0,2.0,4000
2023-11-22,1.91,1.91,1.91,1.91,8000
2023-11-23,1.82,1.91,1.82,1.91,15500
2023-11-24,1.8,1.8,1.8,1.8,10500
2023-11-27,2.0,2.0,1.95,1.95,48000
2023-11-29,1.91,1.91,1.9,1.9,1500
2023-12-04,1.9,2.19,1.9,2.05,159000
2023-12-06,1.99,1.99,1.9,1.9,1000
2023-12-08,2.49,2.49,2.0,2.1,41000
2023-12-11,2.1,2.23,2.09,2.23,45500
2023-12-12,2.2,2.22,2.1,2.21,10000
2023-12-13,2.02,2.18,2.01,2.18,1500
2023-12-14,2.1,2.1,2.1,2.1,3000
2023-12-15,2.11,2.25,2.11,2.25,90500
2023-12-18,2.3,2.59,2.2,2.35,155000
2023-12-19,2.49,2.49,2.49,2.49,500
2023-12-26,1.9,2.25,1.9,2.0,4000
2023-12-27,2.45,2.45,2.45,2.45,500
2023-12-28,2.2,2.2,2.2,2.2,3000
2023-12-29,2.01,2.43,2.01,2.43,99000
2024-01-11,2.5,2.5,2.16,2.17,16000
2024-01-12,2.2,2.21,2.15,2.15,10500
2024-01-15,1.89,1.89,1.87,1.87,1000
2024-01-17,1.87,2.49,1.8,2.29,151000
2024-01-19,1.83,2.35,1.83,2.09,1000
2024-01-22,1.85,2.23,1.85,2.04,1000
2024-01-23,1.9,2.27,1.85,2.23,2500
2024-01-24,1.84,2.08,1.77,2.01,29000
