date,open,high,low,close,volume
2026-06-15,21.95,21.95,21.95,21.95,620940
2026-06-16,24.15,24.15,24.15,24.15,5171043
2026-06-17,25,26.25,24.25,25.9,189427474
2026-06-18,25.9,26.05,25.25,25.34,39714858
2026-06-19,25.3,25.3,24.55,24.73,22316462
2026-06-22,25,25.45,24.5,24.94,18498415
2026-06-23,25,25.29,24.85,24.96,11262746
2026-06-24,25.15,25.18,24.8,24.87,6782160
2026-06-29,24.7,25.55,24.37,25.07,21505281
2026-06-30,25.35,25.83,25.21,25.38,22410222
2026-07-01,25.38,25.78,25.22,25.28,12102110
2026-07-02,25.32,25.47,25.12,25.15,6355252
2026-07-03,25.25,25.3,24.91,25.09,5001944
2026-07-06,25.24,25.26,25.02,25.06,6687651
2026-07-07,25.1,25.15,24.77,24.8,6684748
2026-07-08,24.69,24.97,24.1,24.25,9893424
2026-07-09,24.15,24.94,24.01,24.57,3798070
2026-07-10,24.5,24.99,24.5,24.81,3088291
2026-07-13,24.68,25.3,24.4,25,9107886
2026-07-14,25,25,23.69,23.99,10450338
2026-07-15,23.99,24.54,23.99,24.36,2227678
2026-07-16,24.37,24.79,24.31,24.35,2833380
2026-07-17,24.48,24.59,24.09,24.17,3163543
2026-07-20,24,24.16,23.6,24.1,3319909
2026-07-21,24.25,24.45,23.9,23.96,5238605
2026-07-22,23.96,24.06,23.01,23.42,4737724
2026-07-23,23.5,23.77,23.14,23.19,2890152
2026-07-24,23.1,24.15,22.9,24.01,4172592
2026-07-27,24.31,24.75,24.2,24.27,3167298
2026-07-28,24.5,24.5,24.09,24.15,1222825
2026-07-29,24,24.09,23.8,23.91,1086103
2026-07-30,23.9,23.99,23.52,23.68,2191094
2026-07-31,23.7,24.29,23.7,24.13,3108063
2026-08-03,24.5,24.5,24,24.32,3707710
2026-08-04,24.35,24.7,24.1,24.25,2087232
2026-08-05,24.55,24.55,24.02,24.4,1871432
2026-08-06,24.4,24.54,24.26,24.31,2663579
2026-08-07,24.49,24.49,23.75,23.85,7882744
2026-08-10,24,24.17,23.88,24,2954851
2026-08-11,23.95,24.14,23.9,23.97,1672399
2026-08-12,24,24.09,23.89,23.96,1796182
2026-08-13,24.01,24.4,24.01,24.27,4288994
2026-08-17,24.5,25.4,24.11,24.3,28330404
2026-08-18,24.29,24.29,24,24.05,6317270
2026-08-19,24.1,24.31,23.89,23.93,3695118
2026-08-20,23.95,24.12,23.9,23.93,1983498
2026-08-21,24,24.11,23.9,24,3637479
2026-08-24,24.01,24.29,23.94,23.98,2321075
2026-08-25,24.01,24.08,23.9,23.97,1772527
2026-08-27,23.97,24.22,23.95,24.01,1916173
2026-08-28,24.02,24.15,23.99,24.03,2269603
2026-08-31,24.13,24.14,24,24.05,2129078
2026-09-01,24.05,24.13,24,24.02,1628060
2026-09-02,24,24.09,23.8,23.95,1945027
