date,open,high,low,close,volume
2023-01-09,37,37,37,37,1000
2023-01-10,39.75,39.75,39.75,39.75,2000
2023-01-11,39.75,40,39.75,40,3000
2023-01-12,40,40,40,40,8000
2023-01-16,37.01,37.01,37,37,1000
2023-01-23,38.94,39.77,38.94,39.77,5500
2023-01-25,42.5,42.74,42.5,42.68,4500
2023-01-26,44,45.88,44,45.75,15000
2023-02-08,46,46,44,44,1500
2023-03-01,37.65,37.65,37.65,37.65,500
2023-03-03,34.88,34.88,34.88,34.88,500
2023-03-07,32.27,32.27,32.27,32.27,1500
2023-03-08,29.85,34.69,29.85,32.54,30000
2023-03-20,30.5,30.5,30.5,30.5,500
2023-03-21,29,29,29,29,500
2023-03-22,31.17,31.17,31.17,31.17,500
2023-03-24,33.5,33.5,33.5,33.5,1500
2023-04-03,35.89,35.9,35.89,35.9,2500
2023-04-18,38.59,38.59,38.59,38.59,4000
2023-04-19,41.48,41.48,41.48,41.48,27500
2023-04-20,38.39,38.39,38.39,38.39,500
2023-04-27,36,41.26,36,41.17,27500
2023-05-03,39.9,39.9,38.5,38.95,21000
2023-05-08,39,39.9,37,37,8000
2023-05-09,36,36.05,34.85,34.85,46500
2023-05-10,36.75,37.25,36.75,36.96,3500
2023-05-15,39.49,39.6,39.34,39.43,12500
2023-05-16,36.57,36.57,36.57,36.57,500
2023-05-17,38.7,38.91,38.7,38.84,9000
2023-05-22,38.85,38.85,38.85,38.85,1000
2023-05-24,38.85,41.76,38.85,41.72,73000
2023-05-25,40.5,40.5,40.5,40.5,500
2023-05-26,37.76,37.76,37.76,37.76,1500
2023-06-14,35.15,35.15,35,35,2500
2023-06-15,33,33,32.38,32.69,2000
2023-06-19,34.7,35.14,34.7,35.14,10000
2023-06-20,37.78,37.78,36,36.89,4500
2023-06-21,39,39,39,39,500
2023-06-22,39.99,39.99,39.99,39.99,5500
2023-06-26,41.5,41.5,41.49,41.5,3500
2023-06-27,41.5,44.61,41.49,43.82,7000
2023-07-03,45,45,45,45,1000
2023-07-06,41.63,44.99,41.63,44.99,3000
2023-07-14,47.85,47.85,47.85,47.85,500
2023-07-21,42.1,42.1,42.1,42.1,500
2023-07-24,40.5,40.5,40.5,40.5,2500
2023-07-25,37.46,37.47,37.46,37.47,1500
2023-07-26,35.05,36,34.66,35.88,20500
2023-07-27,34.05,37.8,33.68,37.8,3000
2023-07-31,37.7,37.7,36,36,1500
2023-08-02,33.3,34.6,33.3,33.86,21500
2023-08-03,33.74,36.4,33.74,36.4,11500
2023-08-04,35.5,39.13,35.5,39.12,6000
2023-08-07,37,37,37,37,500
2023-08-11,34.23,34.23,34.23,34.23,2000
2023-08-15,36.8,36.8,36.8,36.8,500
2023-08-16,39.5,39.5,39.5,39.5,500
2023-08-17,38.99,42,38.99,41.66,5000
2023-08-18,41.96,44.69,41.96,44,2000
2023-08-21,40.7,40.7,40.7,40.7,500
2023-09-04,37.65,37.71,37.65,37.7,1500
2023-09-07,37.7,37.7,37.7,37.7,500
2023-09-11,35.15,35.15,34.87,34.87,1500
2023-09-13,34.87,34.87,34.87,34.87,500
2023-09-18,32.35,37.49,32.35,35,21000
2023-09-19,34.05,34.05,34,34,6000
2023-09-20,32.51,32.51,32.51,32.51,5500
2023-09-25,33.77,34.95,33.74,34.81,10000
2023-09-28,37.42,37.42,37.42,37.42,500
2023-10-09,34.61,34.61,34.61,34.61,1000
2023-10-10,37.21,37.21,37.21,37.21,500
2023-10-11,35.35,35.97,35.31,35.48,3500
2023-10-16,34.97,35,34.97,35,9000
2023-10-18,33.5,33.5,33.5,33.5,1000
2023-10-19,36.01,36.01,36.01,36.01,500
2023-11-07,38,38,36,36,4000
2023-11-10,37.45,37.45,37,37,9000
2023-11-14,37.5,37.5,37.5,37.5,1000
2023-11-27,35.3,35.3,35.3,35.3,1000
2023-11-28,35.4,37.95,35.4,37.95,10000
2023-11-29,40.8,40.8,36,37.63,76000
2023-11-30,36.6,36.6,34.81,35.99,14000
2023-12-01,37.4,38.69,37,38.69,31500
2023-12-04,39,39.99,39,39.99,19000
2023-12-05,40,40,38,38,26000
2023-12-07,37.3,37.3,37.3,37.3,1000
2023-12-08,39,39,39,39,500
2023-12-11,36.7,38.75,36.7,38.75,13000
2023-12-13,36.5,36.5,35.88,35.88,3000
2023-12-14,36.5,38.57,36.5,38.57,15000
2023-12-15,41.46,41.46,37,38,8500
2023-12-19,36.02,36.05,36,36,3500
2023-12-29,36.5,36.5,36.5,36.5,500
2024-01-01,36,36,36,36,1000
2024-01-02,36,36,36,36,500
2024-01-05,38.65,38.65,38.65,38.65,500
2024-01-08,40.8,40.8,36.5,36.5,3500
2024-01-10,36,36,35,35,3000
2024-01-12,34.35,35,34.35,35,1500
2024-01-15,35,35,35,35,500
2024-01-16,33.25,35,33.25,35,1000
2024-01-25,34,34,34,34,500
2024-01-30,33.1,33.1,33.1,33.1,500
2024-01-31,33.6,33.6,33.6,33.6,500
2024-02-06,33.5,33.98,32.3,33.98,2500
2024-02-07,35.43,36.53,35.43,36.53,17500
2024-02-09,34.05,36,34,36,2500
2024-02-12,34.76,34.76,34.75,34.75,1000
2024-02-15,34.75,37.36,34.5,37.36,22000
2024-02-20,34.56,36,34.56,34.6,3500
2024-02-21,36.88,36.88,36.88,36.88,500
2024-02-26,34.5,39.5,34.5,38.33,6000
2024-02-28,39.95,39.95,39.95,39.95,500
2024-03-05,37.01,37.01,37.01,37.01,500
2024-03-08,37.1,37.1,37.1,37.1,500
2024-03-11,39.8,39.85,39.8,39.83,1000
2024-03-14,36.86,36.86,36.86,36.86,500
2024-03-21,38.89,39.6,38.89,39.05,2500
2024-04-25,36.25,36.25,36.2,36.2,2000
2024-05-03,34.15,34.15,33.5,33.87,5000
2024-05-06,33.5,33.8,33.5,33.8,2500
2024-05-07,33,34.5,33,34.5,1500
2024-05-08,35.94,35.94,35.94,35.94,500
2024-05-10,34,34.25,34,34.25,2000
2024-05-16,35,36.81,35,36.81,6000
2024-05-17,39.57,39.57,39.5,39.57,6500
2024-05-22,40,40,39.3,39.3,2500
2024-05-27,38,38,37,37.91,550
2024-05-29,35.5,35.9,34.88,35.52,109802
2024-05-30,35.01,35.01,35,35,2500
2024-05-31,35,35,35,35,1501
2024-06-03,35.15,35.15,35.15,35.15,500
2024-06-04,35.15,35.15,35.15,35.15,1
2024-06-05,36.86,36.86,35,35,1050
