date,open,high,low,close,volume
2024-01-10,10.65,10.65,10.49,10.51,137000
2024-01-11,10.68,10.68,10.52,10.55,107000
2024-01-12,10.67,10.68,10.45,10.47,125500
2024-01-15,10.52,10.6,10.48,10.48,125000
2024-01-16,10.5,10.63,10.31,10.6,47000
2024-01-17,10.6,10.71,10.55,10.56,174500
2024-01-18,10.53,10.55,10.45,10.5,153500
2024-01-19,10.53,11.1,10.5,10.97,494500
2024-01-22,10.75,11.12,10.75,11.02,695500
2024-01-23,11.05,11.2,10.9,10.99,875500
2024-01-24,11.06,11.15,10.9,10.96,204000
2024-01-25,11.0,11.04,10.85,10.89,432000
2024-01-26,10.9,11.0,10.86,10.91,449500
2024-01-29,10.95,11.88,10.95,11.78,7870000
2024-01-30,11.74,11.75,11.14,11.21,2968500
2024-01-31,11.43,12.21,11.39,12.21,11609000
2024-02-01,13.21,13.21,12.85,13.17,28110500
2024-02-02,13.1,13.3,12.77,12.91,10118500
2024-02-06,12.9,13.0,12.6,12.91,6679000
2024-02-07,12.87,12.98,12.8,12.92,2045500
2024-02-09,12.85,12.99,12.62,12.82,4034500
2024-02-12,12.81,12.87,12.63,12.74,2237500
2024-02-13,12.65,12.8,12.5,12.7,3187500
2024-02-14,12.74,12.89,12.68,12.79,1908000
2024-02-15,12.72,12.82,12.7,12.76,1169500
2024-02-16,12.7,12.8,12.69,12.7,1397000
2024-02-19,12.65,12.86,12.65,12.81,2183500
2024-02-20,12.75,13.05,12.75,12.95,3014000
2024-02-21,13.03,13.61,13.0,13.42,5819500
2024-02-22,13.5,13.6,13.35,13.53,11434000
2024-02-23,13.5,13.5,13.33,13.38,4171500
2024-02-26,13.37,13.55,13.31,13.41,5731000
2024-02-27,13.39,13.5,13.15,13.22,10040000
2024-02-28,10.31,10.34,9.95,10.02,4237500
2024-02-29,10.15,10.19,9.93,10.04,1179500
2024-03-01,10.04,10.1,9.95,9.97,1549000
2024-03-04,10.09,10.14,9.8,10.0,1464000
2024-03-05,10.0,10.09,9.82,9.93,555000
2024-03-06,9.99,10.17,9.9,10.01,2395500
2024-03-07,10.0,10.05,9.88,9.91,542500
2024-03-08,10.0,10.0,9.86,9.9,334500
2024-03-11,9.9,9.98,9.82,9.84,586500
2024-03-12,9.83,9.88,9.61,9.64,586500
2024-03-13,9.75,9.8,9.48,9.51,1052000
2024-03-14,9.69,9.7,9.55,9.57,254500
2024-03-15,9.6,9.61,9.47,9.48,463000
2024-03-18,9.49,9.64,9.4,9.43,474500
2024-03-19,9.5,9.55,9.41,9.47,879500
2024-03-20,9.56,9.58,9.5,9.54,150500
2024-03-21,9.59,9.59,9.43,9.5,601000
2024-03-22,9.55,9.6,9.46,9.48,301000
2024-03-25,9.5,9.57,9.49,9.55,249000
2024-03-26,9.5,9.75,9.46,9.7,767500
2024-03-27,9.69,9.8,9.65,9.73,339500
2024-03-28,9.73,9.86,9.7,9.75,359000
2024-03-29,9.87,9.87,9.61,9.71,263500
2024-04-01,9.75,9.8,9.65,9.71,136000
2024-04-02,9.77,9.8,9.67,9.71,192000
2024-04-03,9.72,9.75,9.67,9.73,97000
2024-04-04,9.72,9.8,9.7,9.75,703000
2024-04-08,9.74,10.3,9.5,10.24,2395500
2024-04-09,10.26,10.29,10.1,10.12,275000
2024-04-15,9.86,10.15,9.86,10.05,518000
2024-04-16,10.03,10.14,9.9,10.04,1220000
2024-04-17,10.05,10.19,9.99,10.07,612500
2024-04-18,10.06,10.1,10.0,10.01,276000
2024-04-19,10.0,10.09,9.98,10.04,449000
2024-04-22,10.08,10.1,10.0,10.09,1298000
2024-04-23,10.09,10.2,10.02,10.1,916500
2024-04-24,10.19,10.2,10.1,10.13,660000
2024-04-25,10.2,10.25,10.11,10.13,1233500
2024-04-26,10.1,10.24,9.99,10.19,573500
2024-04-29,10.04,10.26,10.0,10.15,435000
2024-04-30,10.16,10.25,10.06,10.19,1174000
2024-05-02,10.18,10.37,10.17,10.23,3167000
2024-05-03,10.25,10.29,10.11,10.24,759500
2024-05-06,10.28,10.28,10.1,10.19,1331000
2024-05-07,10.28,10.28,10.17,10.23,464500
2024-05-08,10.19,10.44,10.18,10.39,3302500
2024-05-09,10.35,10.49,10.35,10.42,668500
2024-05-10,10.49,10.75,10.45,10.69,1069000
2024-05-13,10.89,11.08,10.7,10.92,2320500
2024-05-14,11.04,11.08,10.92,10.96,766500
2024-05-15,11.01,11.17,10.8,10.98,1196500
2024-05-16,11.0,11.35,10.93,11.32,1150000
2024-05-17,11.39,12.32,11.39,12.25,9957500
2024-05-20,12.48,12.54,11.8,11.99,2563500
2024-05-21,11.85,11.88,11.35,11.51,2562500
2024-05-22,11.55,11.87,11.45,11.65,689500
2024-05-23,11.65,11.73,11.5,11.54,664000
2024-05-24,11.65,11.85,11.42,11.64,840000
2024-05-27,11.77,11.79,11.45,11.55,493217
2024-05-29,11.63,11.63,11.23,11.28,844796
2024-05-30,11.58,11.7,11.16,11.3,1145048
2024-05-31,11.32,11.48,11.2,11.29,514930
2024-06-03,11.44,11.44,11.21,11.22,457582
2024-06-04,11.39,11.4,11.15,11.2,497834
2024-06-05,11.18,11.25,11.0,11.03,731692
2024-06-06,11.03,11.19,11.0,11.04,401635
2024-06-07,10.95,11.0,10.7,10.96,551190
2024-06-10,10.85,10.9,10.75,10.82,616221
2024-06-11,10.82,10.91,10.6,10.62,504551
2024-06-12,10.96,10.96,10.55,10.71,143718
2024-06-13,10.65,11.08,10.65,10.94,862901
2024-06-14,11.0,11.15,10.9,11.01,499346
2024-06-20,11.05,11.85,11.05,11.6,1665933
2024-06-21,11.55,11.95,11.52,11.59,1797524
2024-06-24,11.65,11.83,11.5,11.7,668979
2024-06-25,11.65,11.75,11.65,11.71,500281
2024-06-26,11.6,11.8,11.6,11.65,932127
2024-06-27,11.65,11.85,11.6,11.65,1119561
2024-06-28,11.66,11.94,11.66,11.91,686218
2024-07-01,11.9,12.25,11.86,12.04,786631
2024-07-02,12.0,12.28,12.0,12.2,737079
2024-07-03,12.15,13.3,12.15,13.22,9903961
2024-07-04,13.1,13.4,12.91,13.04,1374058
2024-07-05,13.3,14.21,12.96,13.67,6790500
2024-07-08,13.7,13.99,13.51,13.79,2034648
2024-07-09,13.79,13.79,13.42,13.49,1571356
2024-07-10,13.73,13.75,13.13,13.27,531805
2024-07-11,13.15,13.63,13.15,13.36,572226
2024-07-12,13.4,13.46,13.1,13.34,522858
2024-07-15,13.54,13.7,13.36,13.44,228542
2024-07-18,13.44,13.5,13.2,13.4,804593
2024-07-19,13.49,13.49,12.97,13.07,977024
2024-07-22,13.0,13.18,12.71,12.97,1113630
2024-07-23,13.33,13.35,13.0,13.27,505343
2024-07-24,13.38,14.0,13.05,13.84,5397428
2024-07-25,13.85,13.85,13.36,13.42,723762
2024-07-26,13.48,13.7,13.25,13.32,177298
2024-07-29,13.33,13.5,13.26,13.36,258483
2024-07-30,13.5,13.5,12.99,13.06,228903
2024-07-31,13.04,13.63,13.02,13.21,279678
2024-08-01,13.07,13.5,13.0,13.2,403107
2024-08-02,13.25,13.44,13.2,13.36,312229
2024-08-05,13.13,13.48,13.1,13.26,493047
2024-08-06,13.47,13.5,13.05,13.1,352153
2024-08-07,13.35,13.35,13.11,13.3,697870
2024-08-08,13.2,13.5,13.11,13.25,186597
2024-08-09,13.25,14.1,13.15,13.65,1124109
2024-08-12,13.42,14.3,13.41,14.23,8155027
2024-08-13,14.27,14.39,13.88,14.05,451762
2024-08-15,13.95,15.46,13.9,15.12,6991099
2024-08-16,15.12,15.49,14.95,15.05,1253797
2024-08-19,15.05,16.56,15.0,16.46,7974798
2024-08-20,16.6,16.6,15.4,15.87,3543347
