date,open,high,low,close,volume
2024-01-16,75.7,75.96,72.25,74.3,2327332
2024-01-17,74.37,75.85,73.25,73.82,2480933
2024-01-18,73.5,73.5,71,73.13,1718120
2024-01-19,73.5,74.29,70.75,71.29,1445121
2024-01-22,71.99,75.85,71.5,75.2,3595172
2024-01-23,74.99,74.99,72.5,73.84,1985409
2024-01-24,73.9,75.75,72.76,73.39,6385130
2024-01-25,73.99,74.1,70.6,71.55,2276829
2024-01-26,71.01,72.1,70.25,70.51,1974638
2024-01-29,70.5,70.5,67.38,68.16,1792357
2024-01-30,67.6,68.97,64.11,65.18,6358702
2024-01-31,65.99,67.25,64.82,65.27,4091659
2024-02-01,65.38,66.45,64.25,65.62,2344720
2024-02-02,65.89,66.42,65.4,65.73,1415498
2024-02-06,66,69.5,66,68.51,4109688
2024-02-07,69,69.98,68.55,69.55,1621853
2024-02-09,67.01,67.91,64.33,66.1,4581758
2024-02-12,66,66.9,61.15,61.9,4826460
2024-02-13,60.15,62.31,57.53,60.64,7745872
2024-02-14,61.33,65.19,61.33,65.19,3468710
2024-02-15,66.49,67.75,62.16,63.68,6439106
2024-02-16,63,63.95,60.13,60.91,2300580
2024-02-19,60.5,63.79,58.6,63.48,2832977
2024-02-20,63.4,64.7,62.6,63.02,2442642
2024-02-21,64.9,65,63.4,64.79,2139717
2024-02-22,64.99,65.7,64.51,65.15,1159967
2024-02-23,65,66.5,65,66.38,1887940
2024-02-26,67,68,66.4,66.57,3466777
2024-02-27,67.25,68.1,66.51,66.93,2279933
2024-02-28,66.9,68.5,66.9,67.81,2843881
2024-02-29,68.16,69.1,67.7,68.3,2610965
2024-03-01,68.3,68.8,66.58,67.35,1718507
2024-03-04,68,69,67.12,68.77,2572524
2024-03-05,69,69,64.65,66.95,3536749
2024-03-06,67.16,67.88,65.5,65.81,4401245
2024-03-07,65.6,66,64.8,65.6,739416
2024-03-08,66.4,66.45,65.1,65.67,814726
2024-03-11,65.65,66.36,65.25,65.58,979432
2024-03-12,65.98,65.98,63.6,63.74,815850
2024-03-13,63.99,64.5,61.63,62.56,1167170
2024-03-14,62.88,64.5,62.5,64.02,746885
2024-03-15,64.45,64.5,63.01,63.24,429261
2024-03-18,63.39,64.4,63.02,63.67,452179
2024-03-19,63.67,64.2,62.9,63.34,511485
2024-03-20,63.95,64.1,62.65,62.95,691348
2024-03-21,63,63.73,61.5,62.01,1283736
2024-03-22,61.99,62.45,60.8,61.04,704785
2024-03-25,62,62.24,61.6,61.79,587163
2024-03-26,62,62,61.05,61.2,298540
