date,open,high,low,close,volume
2026-07-13,15,15,15,15,212360
2026-07-14,16.5,16.5,16.5,16.5,157666
2026-07-15,16.99,18.15,14.85,16.56,5855618
2026-07-16,16.5,17.24,15.75,16.88,898722
2026-07-17,16.75,17.08,16.25,16.9,206086
2026-07-20,16.26,16.9,16.26,16.83,112427
2026-07-21,16.89,17.26,16.5,16.63,458834
2026-07-22,16.63,17.31,16.25,16.32,434192
2026-07-23,16.7,16.7,16.2,16.25,90128
2026-07-24,16.25,16.5,16.01,16.27,48007
2026-07-27,16.39,16.5,16,16.15,181172
2026-07-28,16.3,16.4,15.3,15.94,534866
2026-07-29,15.9,16,15.5,15.65,116015
2026-07-30,15.54,15.97,15.4,15.95,76336
2026-07-31,15.29,15.92,15.29,15.52,87472
2026-08-03,15.61,15.96,15.61,15.66,17207
2026-08-04,15.99,15.99,15,15.06,57355
2026-08-05,15.3,15.6,14.8,15.15,212382
2026-08-06,15.15,15.15,14.8,14.82,30605
2026-08-07,14.8,15.25,14,14.76,32248
2026-08-10,14.5,15.2,14.5,14.97,89264
2026-08-11,14.76,15.15,14.75,15,33451
2026-08-12,15.15,15.95,14.92,15,20111
2026-08-13,15,15.5,14.53,15.43,64693
2026-08-17,15.5,15.5,14.55,15.04,41875
2026-08-18,15.45,15.45,14.61,14.9,15041
2026-08-19,14.4,15.25,14.4,14.67,17934
2026-08-20,15.24,15.24,14.45,14.49,26995
2026-08-21,14.88,14.88,14.42,14.49,11482
2026-08-24,14.49,14.95,13.8,13.99,255813
2026-08-25,13.9,14.3,12.82,13.13,428228
2026-08-27,13.06,14.01,13.06,13.5,335809
2026-08-28,13.5,13.74,13.5,13.5,173547
2026-08-31,13.06,13.9,13.06,13.5,214844
2026-09-01,13.78,14.25,13.5,13.85,97578
2026-09-02,13.5,14.1,13.21,13.45,344060
2026-09-03,13.89,13.89,13.49,13.6,24327
