date,open,high,low,close,volume
2024-01-09,14.79,14.8,14.65,14.8,3500
2024-01-10,14.25,14.6,13.95,14.0,117500
2024-01-11,14.0,14.0,13.95,13.95,58000
2024-01-12,14.0,14.0,13.5,13.64,147500
2024-01-15,14.45,14.66,13.66,13.66,12500
2024-01-16,13.26,13.86,13.2,13.82,18000
2024-01-17,13.31,13.7,13.31,13.7,2000
2024-01-18,13.11,13.73,13.0,13.6,5238500
2024-01-19,13.03,13.73,13.02,13.64,38000
2024-01-22,13.85,14.0,13.7,13.73,492000
2024-01-23,13.75,14.1,13.75,14.05,475000
2024-01-24,14.1,14.3,14.08,14.25,330000
2024-01-25,14.3,14.55,14.0,14.25,354000
2024-01-26,14.0,14.35,13.6,14.15,219000
2024-01-29,14.1,14.1,13.52,13.81,19500
2024-01-30,13.79,14.1,13.79,14.0,428500
2024-01-31,14.0,14.85,13.9,14.7,307000
2024-02-01,14.31,15.25,14.3,14.75,197500
2024-02-02,15.0,15.05,14.7,15.0,298000
2024-02-06,14.66,14.66,14.66,14.66,1000
2024-02-07,15.0,15.0,14.5,14.8,23000
2024-02-09,14.6,14.8,14.6,14.8,1500
2024-02-12,14.21,14.21,13.99,14.0,67000
2024-02-13,13.51,14.55,12.96,14.5,239500
2024-02-15,13.81,14.0,13.7,13.95,20000
2024-02-16,13.77,14.7,13.2,14.29,7000
2024-02-19,13.31,13.5,13.22,13.29,177000
2024-02-20,13.49,13.5,13.06,13.18,16500
2024-02-21,13.44,13.7,13.22,13.35,33500
2024-02-22,13.26,13.5,13.26,13.35,16000
2024-02-23,13.2,13.99,13.2,13.65,28500
2024-02-26,13.74,14.0,13.74,13.97,129500
2024-02-27,13.52,13.52,13.5,13.5,3500
2024-02-28,13.21,13.5,13.21,13.5,3000
2024-02-29,13.9,13.9,13.25,13.75,22000
2024-03-01,13.4,13.99,12.75,13.22,44500
2024-03-04,13.42,13.5,13.42,13.5,46500
2024-03-05,13.5,13.5,13.3,13.3,22500
2024-03-06,13.5,13.51,13.49,13.5,84500
2024-03-07,13.7,13.7,13.2,13.46,33500
2024-03-08,13.27,13.45,13.27,13.38,14500
2024-03-11,13.26,13.5,13.26,13.5,43000
2024-03-12,13.45,13.45,13.2,13.27,9000
2024-03-13,13.12,13.21,12.95,12.97,61000
2024-03-14,13.02,13.4,13.0,13.23,171000
2024-03-15,13.13,13.4,13.08,13.1,7500
2024-03-18,13.21,13.45,13.21,13.44,5500
2024-03-19,13.43,13.5,13.43,13.5,31500
2024-03-20,13.5,13.7,13.5,13.5,18000
2024-03-21,13.36,13.45,13.35,13.4,3000
2024-03-22,13.33,13.33,13.25,13.25,18500
2024-03-25,13.11,13.47,13.11,13.3,4000
2024-03-26,13.3,13.3,13.2,13.28,3500
2024-03-27,13.3,14.0,13.3,13.81,119000
2024-03-28,13.26,14.0,13.25,13.89,155500
2024-03-29,13.5,14.0,13.32,13.88,63000
2024-04-01,13.7,13.7,13.4,13.55,31500
2024-04-02,13.35,13.35,13.0,13.11,93000
2024-04-03,13.25,13.5,13.25,13.5,51500
2024-04-04,13.26,13.26,13.04,13.11,45000
2024-04-08,13.1,13.5,13.1,13.5,154500
2024-04-09,13.27,13.27,13.0,13.18,72000
2024-04-15,13.05,13.25,13.05,13.13,153500
2024-04-16,13.1,13.35,12.96,12.99,279500
2024-04-17,12.82,13.0,12.68,12.99,85000
2024-04-18,12.81,12.87,12.7,12.81,37500
2024-04-19,12.57,12.85,12.5,12.54,218000
2024-04-22,12.6,12.7,12.6,12.7,28500
2024-04-23,12.52,12.75,12.39,12.66,31500
2024-04-24,12.61,12.9,12.6,12.7,60500
2024-04-25,12.7,12.8,12.39,12.44,348500
2024-04-26,12.03,12.7,12.03,12.5,71500
2024-04-29,12.5,12.5,12.39,12.4,51500
2024-04-30,12.31,12.7,12.25,12.56,209000
2024-05-02,12.7,12.7,12.5,12.7,50500
2024-05-03,12.7,12.8,12.6,12.77,65500
2024-05-06,12.89,13.77,12.89,13.77,236500
2024-05-07,14.1,14.8,13.75,14.79,489000
2024-05-08,14.94,14.94,14.01,14.58,120000
2024-05-09,14.74,14.74,14.21,14.5,126000
2024-05-10,14.96,15.0,14.55,14.9,343000
2024-05-13,14.6,16.02,14.6,16.02,520000
2024-05-14,16.45,17.0,15.7,16.64,664500
2024-05-15,16.6,16.9,16.01,16.28,762000
2024-05-16,16.0,16.5,15.51,16.4,120000
2024-05-17,16.2,16.75,16.0,16.52,353000
2024-05-20,16.86,16.86,16.0,16.09,83000
2024-05-21,16.2,16.2,15.8,15.97,15500
2024-05-22,15.67,16.09,15.5,15.51,29000
2024-05-23,15.75,15.8,15.25,15.71,117000
2024-05-24,15.35,15.65,15.0,15.6,78000
2024-05-27,15.6,15.6,15.0,15.05,59211
2024-05-29,15.75,15.75,14.53,14.7,7563
2024-05-30,15.57,15.57,14.51,14.66,15073
2024-05-31,15.23,15.35,14.53,15.0,18483
2024-06-03,15.0,15.44,14.55,14.78,411777
2024-06-04,14.8,14.99,14.7,14.7,3948
2024-06-05,15.38,15.38,14.25,15.0,10094
2024-06-06,14.6,15.0,14.5,14.96,31428
2024-06-07,14.26,15.25,14.16,14.84,11431
2024-06-10,15.24,15.24,14.27,14.5,29507
2024-06-11,15.2,15.25,14.5,14.54,12562
2024-06-12,14.5,15.55,14.5,15.16,213456
2024-06-13,15.65,15.75,14.52,15.55,119646
2024-06-14,15.94,15.94,14.5,15.08,38828
2024-06-20,15.75,15.75,14.75,15.0,46524
2024-06-21,14.36,15.74,14.36,14.88,4197
2024-06-24,15.0,15.5,14.75,15.1,11038
2024-06-25,15.7,15.7,15.0,15.1,8703
2024-06-26,15.39,15.65,15.0,15.54,16823
2024-06-27,15.73,15.74,15.18,15.54,1233
2024-06-28,15.71,16.4,15.0,15.92,187208
2024-07-01,16.29,16.39,15.75,15.75,16006
2024-07-02,16.0,16.0,15.92,15.92,49601
2024-07-03,15.8,15.8,15.4,15.4,8447
2024-07-04,15.27,16.1,15.0,15.0,33014
2024-07-05,15.94,15.94,15.25,15.3,39776
2024-07-08,15.86,16.0,15.25,15.64,5359
2024-07-09,15.95,15.95,15.5,15.74,20967
2024-07-10,15.4,17.24,15.4,17.24,1700045
2024-07-11,17.61,18.88,17.6,18.88,1570344
2024-07-12,20.67,20.67,19.99,20.67,3662016
2024-07-15,22.63,22.63,21.0,22.63,3153831
2024-07-18,24.05,24.78,22.99,24.78,3964900
2024-07-19,26.0,27.13,24.5,26.68,8548507
2024-07-22,29.34,29.35,28.4,29.35,3534738
2024-07-23,32.28,32.29,30.99,32.29,4284079
2024-07-24,34.5,35.24,29.06,32.19,7660481
2024-07-25,32.98,33.0,31.0,31.69,3342835
2024-07-26,31.11,32.5,29.01,31.11,3264345
2024-07-29,31.2,34.22,31.05,33.98,7388973
2024-07-30,34.74,35.1,32.25,32.72,2953685
2024-07-31,32.45,35.99,32.06,35.81,8931714
2024-08-01,35.49,38.92,35.4,38.19,8913665
