date,open,high,low,close,volume
2026-05-21,20.79,20.79,19.85,20.79,56524085
2026-05-22,21.47,22.4,20.32,21.16,80101514
2026-05-25,21.5,21.87,20.72,20.78,21374401
2026-05-29,20.75,20.75,20.11,20.16,17160390
2026-06-01,20.15,20.16,19.51,19.58,10716739
2026-06-02,19.5,19.65,19.11,19.29,10783164
2026-06-03,19.3,20.77,19.06,20.13,25238548
2026-06-04,20.31,20.43,20.06,20.1,4848105
2026-06-05,20.15,20.64,20.15,20.18,10642580
2026-06-08,20.06,20.44,19.74,19.91,4617266
2026-06-09,20.1,20.3,19.95,20.01,4349940
2026-06-10,19.85,20.05,19.55,19.69,4331730
2026-06-11,19.75,21.66,19.75,21.66,53704295
2026-06-12,22.5,23.45,21.91,22.11,52648271
2026-06-15,22.4,22.79,21.61,22.38,19870477
2026-06-16,22.6,22.68,22.15,22.3,14521777
2026-06-17,22.2,22.4,21.8,21.86,10709205
2026-06-18,21.9,22.18,21.58,21.64,12001861
2026-06-19,21.84,21.84,20.9,21.08,6229739
2026-06-22,21.15,21.23,20.45,20.52,13943156
2026-06-23,20.51,21.35,20.42,20.77,12141217
2026-06-24,20.9,20.95,20.35,20.41,8729922
2026-06-29,19,19.95,18.37,19.49,104435520
2026-06-30,19.55,20.09,19.21,19.56,18546830
2026-07-01,19.8,19.84,19.14,19.2,15254417
2026-07-02,19.13,19.34,18.91,19.06,8668761
2026-07-03,19.1,19.19,18.99,19.01,7093669
2026-07-06,19.05,19.42,18.96,19,26304562
2026-07-07,19,19.05,18.75,18.78,7516197
2026-07-08,18.59,19.15,18.38,18.65,14945494
2026-07-09,18.52,18.9,18.36,18.51,7924220
2026-07-10,18.5,19.6,18.48,19.28,32760970
2026-07-13,19.1,19.1,18.81,18.85,7405021
2026-07-14,18.44,18.7,17.9,17.98,10091924
2026-07-15,18.2,18.48,18.12,18.21,3417151
2026-07-16,18.28,18.53,18.2,18.29,4558858
2026-07-17,18.2,18.33,17.94,17.98,3528148
2026-07-20,17.81,17.88,17.12,17.53,6607746
2026-07-21,17.74,17.95,17.42,17.5,3098737
2026-07-22,17.25,17.49,16.98,17.03,2800643
2026-07-23,17.03,17.37,16.7,16.76,2359936
2026-07-24,16.5,16.95,16.15,16.36,3193192
2026-07-27,16.9,17.65,16.72,17.28,8311533
2026-07-28,17.44,17.44,17,17.05,3087234
2026-07-29,17.04,17.04,16.8,16.83,2448192
2026-07-30,16.75,16.85,16.4,16.52,2687375
2026-07-31,16.6,16.78,16.55,16.61,1267052
2026-08-03,16.81,16.98,16.61,16.67,2954870
2026-08-04,16.77,17.2,16.57,16.72,5805277
2026-08-05,17,17.04,16.38,16.42,15474387
2026-08-06,16.5,17,16.5,16.95,9243368
2026-08-07,17.02,17.25,16.8,16.98,9226986
2026-08-10,17.11,17.25,17.01,17.05,5098111
2026-08-11,16.94,17.09,16.8,16.83,3032141
2026-08-12,16.9,16.95,16.7,16.78,2047006
2026-08-13,16.75,16.94,16.7,16.71,2645333
2026-08-17,17.1,17.46,17,17.14,10740860
2026-08-18,17.14,17.39,16.65,16.7,6129676
2026-08-19,16.7,16.95,16.62,16.81,2285740
2026-08-20,16.65,16.9,16.65,16.69,2348214
2026-08-21,16.7,16.85,16.49,16.55,3021106
2026-08-24,16.65,16.8,16.43,16.6,2066292
2026-08-25,16.6,16.68,16.5,16.53,1584895
2026-08-27,16.55,16.64,16.28,16.35,1466114
2026-08-28,16.4,16.45,16.25,16.28,1907090
2026-08-31,16.3,16.47,16.15,16.22,2130704
