date,open,high,low,close,volume
2024-01-15,19.35,19.4,19.26,19.29,331000
2024-01-16,19.29,19.35,19.2,19.34,58500
2024-01-17,19.01,19.35,19.01,19.26,80500
2024-01-18,19.25,19.25,19,19.2,193000
2024-01-19,19.25,19.41,19.1,19.33,97000
2024-01-22,19.33,19.33,19.1,19.29,153500
2024-01-23,19.35,19.35,19.12,19.27,77000
2024-01-24,19.27,19.35,19.25,19.27,81500
2024-01-25,19.38,19.5,19.3,19.35,604500
2024-01-26,19.13,19.44,19.1,19.25,64000
2024-01-29,19.35,19.4,19.25,19.32,142500
2024-01-30,19.34,19.38,19.1,19.13,232000
2024-01-31,19.25,19.25,18.63,19.1,269500
2024-02-01,19,19.19,19,19.09,75500
2024-02-02,19.24,19.35,19.07,19.1,289500
2024-02-06,19.2,20.2,19.2,20.1,629000
2024-02-07,20,20.08,19.55,19.64,976500
2024-02-09,19.2,19.69,19.12,19.4,69500
2024-02-12,19.4,20.86,18,18.3,2654500
2024-02-13,18.1,18.7,17.83,18.62,705500
2024-02-14,18.98,19,18.5,18.85,253000
2024-02-15,19.29,19.29,18.67,18.68,226000
2024-02-16,18.7,19.2,18.55,18.71,109000
2024-02-19,18.51,19,18.51,18.74,171000
2024-02-20,19,19.13,18.8,18.8,100000
2024-02-21,18.92,19.05,18.92,19,121000
2024-02-22,18.95,19.15,18.95,19.01,83000
2024-02-23,19,19.19,19,19.06,62500
2024-02-26,18.96,19.26,18.96,19.2,201000
2024-02-27,19.1,19.5,19.1,19.41,208500
2024-02-28,19.41,19.5,19.26,19.3,84500
2024-02-29,19.3,19.45,19.22,19.24,182500
2024-03-01,19.24,19.9,19.24,19.85,346000
2024-03-04,20.03,20.09,19.64,19.91,584500
2024-03-05,19.8,19.8,19.52,19.74,188000
2024-03-06,19.7,19.8,19.5,19.65,153000
2024-03-07,19.65,19.7,19.6,19.7,93000
2024-03-08,19.7,20.64,19.65,19.89,274500
2024-03-11,19.81,20.6,19.78,20.15,265500
2024-03-12,20.05,20.1,19.91,20,68000
2024-03-13,20.79,20.79,19.9,19.94,171000
2024-03-14,20.47,20.5,20.14,20.25,422000
2024-03-15,20.5,20.65,20.25,20.55,220000
2024-03-18,20.5,20.62,20.4,20.46,186000
2024-03-19,20.5,20.7,20.28,20.44,188000
2024-03-20,20.55,20.9,20.26,20.69,255500
2024-03-21,20.99,21.13,20.21,20.27,544500
2024-03-22,20.15,21.05,19.9,20.62,956500
2024-03-25,20.88,20.88,20.45,20.51,233000
2024-03-26,20.51,20.7,20.25,20.33,152000
2024-03-27,20.21,20.39,20.16,20.23,211500
2024-03-28,20.58,20.58,19.99,20.03,475000
2024-03-29,20.55,20.58,19.46,19.67,1022500
2024-04-01,19.6,20.14,19.55,20.05,415000
2024-04-02,20,20.15,19.94,20.01,233000
2024-04-03,20,20.24,19.95,20.09,239500
2024-04-04,20.35,20.35,20.08,20.28,220500
2024-04-08,20.24,20.48,20.01,20.36,184500
2024-04-09,20.36,20.49,20.23,20.48,217500
2024-04-15,20.24,20.8,20.24,20.61,263500
2024-04-16,20.61,20.84,20.5,20.69,407000
2024-04-17,20.79,20.79,20.45,20.62,331500
2024-04-18,20.75,20.76,20.56,20.66,396500
2024-04-19,19.16,19.25,18.51,18.92,898500
2024-04-22,19.2,19.2,18.9,18.94,348500
2024-04-23,19,19.1,18.87,18.95,385000
2024-04-24,18.99,19.04,18.9,18.95,357000
2024-04-25,18.98,19,18.85,18.95,228500
2024-04-26,18.8,19.1,17.6,18.22,1015500
2024-04-29,18.41,18.55,18,18.19,548000
2024-04-30,18.11,18.2,18.02,18.14,401000
2024-05-02,18.55,18.55,18.02,18.17,236500
2024-05-03,18.15,18.3,18.15,18.21,569000
2024-05-06,18.35,18.49,18.15,18.37,260000
2024-05-07,18.37,18.44,18.25,18.3,150500
2024-05-08,18.6,18.6,18.24,18.29,549500
2024-05-09,18.3,18.6,18.3,18.42,269500
2024-05-10,18.5,18.5,18.33,18.35,473500
2024-05-13,18.35,18.6,18.3,18.45,288500
2024-05-14,18.58,18.64,18.41,18.55,326500
2024-05-15,18.55,18.62,18.41,18.5,107000
2024-05-16,18.5,18.55,18.4,18.49,183500
2024-05-17,18.42,18.6,18.36,18.42,231500
2024-05-20,18.36,18.65,18.36,18.54,265458
2024-05-21,18.63,18.67,18.45,18.61,245647
2024-05-22,18.69,19.62,18.61,19.46,1172315
2024-05-23,19.5,19.5,19,19.18,571503
2024-05-24,19.17,19.49,19.01,19.02,211450
2024-05-27,19.01,19.26,18.75,18.83,187267
2024-05-29,18.9,18.97,18.66,18.73,208956
2024-05-30,18.73,18.82,18.72,18.72,99284
2024-05-31,18.76,18.81,18.65,18.79,278612
2024-06-03,18.85,18.89,18.7,18.72,95286
2024-06-04,18.75,18.8,18.67,18.7,101608
2024-06-05,18.7,18.74,18.6,18.73,107573
2024-06-06,18.73,18.76,18.7,18.73,88163
2024-06-07,18.7,18.98,18.5,18.61,217004
2024-06-10,18.6,18.61,18.51,18.57,85844
2024-06-11,18.65,18.7,18.5,18.55,87899
2024-06-12,18.55,18.75,18.5,18.6,111296
2024-06-13,18.7,18.85,18.6,18.78,118576
2024-06-14,18.9,18.93,18.6,18.61,412130
2024-06-20,18.7,18.85,18.59,18.62,279607
2024-06-21,18.62,18.75,18.55,18.7,244921
2024-06-24,18.6,18.7,18.6,18.69,100225
2024-06-25,18.7,18.9,18.61,18.64,115121
2024-06-26,18.62,18.84,18.1,18.41,443123
2024-06-27,18.36,18.57,18.36,18.55,102005
2024-06-28,18.59,18.59,18.34,18.43,83783
2024-07-01,18.5,18.6,16.77,18.41,246339
2024-07-02,18.5,18.6,18.49,18.6,105150
2024-07-03,18.6,19.2,18.5,18.67,237053
2024-07-04,18.7,18.73,18.6,18.68,99400
2024-07-05,18.7,18.99,18.68,18.76,78930
2024-07-08,18.77,20.5,18.61,18.91,141868
