date,open,high,low,close,volume
2026-01-29,21.0,21.0,17.02,17.47,4853268
2026-01-30,18.0,18.0,15.81,16.88,2251130
2026-02-02,16.99,17.0,16.5,16.62,444538
2026-02-03,16.51,16.7,16.06,16.33,416989
2026-02-04,16.33,16.33,16.02,16.23,373485
2026-02-06,16.23,16.24,16.03,16.11,217808
2026-02-09,16.05,16.22,16.05,16.13,210670
2026-02-10,16.35,16.35,16.03,16.14,139580
2026-02-11,16.22,16.23,16.05,16.14,124568
2026-02-12,16.22,16.22,15.97,16.04,264932
2026-02-13,16.05,16.49,15.82,16.36,278077
2026-02-16,16.49,16.49,16.2,16.3,194451
2026-02-17,16.3,16.36,16.01,16.18,150338
2026-02-18,16.18,16.32,16.15,16.29,85806
2026-02-19,16.47,16.47,16.01,16.1,94251
2026-02-20,16.18,16.5,15.93,16.41,234043
2026-02-23,16.4,16.6,16.1,16.19,90398
2026-02-24,16.49,16.49,15.95,16.04,181747
2026-02-25,16.04,16.29,15.83,16.16,103441
2026-02-26,16.2,16.48,16.06,16.21,113062
2026-02-27,16.2,16.48,16.11,16.23,45435
2026-03-02,15.26,16.49,15.26,15.8,240470
2026-03-03,15.8,16.35,15.8,16.02,72653
2026-03-04,15.91,16.25,15.82,16.0,27789
2026-03-05,16.01,16.19,16.01,16.11,29136
2026-03-06,16.11,16.19,15.92,16.03,50463
2026-03-09,15.56,16.09,15.32,16.02,150692
2026-03-10,16.08,16.5,15.53,16.08,42270
2026-03-11,16.18,16.18,15.82,16.14,70673
2026-03-12,16.01,16.19,16.0,16.15,24014
2026-03-13,16.06,16.18,16.06,16.14,43169
2026-03-16,16.14,16.19,16.07,16.12,20161
2026-03-17,16.1,16.19,15.94,16.11,27923
2026-03-18,16.11,16.39,16.08,16.2,17623
2026-03-19,16.2,16.36,16.02,16.11,15773
2026-03-24,16.39,16.49,16.12,16.18,23264
2026-03-25,16.47,16.5,16.19,16.46,118788
2026-03-26,16.21,16.44,16.21,16.22,94003
2026-03-27,16.05,16.51,16.05,16.28,40660
2026-03-30,16.1,16.25,16.0,16.16,95721
2026-03-31,16.05,16.4,16.05,16.21,28828
2026-04-01,16.25,16.35,16.03,16.21,53784
2026-04-02,16.0,16.22,16.0,16.21,20492
2026-04-03,16.05,16.3,16.05,16.14,11541
2026-04-06,16.16,16.28,16.05,16.12,52017
2026-04-07,16.38,16.38,16.09,16.21,10493
2026-04-08,16.34,16.4,16.11,16.34,82388
2026-04-09,16.34,16.46,16.16,16.25,21927
2026-04-10,16.3,16.43,16.01,16.27,40917
2026-04-13,16.25,16.3,16.01,16.26,53138
2026-04-14,16.49,16.49,16.11,16.33,51838
2026-04-15,16.48,16.48,16.26,16.34,49654
2026-04-16,16.35,16.58,16.3,16.51,73157
2026-04-17,16.41,16.6,16.35,16.53,50824
2026-04-20,16.31,16.95,16.31,16.78,119885
2026-04-21,16.97,16.97,16.5,16.59,22029
