date,open,high,low,close,volume
2024-01-16,646,646,635,645,4250
2024-01-17,649.99,660,645,645,2900
2024-01-18,635,645,602,642,2200
2024-01-19,616.69,633.01,616.69,625.5,6800
2024-01-22,650,660,641.6,651.74,20650
2024-01-23,630,655,630,652.28,10600
2024-01-24,655,675,650,663.44,24950
2024-01-25,665,665,660,662,5150
2024-01-26,660.01,665,651,660,1250
2024-01-29,650,650,650,650,1750
2024-01-30,650,650,650,650,2750
2024-01-31,615,673,615,629.67,4350
2024-02-01,621,637,621,629,200
2024-02-02,636,644.99,635,635,350
2024-02-06,635,635,635,635,600
2024-02-07,635,650.01,635,650,7600
2024-02-09,635,635,608.16,630.53,1800
2024-02-12,648.5,648.5,625,629,1250
2024-02-13,629.99,630,629.99,630,200
2024-02-14,610,636.95,610,635,5100
2024-02-15,625,633.9,620.15,628.95,1350
2024-02-16,610.15,611.1,600,606,1700
2024-02-19,600,605,578,590,7250
2024-02-20,600,600,590,590,1850
2024-02-21,613.96,634.25,613.96,627.44,6850
2024-02-22,626,670,615.1,657,13500
2024-02-23,664.95,675,660,665.97,6700
2024-02-26,666,690,660,670,3300
2024-02-27,670,679,619.75,619.75,41200
2024-02-28,619.4,625.1,601.1,616,10550
2024-02-29,619,630,618.99,625.04,10700
2024-03-01,629.99,632,620,632,274350
2024-03-04,620.55,629.9,620.55,627.98,1800
2024-03-05,625,625,616,622.5,2650
2024-03-06,616.35,624.45,616.35,624.45,1100
2024-03-07,615.51,620.95,615.51,618.01,1850
2024-03-08,621,621,615,619.06,3950
2024-03-11,620,638,618.01,620,22700
2024-03-12,633.25,633.25,625,625,350
2024-03-13,620,620,615,615,1050
2024-03-14,614.99,617,614.99,617,650
2024-03-15,607,607,605.12,605.12,200
2024-03-18,600,616.5,591.01,602.32,1350
2024-03-19,601.05,617.75,601.05,601.35,350
2024-03-20,612,612,602,602,200
2024-03-21,612.03,612.03,601,601.67,900
2024-03-22,597,597,596.05,596.05,400
2024-03-25,599.99,601,575,577.5,2950
2024-03-26,570.03,584,570,584,1000
2024-03-27,571.03,586,570,583.99,1500
2024-03-28,571,600,565,574.88,20700
2024-03-29,575,580,575,580,3350
2024-04-01,571.01,571.01,565.01,565.01,750
2024-04-02,570,570,523.01,560.4,13750
2024-04-03,552,574.95,552,567.99,2150
2024-04-04,560,589,560,589,10200
2024-04-08,608.5,623,600,608.94,6350
2024-04-09,616,625,610,620.12,3300
2024-04-15,620,620,615,616.62,2450
2024-04-16,616.65,616.65,607,610.11,16750
2024-04-17,609,629.4,609,620.16,1700
2024-04-18,610,618.5,610,612,500
2024-04-19,600.6,608.9,595.95,602.5,1850
2024-04-22,600,615,587,595.91,4174
2024-04-23,596,599.99,590,598.15,1085
2024-04-24,599.99,606,599.99,601.78,8202
2024-04-25,600,605,586,594.43,7602
2024-04-26,594,615,585.85,599.62,12740
2024-04-29,587.87,609,587.87,602.03,27995
2024-04-30,600.2,606.99,599,599,20070
2024-05-02,614,615,580.01,593.63,9185
2024-05-03,595.01,612,592,609.86,20305
2024-05-06,612,650,612,638.88,32684
2024-05-07,641,668,640,668,69021
2024-05-08,684,710.91,670,710.91,114027
2024-05-09,736.98,764.23,719.88,764.23,57372
2024-05-10,770.01,820,715.01,778.48,76024
2024-05-13,780,836.87,780,834.83,102534
2024-05-14,895,895,830,833.65,20886
2024-05-15,830.11,830.11,775,784.77,22152
2024-05-16,787,815,760,801.55,79482
2024-05-17,791,810,775,778.03,6404
2024-05-20,799.48,799.48,775.01,785,520
2024-05-21,790,843.88,790,841.46,107720
2024-05-22,850,900,845,846.84,60589
2024-05-23,833,850,833,848.15,4616
2024-05-24,849.99,870,834.2,850.66,22504
2024-05-27,859.99,892,859.99,874.8,29432
2024-05-29,885,929.99,866,918.63,104617
2024-05-30,919.8,989,913,976.41,90520
2024-05-31,990,1019.99,955,980.96,24581
2024-06-03,983,1015,983,994.51,29841
2024-06-04,995,1012.99,950,971.38,23757
2024-06-05,989,989,961,975.24,10105
2024-06-06,970,982,912,929.74,18785
2024-06-07,922.01,955,871,949.71,12452
2024-06-10,965,980.75,934.01,973.75,8683
2024-06-11,981,1020,981,1006.29,34697
2024-06-12,1020,1025,992,994.8,23363
2024-06-13,1030,1038,990.63,1000.31,10655
2024-06-14,1010,1010,982,998.8,12649
2024-06-20,990,1004.99,980,1000.9,16555
2024-06-21,997.9,1000,975,976.32,9111
2024-06-24,960.01,984,955.58,961.84,5390
2024-06-25,970,970,955,958.14,373
2024-06-26,940.28,968.5,940,949.81,2949
2024-06-27,960,960,932,943.08,4228
2024-06-28,945,954.99,940,950.83,1902
2024-07-01,959.99,1036.4,959,1004.42,33440
2024-07-02,1000,1023.85,980,994.44,18777
2024-07-03,991.5,1010,980,992.75,2863
2024-07-04,1000,1008,970,974.59,20528
2024-07-05,988,988,955,971.39,8757
2024-07-08,971.39,989,902.05,946.87,2903
2024-07-09,959.95,989.99,933.7,938.76,23575
2024-07-10,965,965,925,929.99,11322
2024-07-11,920,939.99,915,922.96,3917
2024-07-12,934.9,955,921,951.83,10676
2024-07-15,970,1000.01,970,980.04,8323
2024-07-18,980.04,989.5,975,977.9,2388
2024-07-19,972.11,999,965.6,972.79,14065
2024-07-22,979.5,979.5,950,965.47,1365
2024-07-23,978.66,978.66,945,965.04,1074
2024-07-24,974,974,945,945.13,291
2024-07-25,972.5,972.5,940,940.26,10427
2024-07-26,957,957,920.01,933.68,566
2024-07-29,970,970,876,941.52,19206
2024-07-30,950,950,913.01,923.8,1822
2024-07-31,925,935,909,911.79,2530
2024-08-01,919.9,925,885,910,4462
2024-08-02,900,925,900,904.36,5434
2024-08-05,890,920,855,909.05,1721
2024-08-06,900,900,881,890.68,1909
2024-08-07,900,906,886,900.97,522
2024-08-08,914,914,890,909.94,1835
2024-08-09,989.99,989.99,905,918.35,7505
2024-08-12,918.35,998,910,967.3,20622
2024-08-13,988,988,950,963.2,2685
2024-08-15,980,980,950,965.01,3001
2024-08-16,972,972,940.13,949.67,2728
2024-08-19,953.5,999,952.99,974.17,12561
2024-08-20,995.75,995.75,955.6,965.24,2181
2024-08-21,989,989,965,975,1587
2024-08-22,980,1072.5,980,1067.02,34679
2024-08-23,1067,1105,1067,1085.94,23960
2024-08-26,1000,1050,990,1020.88,13507
2024-08-27,1000.01,1019,1000,1000.03,15534
2024-08-28,1000.05,1005,980.75,998.58,678
2024-08-29,965,1000,965,996.93,1908
2024-08-30,970.01,998.98,970.01,992.43,1764
2024-09-02,1000,1049,999.99,1032.22,40953
2024-09-03,1040,1060,1030,1041.93,19758
2024-09-04,1030.11,1050,1030.1,1045.9,2664
2024-09-05,1049,1049,1000,1001.56,2289
2024-09-06,1044.99,1044.99,1000,1010.1,5364
2024-09-09,1018,1040.5,1017.9,1039.47,6386
2024-09-10,1040,1100,1002,1080.66,12144
2024-09-11,1056.01,1110,1056,1065,14112
2024-09-12,1061.01,1090,1060,1065.95,29723
2024-09-13,1084.95,1156,1084.95,1131.45,20243
2024-09-16,1085.51,1144.5,1085.51,1101.26,315
2024-09-18,1147.9,1147.9,1103,1106.05,540
2024-09-19,1145,1150,1075,1082.7,17346
2024-09-20,1080,1150,1080,1149.79,19907
2024-09-23,1149.79,1155,1108,1149.03,4873
2024-09-24,1159.99,1159.99,1112,1112.8,290
2024-09-25,1146.9,1168,1145.8,1159.59,14599
2024-09-26,1180,1210,1170,1198.83,8802
2024-09-27,1200,1201,1190,1198.35,56
2024-09-30,1200,1205.5,1151.51,1178.53,2077
2024-10-01,1208.5,1250,1180,1231.4,27268
2024-10-02,1235,1300,1235,1255.02,31470
2024-10-03,1279,1320,1279,1314.25,11087
2024-10-04,1275.5,1320.5,1245,1311.4,8378
2024-10-07,1369,1369,1290,1311.04,4788
2024-10-08,1310,1325,1300,1319.58,13368
2024-10-09,1324,1350,1318.99,1346.45,3465
2024-10-10,1330,1370,1310,1348.38,22151
2024-10-11,1275.51,1350,1275.51,1323.41,1889
2024-10-14,1301.25,1339.35,1289,1297.82,31468
2024-10-15,1297.82,1370,1297.82,1304.29,41808
2024-10-16,1298,1300,1239,1299.88,1737
2024-10-17,1282.83,1295,1252.52,1267.48,4636
2024-10-18,1288,1300,1260,1284.3,1850
2024-10-21,1245,1283,1245,1260.28,5028
2024-10-22,1295,1295,1250,1260,1447
2024-10-23,1295,1309.88,1260,1295.94,2267
2024-10-24,1290,1310,1275,1296.58,4883
2024-10-25,1280,1300,1260,1294.38,4095
2024-10-28,1300,1350.02,1200.01,1266.93,31898
2024-10-29,1280,1297,1258,1260.01,1291
2024-10-30,1260.02,1274.99,1206.01,1219.96,5958
2024-10-31,1255,1270,1200,1210.08,3554
2024-11-01,1235,1239.99,1183,1191.32,3110
2024-11-04,1170,1200,1150,1179.18,2884
2024-11-05,1161,1179.95,1150,1155.63,27532
2024-11-06,1205,1205,1130,1146.97,38957
2024-11-07,1140,1195,1140,1169.64,8819
2024-11-08,1145,1168,1123,1143.78,806
2024-11-11,1160,1245,1150,1206.06,6376
2024-11-12,1190,1199.95,1150,1160.19,3014
2024-11-13,1160,1195,1160,1170,1719
2024-11-14,1170.5,1220,1160,1213.91,3682
2024-11-15,1215,1220,1179,1193.06,1602
2024-11-18,1180,1200,1158,1194.67,7466
2024-11-19,1181.01,1230,1181,1219.47,9559
2024-11-20,1248,1248,1150,1179.99,30096
2024-11-21,1195,1220,1184,1206.29,38373
2024-11-22,1215,1230,1159.5,1167.06,8650
2024-11-25,1161,1198.9,1145,1185.01,28614
2024-11-26,1185,1200,1101.01,1104.79,6091
2024-11-27,1182.95,1182.95,1122,1175.48,5073
2024-11-28,1195,1230,1176,1226.69,19132
2024-11-29,1220,1349.36,1220,1349.36,50169
2024-12-02,1398,1484.3,1360,1484.3,45418
2024-12-03,1495,1624,1456,1481.77,49142
2024-12-04,1499,1519.99,1421.11,1430.37,15203
2024-12-05,1481,1499,1420,1435.39,22372
2024-12-06,1470,1485,1425,1467.42,13390
2024-12-09,1461,1510,1440.11,1486.64,8137
2024-12-10,1500,1510,1340,1502.13,15101
2024-12-11,1490,1538,1490,1515.77,5227
2024-12-12,1412.01,1580,1412.01,1573,11750
2024-12-13,1598,1600,1511,1590.85,7997
2024-12-16,1599.97,1625,1500,1536.01,9170
2024-12-17,1536,1555,1500,1523.91,8496
2024-12-18,1500.01,1515,1470,1489.91,3371
2024-12-19,1470,1530.5,1351,1453.43,2268
2024-12-20,1492,1519,1420,1498.82,8082
2024-12-23,1549,1549,1452,1499.95,8257
2024-12-24,1500,1500,1467,1473.8,210
2024-12-26,1499,1499,1450.01,1469.45,1425
2024-12-27,1480,1509.99,1452,1496.68,6484
2024-12-30,1460.2,1541.16,1400,1520.31,12672
2024-12-31,1501.01,1600,1501.01,1584.53,13115
2025-01-01,1530.01,1625,1514.66,1545.62,2577
2025-01-02,1520,1563,1520,1523.53,510
2025-01-03,1555,1555,1520.02,1544.2,69
2025-01-06,1565,1599.99,1485.2,1500.05,4799
2025-01-07,1548,1548,1480,1482.59,4037
2025-01-08,1524,1524,1485.01,1507.33,5195
2025-01-09,1518,1518,1402.18,1444.76,4519
2025-01-10,1479,1489,1401.5,1416.18,1170
2025-01-13,1469.9,1557,1469.9,1542.18,15476
2025-01-14,1525,1588,1510,1549,552
2025-01-15,1520,1574,1401.5,1437.44,10438
2025-01-16,1490,1494.75,1438,1450.13,4531
2025-01-17,1439,1461,1404,1458.59,559
2025-01-20,1427,1459.99,1426,1445.88,1656
2025-01-21,1440,1464.95,1440,1440.19,12495
2025-01-22,1499,1499,1394,1400.67,15569
2025-01-23,1394,1445,1394,1438.38,394
2025-01-24,1401,1454,1390,1450,9116
2025-01-27,1449,1450,1423.01,1440,744
2025-01-28,1423.01,1449,1370,1400.21,2400
2025-01-29,1424,1450,1380.1,1399.81,1857
2025-01-30,1399.5,1415.88,1350,1409.97,195
2025-01-31,1409.97,1425,1409.97,1418.81,202
2025-02-03,1410.01,1415,1396,1400.56,703
2025-02-04,1445,1445,1356,1385.3,453
2025-02-06,1357,1399.99,1356,1380.02,799
2025-02-07,1356,1398.4,1325,1352.31,2368
2025-02-10,1399,1399,1365,1385.13,25
