date,open,high,low,close,volume
2023-10-10,4.84,4.84,4.7,4.7,1500
2023-10-16,4.75,4.75,4.75,4.75,500
2023-10-17,4.99,5.4,4.99,5.38,9500
2023-10-18,4.82,4.82,4.82,4.82,1500
2023-10-19,5.77,5.77,5.34,5.34,2000
2023-10-31,5.2,5.2,4.91,4.94,5500
2023-11-01,5.0,5.0,5.0,5.0,500
2023-11-02,5.09,5.1,5.09,5.1,11000
2023-11-06,4.51,4.71,4.51,4.7,4500
2023-11-08,5.19,5.19,4.81,4.83,4500
2023-11-10,5.27,5.28,5.27,5.28,1500
2023-11-17,4.92,4.92,4.92,4.92,1000
2023-11-21,5.2,5.2,5.01,5.01,11500
2023-11-22,5.01,5.01,5.0,5.0,7000
2023-11-23,4.95,5.15,4.9,5.0,18500
2023-11-24,5.25,5.25,5.0,5.0,10000
2023-11-27,5.58,6.0,5.58,6.0,137000
2023-11-28,6.39,6.99,6.06,6.87,209000
2023-11-29,6.99,6.99,6.42,6.84,21500
2023-11-30,6.96,7.28,6.75,6.98,23500
2023-12-01,7.98,7.98,7.55,7.98,75000
2023-12-04,8.9,8.98,8.06,8.29,85000
2023-12-05,8.06,8.06,7.8,8.0,23500
2023-12-06,8.44,8.44,7.8,8.0,7000
2023-12-07,8.63,8.63,7.0,7.35,37500
2023-12-08,7.35,8.35,6.62,7.98,114500
2023-12-11,8.33,8.33,8.0,8.02,5500
2023-12-12,8.49,8.49,7.7,8.12,10000
2023-12-13,7.66,7.66,7.66,7.66,1000
2023-12-14,7.2,7.6,6.66,7.6,31500
2023-12-15,7.8,7.89,7.8,7.89,5500
2023-12-18,7.21,8.0,7.0,7.4,17000
2023-12-19,7.0,7.0,7.0,7.0,5000
2023-12-20,7.0,7.0,6.21,6.21,14500
2023-12-21,6.97,7.21,6.97,7.21,16500
2023-12-22,7.0,8.21,7.0,8.19,129500
2023-12-26,8.0,8.0,7.19,7.19,42000
2023-12-27,6.4,8.19,6.4,8.19,144000
2023-12-28,8.5,9.09,8.5,9.0,16000
2023-12-29,9.05,9.5,9.0,9.42,51500
2024-01-01,9.0,10.1,8.99,9.88,75000
2024-01-02,10.44,10.5,10.0,10.4,9000
2024-01-03,10.4,10.45,9.4,9.4,45000
2024-01-05,8.45,8.5,8.4,8.44,27000
2024-01-08,7.66,8.0,7.44,7.6,32000
2024-01-09,7.6,7.8,7.1,7.16,6500
2024-01-11,7.2,7.25,7.2,7.25,1000
2024-01-12,7.25,7.4,7.25,7.4,1500
2024-01-15,7.31,7.31,7.0,7.1,10000
2024-01-23,7.99,7.99,7.99,7.99,500
2024-01-25,7.52,7.52,7.52,7.52,1000
2024-01-29,8.44,8.44,8.44,8.44,500
2024-01-30,7.55,7.55,7.44,7.44,8500
2024-02-01,6.66,6.66,6.65,6.65,20000
2024-02-06,7.35,7.35,7.09,7.19,6000
2024-02-07,7.2,7.2,7.12,7.12,2500
2024-02-12,7.35,7.38,7.14,7.14,6500
2024-02-16,6.69,6.69,6.69,6.69,1000
2024-02-19,7.1,7.1,7.1,7.1,1000
2024-02-20,7.11,7.11,7.09,7.09,1500
2024-02-21,6.5,6.5,6.5,6.5,500
2024-02-22,6.3,6.99,6.0,6.99,4500
2024-02-23,6.5,6.7,6.5,6.7,1500
2024-02-26,6.5,6.51,6.5,6.5,11000
2024-02-27,6.24,6.24,6.21,6.21,4000
2024-02-28,6.6,7.19,6.5,7.18,4500
2024-02-29,7.1,7.1,6.38,6.38,7000
2024-03-04,6.56,6.56,6.55,6.55,1000
2024-03-05,6.85,6.85,6.5,6.55,1500
2024-03-06,6.6,6.6,6.4,6.4,1000
2024-03-07,7.24,7.33,6.2,6.24,31500
2024-03-08,6.25,6.25,6.25,6.25,1000
2024-03-12,6.15,6.15,5.41,5.41,15500
2024-03-15,5.65,5.85,5.65,5.85,1000
2024-03-18,6.29,6.29,6.1,6.1,1500
2024-03-25,5.67,6.29,5.35,5.75,8000
2024-03-26,5.55,5.55,5.55,5.55,3000
2024-04-01,5.41,5.41,5.31,5.31,3000
2024-04-04,5.19,6.2,5.19,5.4,2000
2024-04-15,5.85,6.19,5.85,6.19,1500
2024-04-16,6.17,6.95,6.17,6.19,6500
2024-04-17,6.03,6.03,6.03,6.03,500
2024-04-18,5.9,5.9,5.8,5.81,1500
2024-04-19,6.06,6.2,6.06,6.2,3000
2024-04-22,6.2,6.36,6.0,6.0,2500
2024-04-23,5.74,6.08,5.7,5.85,24500
2024-04-24,5.71,5.76,5.7,5.7,6000
2024-04-25,5.7,5.7,5.7,5.7,500
2024-04-30,5.64,5.64,5.47,5.47,3000
2024-05-02,5.43,5.43,5.43,5.43,1000
2024-05-03,5.89,5.9,5.89,5.9,1000
2024-05-08,5.6,5.61,5.42,5.42,15500
2024-05-09,5.7,5.7,5.23,5.23,4500
2024-05-10,5.69,5.69,5.26,5.26,12000
2024-05-14,5.79,6.1,5.79,5.81,7500
2024-05-15,6.2,6.2,5.75,5.82,4000
2024-05-16,6.2,6.82,6.09,6.82,38000
2024-05-17,7.0,7.0,6.12,6.34,10500
2024-05-20,6.0,6.4,6.0,6.4,10500
2024-05-21,6.2,6.49,6.0,6.16,18000
2024-05-22,6.59,6.64,6.04,6.42,10500
2024-05-23,6.9,7.3,6.65,6.7,13000
2024-05-24,6.5,6.99,6.4,6.68,41000
2024-05-27,6.68,6.85,6.6,6.79,13819
2024-05-29,6.8,6.8,6.31,6.52,40925
2024-05-30,7.1,7.15,6.32,6.5,17820
2024-05-31,7.0,7.0,6.3,6.3,6303
2024-06-03,6.75,7.0,6.5,6.7,44599
2024-06-04,6.3,6.5,6.3,6.35,13730
2024-06-05,6.4,6.6,6.4,6.42,3582
2024-06-06,6.35,6.35,6.26,6.26,3018
2024-06-07,6.09,6.25,5.85,6.01,2502
2024-06-10,6.3,6.85,6.03,6.1,4310
2024-06-11,6.0,6.12,6.0,6.12,2748
2024-06-13,6.15,6.15,6.12,6.14,1212
2024-06-14,6.1,6.1,6.1,6.14,122
2024-06-20,6.21,6.21,6.21,6.14,1
2024-06-21,6.45,6.45,5.82,6.14,201
2024-06-24,6.14,6.2,5.88,5.94,760
2024-06-26,5.8,5.8,5.5,5.5,6261
2024-06-27,5.7,6.3,5.7,5.71,511
2024-06-28,5.61,5.61,5.61,5.71,10
2024-07-01,6.38,6.38,6.34,6.34,1000
2024-07-04,6.0,6.1,6.0,6.0,10000
2024-07-05,6.5,6.5,5.61,5.85,12393
2024-07-09,6.05,6.45,6.05,6.13,6670
2024-07-10,6.25,6.25,6.05,6.2,6500
2024-07-11,6.0,6.26,5.9,5.92,17101
2024-07-12,6.4,6.4,6.0,6.0,3000
2024-07-15,6.2,6.2,5.64,6.19,19082
2024-07-18,6.2,6.25,6.0,6.05,8500
2024-07-19,6.19,6.4,6.0,6.0,57800
2024-07-22,5.61,6.4,5.61,6.02,19538
2024-07-23,6.2,6.2,6.0,6.1,3200
2024-07-24,6.1,6.35,5.9,5.91,106647
2024-07-25,6.01,6.34,6.0,6.16,17016
2024-07-26,5.9,6.6,5.9,6.16,34412
2024-07-29,6.3,6.82,6.21,6.61,146204
2024-07-30,6.35,6.35,5.76,6.19,17689
2024-07-31,6.12,6.13,6.1,6.12,2002
2024-08-01,6.13,6.15,6.0,6.09,18822
2024-08-02,6.6,7.09,6.11,7.09,203911
2024-08-05,7.96,7.96,6.75,7.19,193956
2024-08-06,7.02,7.19,6.97,7.08,28446
2024-08-07,7.64,7.64,6.5,7.19,38468
2024-08-08,6.9,7.18,6.75,6.76,698
2024-08-09,7.71,7.71,6.21,6.62,4403
2024-08-12,6.5,7.39,6.5,7.0,23720
2024-08-13,6.99,7.3,6.75,6.93,30444
2024-08-15,7.7,7.7,6.52,6.93,40999
2024-08-16,6.99,7.37,6.99,7.05,54812
2024-08-19,7.69,7.69,6.87,6.9,48068
2024-08-20,6.75,7.04,6.75,7.0,1101
2024-08-21,6.7,7.0,6.69,6.95,6602
2024-08-22,6.73,7.0,6.73,6.76,14651
2024-08-23,7.0,7.0,6.75,6.9,3514
2024-08-27,7.0,7.0,6.81,7.0,2001
2024-08-28,6.86,7.0,6.52,6.99,13215
2024-08-29,6.99,7.7,6.99,7.67,113222
2024-08-30,7.67,8.67,7.67,8.66,198028
2024-09-02,8.0,8.4,7.66,7.66,47145
2024-09-03,7.5,7.66,6.86,7.3,57552
2024-09-04,7.8,7.8,7.2,7.24,36288
2024-09-05,7.9,7.9,6.8,6.82,13499
2024-09-06,7.0,7.4,6.78,7.21,4740
2024-09-09,6.77,7.26,6.77,7.21,53502
2024-09-10,6.86,6.9,6.86,6.88,54320
2024-09-11,6.91,7.01,6.7,7.0,16400
2024-09-12,6.51,6.96,6.5,6.71,7007
2024-09-13,7.35,7.45,6.7,7.24,211528
2024-09-16,7.99,7.99,6.9,6.9,12987
2024-09-18,7.4,7.4,6.99,7.0,501
2024-09-19,7.2,7.7,6.65,6.74,11381
2024-09-20,7.69,7.69,6.71,7.0,10058
2024-09-23,6.6,6.93,6.51,6.72,7500
2024-09-24,7.5,7.5,6.4,6.66,4007
2024-09-25,6.24,6.74,6.24,6.74,2103
2024-09-26,6.44,6.74,6.44,6.48,8995
2024-09-27,6.3,7.2,6.15,6.27,2343
2024-09-30,6.31,6.31,6.3,6.3,2263
2024-10-01,6.08,7.1,6.08,6.24,3103
2024-10-02,7.13,7.13,6.3,6.3,4767
2024-10-03,6.3,6.3,6.3,6.3,20097
2024-10-04,6.94,6.94,5.67,5.67,3001
2024-10-07,6.07,6.49,6.07,5.67,301
2024-10-08,6.53,6.53,6.24,5.67,102
2024-10-09,5.67,6.58,5.67,6.44,2001
2024-10-10,6.88,6.88,6.77,6.88,501
2024-10-14,5.96,7.2,5.96,6.49,965
2024-10-15,6.66,6.66,6.1,6.12,9665
2024-10-16,6.12,6.45,5.5,6.44,3567
2024-10-17,6.8,6.8,6.6,6.44,102
2024-10-21,5.8,6.75,5.8,6.44,6
2024-10-22,6.11,6.89,5.9,5.9,32000
2024-10-23,6.5,6.9,6.5,6.9,49104
2024-10-24,7.76,7.9,6.63,7.51,92340
2024-10-25,7.76,8.09,7.11,7.5,168058
2024-10-28,7.3,8.0,7.11,7.99,191220
2024-10-29,7.86,7.86,7.0,7.0,20059
2024-10-30,7.5,7.5,7.27,7.28,4964
2024-10-31,7.97,8.28,7.15,8.28,353758
2024-11-01,8.95,9.28,7.55,8.79,145221
2024-11-04,8.88,8.88,8.05,8.08,17121
2024-11-05,8.49,8.49,7.55,8.42,20544
2024-11-06,8.2,8.7,7.66,7.73,26634
2024-11-07,7.67,8.73,7.5,8.64,118857
2024-11-08,8.25,8.9,7.91,8.25,9466
2024-11-11,7.54,8.19,7.54,8.25,177
2024-11-12,7.46,9.25,7.44,9.22,216293
2024-11-13,9.75,9.99,8.6,9.49,134319
2024-11-14,9.8,10.49,9.0,9.46,480999
2024-11-15,9.97,9.97,9.11,9.5,27927
2024-11-18,9.84,9.84,8.55,8.61,31312
2024-11-19,8.16,9.0,8.16,8.55,16440
2024-11-20,8.55,9.55,8.33,8.97,127555
2024-11-21,8.9,9.1,8.42,9.1,51830
2024-11-22,9.0,9.25,8.89,9.1,51588
2024-11-25,9.4,9.4,8.62,9.0,9808
2024-11-26,8.51,8.9,8.0,8.08,68500
2024-11-27,8.69,9.06,7.52,8.49,76685
2024-11-28,8.27,8.94,8.26,8.76,10656
2024-11-29,9.0,9.29,8.32,9.29,38805
2024-12-02,8.55,9.0,8.55,8.61,25300
2024-12-03,8.99,8.99,8.6,8.61,3003
2024-12-04,8.85,9.0,8.5,9.0,33410
2024-12-05,8.41,8.99,8.41,8.74,56491
2024-12-06,8.21,8.35,8.2,8.22,26501
