date,open,high,low,close,volume
2023-01-13,124.05,124.21,124.05,124.21,100
2023-01-26,120,124.21,120,124.21,200
2023-01-31,123,124,123,123.5,1000
2023-02-01,120,123.5,120,123.5,100
2023-02-06,115.05,125.2,115.05,125.2,2000
2023-02-15,134,134,115.81,115.81,600
2023-02-17,115,115,115,115,1000
2023-03-15,106.38,115,106.38,115,100
2023-03-16,106.38,115,106.38,115,100
2023-05-25,111,111,111,111,400
2023-06-20,105,105,105,111,100
2023-06-21,105,105,105,105,500
2023-06-22,100,100,100,100,500
2023-07-04,95,95,95,95,800
2023-09-08,95,102.13,95,99.04,300
2023-10-31,110.94,110.94,110.94,110.94,500
2023-11-01,119.26,119.26,119.26,119.26,18600
2023-11-07,139.5,139.75,139.5,139.63,200
2023-11-10,150.5,150.5,150.5,140,100
2023-11-14,150.5,150.5,150.5,140,100
2023-12-01,196.11,225,196.11,196.11,600
2023-12-21,210.82,210.82,210.82,210.82,1700
2023-12-22,226.63,226.63,226.63,226.63,500
2023-12-26,243.63,243.63,243.63,243.63,500
2023-12-27,261.9,261.9,226.01,261.9,600
2023-12-28,246.01,246.01,246.01,261.9,100
2024-01-05,263,278,263,278,200
2024-01-10,294.99,294.99,294.99,294.99,100
2024-01-12,273,273,273,273,100
2024-01-17,289.99,289.99,289.99,289.99,100
2024-01-29,265.94,265.94,265.94,265.94,100
2024-02-01,265,265,265,265,100
2024-02-06,283,283.3,283,283.3,400
2024-02-07,304.5,304.5,304.5,304.5,100
2024-02-12,281.66,281.66,281.66,281.66,200
2024-02-14,302.78,302.78,302.78,302.78,100
2024-02-16,325.45,325.45,325.45,325.45,100
2024-02-21,349.86,349.86,349.86,349.86,500
2024-02-23,376.1,376.1,376.1,376.1,200
2024-03-06,404.31,404.31,404.31,404.31,300
2024-03-27,434.63,434.63,434.63,434.63,200
2024-03-28,467.2,467.2,467.2,467.2,100
2024-03-29,502.2,502.2,502,502.05,500
2024-04-01,530,539.7,530,536.47,300
2024-04-02,576,576.07,576,576.07,300
2024-04-03,619.28,619.28,619.28,619.28,100
2024-04-08,700,700,615.8,615.8,300
2024-04-16,696,696,696,696,100
2024-04-18,748,748,748,748,100
2024-04-19,804,804,804,804,100
2024-04-22,864,864,864,864,51
2024-04-23,928,928.8,926.99,928.57,219
2024-04-24,997.99,998.21,997.8,998.21,201
2024-04-25,1073,1073.08,1070,1072.52,180
2024-04-26,1072.52,1152.96,1072.52,1152.82,1134
2024-04-29,1238,1239.28,1238,1239.14,344
2024-04-30,1155,1300,1146.2,1149.12,1621
2024-05-02,1100,1100,1062.94,1062.97,53
2024-05-03,983.25,1118,983.25,994.94,2169
2024-05-06,985.5,985.5,951.02,977.72,73
2024-05-07,955,955,904.39,904.39,486
2024-05-08,904.51,950,838.62,838.62,939
2024-05-09,775.73,848.93,775.72,775.72,2394
2024-05-10,717.54,717.54,717.54,717.54,371
2024-05-13,663.72,699.99,663.72,663.72,763
2024-05-14,613.94,613.94,613.94,613.94,519
2024-05-15,567.89,567.89,567.89,567.89,513
2024-05-16,525.3,525.3,525.3,525.3,599
2024-05-17,485.9,560,485.9,552.11,4967
2024-05-20,570,593.52,570,593.44,4657
2024-05-21,620,637.95,551.61,615.54,5245
2024-05-22,620.01,643.97,600.01,602.4,1090
2024-05-23,626,626,557.22,574.07,763
2024-05-24,561.01,616,561,575.46,4059
2024-05-27,609.5,610.48,574.01,579.53,344
2024-05-29,585,585,533.17,534.26,2098
2024-05-30,555,555,515,518.67,335
2024-05-31,505,505,477.18,491.66,2081
2024-06-03,470.01,510,455,456.43,2138
2024-06-04,456,465,448.21,451.88,234
2024-06-05,444,463,415.73,420.14,2527
2024-06-06,426,453.75,410.55,435.12,1683
2024-06-07,464.66,464.66,421.21,434.29,414
2024-06-10,459.95,459.95,419,421.41,631
2024-06-11,450,450,406,414.34,536
2024-06-12,401.11,434.99,400,405.83,131
2024-06-13,420,425,410,405.83,58
2024-06-14,429,435,424.99,427.15,136
2024-06-20,440.85,440.85,405.2,428.98,1082
2024-06-21,420,450,410,416.11,505
2024-06-24,415,440,410,420.78,367
2024-06-25,438.99,438.99,415,421.88,106
2024-06-26,422,433.99,415,415.38,223
2024-06-27,435,435,415,415.38,20
2024-06-28,412,444,412,415.38,67
