date,open,high,low,close,volume
2023-01-03,43.8,43.8,43.8,43.8,500
2023-01-04,40.52,40.52,40.52,40.52,500
2023-01-05,43.55,43.55,37.49,37.49,1500
2023-01-06,39.9,39.9,34.68,37.88,9000
2023-01-09,39.25,39.25,39.25,39.25,1000
2023-01-10,36.31,40.8,36.31,40.8,9500
2023-01-18,41,41,41,41,500
2023-01-23,39.9,39.9,39.9,39.9,500
2023-01-24,36.91,36.91,36.91,36.91,500
2023-01-26,36.89,36.89,36.89,36.89,500
2023-01-27,39.64,39.64,39.64,39.64,500
2023-01-31,36.67,36.67,36.67,36.67,500
2023-02-01,38.99,38.99,38.99,38.99,500
2023-02-03,37.98,37.98,37.98,37.98,500
2023-02-07,35.14,37.45,35.14,35.33,7500
2023-02-08,35.3,35.3,32.7,32.7,2000
2023-02-09,31.01,31.01,31.01,31.01,500
2023-02-10,29.03,33.33,29,32.61,21000
2023-02-13,35.05,35.05,35.05,35.05,500
2023-02-14,37.6,37.6,37.6,37.6,500
2023-02-16,34.75,34.75,34.75,34.75,1000
2023-02-17,36.25,36.45,36.25,36.45,2000
2023-02-20,39,39,34,34,2500
2023-02-21,36.45,36.45,36.45,36.45,500
2023-02-22,37.9,37.9,37.9,37.9,500
2023-02-28,37.89,37.89,37.89,37.89,500
2023-03-06,37.89,37.89,37.89,37.89,500
2023-03-13,35.05,38.94,35.05,38.21,4000
2023-03-16,38,38,38,38,1000
2023-04-11,35.11,37.06,35.11,37.06,1000
2023-04-12,37.99,37.99,37.99,37.99,500
2023-04-19,33.5,35.95,33.5,33.5,1500
2023-04-26,35.94,35.94,34.95,34.95,2000
2023-04-27,35.94,35.94,35.94,35.94,500
2023-04-28,37.99,37.99,37.99,37.99,500
2023-05-31,34.41,34.41,34.41,34.41,500
2023-06-16,36.35,36.35,36.35,36.35,500
2023-07-05,33.3,33.3,33.27,33.27,4500
2023-07-10,33,33,32,32,1000
2023-07-11,32,32,32,32,1000
2023-07-13,31.5,31.5,31.5,31.5,500
2023-08-21,28.4,28.4,28.4,28.4,1500
2023-08-22,26.4,29.9,26.35,29.77,7000
2023-08-23,28.5,28.5,27.54,27.54,4500
2023-08-24,27.1,27.1,27.1,27.1,500
2023-10-11,29.13,29.13,25.25,27.25,5000
2023-10-12,26,26,25.21,25.25,13000
2023-10-13,24.25,24.25,24.25,24.25,500
2023-10-31,22.5,22.5,22.5,22.5,500
2023-11-03,22,23.25,22,23.25,1000
2023-11-06,24.95,24.95,24.95,24.95,500
2023-11-13,23.25,23.25,23.25,23.25,500
2023-11-17,24,24,24,24,2500
2023-12-01,23.25,23.25,23.25,23.25,1000
2023-12-05,24,24,24,24,500
2023-12-07,24,24,24,24,6000
2023-12-08,24.01,24.01,24,24,2000
2023-12-12,25.8,25.8,25.8,25.8,19000
2023-12-13,27.7,27.7,27.7,27.7,1500
2024-01-01,28,28,24.89,25.5,2500
2024-01-02,24.51,24.51,24.5,24.5,2000
2024-01-09,25.99,26.34,25.99,26.34,2500
2024-01-18,25,25,25,25,500
2024-01-30,25,25,25,25,4500
2024-02-29,23.2,23.2,23.2,23.2,500
2024-03-07,22.5,24,22.5,24,1500
2024-03-12,25.74,25.74,25.74,25.74,500
2024-04-22,26,27.65,26,27.65,3000
2024-04-24,25.7,25.8,25.6,25.8,4000
2024-04-25,24,24,24,24,2500
2024-05-17,23.98,23.98,23.98,23.98,2000
2024-05-31,24.1,24.1,24.1,24,1
2024-06-04,24.52,24.52,24.52,24.5,1
2024-06-05,23,23,23,24.5,1
2024-06-12,23,23,23,24.5,10
2024-06-26,25,25,25,24.5,130
2024-07-08,25.5,25.5,25.5,24.5,1
2024-07-15,23,23,23,24.5,1
2024-08-09,23.3,23.3,23.3,24.5,100
2024-08-13,23.2,23.2,23.2,24.5,50
2024-08-20,23.1,23.1,23.1,24.5,51
2024-08-21,25,26.95,24.3,26.93,10462
2024-08-22,25,25.85,24.24,25,753
2024-08-23,23.11,27.5,23.11,26,22355
2024-08-26,26.6,28.6,26.02,27.75,6115
2024-08-28,30,30.53,28.01,28.57,13889
2024-08-30,26.55,29.75,26.55,29.38,5500
2024-09-02,27.1,27.1,26.44,26.45,4500
2024-09-06,24.99,24.99,24.99,26.45,9
2024-09-10,24.2,25,24.2,26.45,2
2024-09-19,24.6,25.99,24.6,26.45,3
2024-09-23,26,26,26,26.45,2
2024-10-02,28.84,28.84,28.84,26.45,14
2024-10-10,28.7,28.7,26.45,26.45,40
2024-10-14,26.45,26.45,26.45,26.45,1098
2024-10-15,27.93,27.94,27.93,27.94,1000
2024-10-17,30.5,30.5,30.5,30.5,27977
2024-10-18,30.45,30.45,30.45,30.5,11
2024-10-22,30.4,30.4,30,30.5,2
2024-10-24,27.45,30.49,27.45,30.5,41
2024-10-30,32.9,32.9,27.45,30.5,20
2024-11-04,27.45,27.5,27.45,30.5,310
2024-11-08,27.51,28,27.45,27.49,984
2024-11-11,0,0,0,27.49,1
2024-11-12,24.8,27.53,24.8,27.49,320
2024-11-13,27.99,27.99,24.81,27.49,118
2024-11-14,28.15,28.15,28.15,27.49,8
2024-11-15,24.81,24.81,24.81,27.49,1
2024-11-18,25.14,25.14,25.14,27.49,22
2024-11-28,25.36,25.36,24.79,24.91,1970
2024-11-29,26,26,25,25,1781
2024-12-02,25,25,25,25,3543
2024-12-04,23.3,26,23.02,24.93,2516
2024-12-06,26.39,26.39,26.39,24.93,1
2024-12-09,25,25,24,24.6,13229
2024-12-10,24.31,24.31,23,23,8472
2024-12-13,23.1,24.6,23.1,24.22,932
2024-12-16,24,25.8,24,24.37,891
2024-12-17,26.77,26.77,25.3,25.78,7356
2024-12-18,28,28,25,25,1701
2024-12-19,24.01,24.01,22.6,23.3,5500
2024-12-20,22.5,24.45,22.5,23.3,6
2024-12-23,24.24,25.6,24.24,24.97,603
2024-12-24,26,27.45,24,26.11,711
2024-12-26,28.66,28.66,28.66,26.11,5
2024-12-27,28.68,28.68,28.68,26.11,6
2024-12-30,28.5,28.5,28.5,26.11,155
2024-12-31,28.66,28.66,28.66,28.66,1153
2025-01-01,26,27.99,26,28.66,26
2025-01-02,26.01,28.89,26.01,28.66,14
2025-01-06,28.64,28.64,28.64,28.66,5
2025-01-08,28.29,28.63,26.62,28.66,20
2025-01-09,28.63,28.63,28.59,28.66,10
2025-01-10,26.13,26.13,26.13,28.66,300
2025-01-13,26.6,26.6,25.79,25.83,1229
2025-01-14,26,26.74,26,25.83,64
2025-01-15,26,26,26,25.83,100
2025-01-16,26.9,26.9,24.1,24.6,3905
2025-01-17,25.3,25.3,25.3,24.6,10
2025-01-20,25,25,25,24.6,10
2025-01-21,25,25,25,24.6,10
2025-01-22,25.9,25.9,25.9,24.6,5
2025-01-28,24.6,24.6,24.6,24.6,491
2025-01-29,0,0,0,24.6,100
2025-01-30,25,25,25,24.6,5
2025-01-31,26,26,26,24.6,5
2025-02-10,0,0,0,24.6,1
2025-02-11,25.69,25.69,25.69,24.6,5
2025-02-19,25.9,25.95,25.9,24.6,110
2025-02-20,26,26.58,25.2,24.6,221
2025-02-21,26.6,26.6,26.6,24.6,10
2025-02-24,24.8,25.25,24.8,24.6,169
2025-02-25,25,26.85,25,24.6,110
2025-02-28,0,0,0,24.6,1040
2025-03-11,24.71,24.71,24.1,24.2,500
2025-03-13,24.01,25,24,24.03,519
2025-03-18,24.9,24.9,24.9,24.03,10
2025-03-19,25,25,25,24.03,20
2025-03-20,25,25,25,24.03,21
2025-03-21,25,25,25,24.03,10
2025-03-24,25,25,25,24.03,1
2025-04-14,23.55,23.55,23.11,23.48,600
2025-04-15,24,24,24,23.48,100
2025-04-17,24.5,24.8,24.5,23.48,215
2025-04-18,23.5,23.5,23.5,23.5,500
2025-05-12,23.5,23.5,21.5,23.5,255
2025-05-13,24,25.5,23,25.04,602
2025-05-14,26,26.75,26,26.73,2260
2025-05-15,26,26,26,26.73,1
2025-05-16,24.2,24.3,24.2,24.21,2457
2025-05-20,24.01,24.01,24,24.01,600
2025-05-21,24.01,24.45,24.01,24.01,111
2025-05-22,23.3,25.89,23.3,25.16,2320
2025-05-23,27.25,27.25,24,25.01,1082
2025-05-26,26,26.99,26,26.79,612
2025-05-27,28.8,28.8,26,26.79,20
2025-05-29,28.25,28.25,28.25,26.79,5
2025-05-30,29.35,29.35,26,26.02,1016
2025-06-02,26,27.9,26,26.02,215
2025-06-03,27.95,27.95,27.88,26.02,205
2025-06-04,28.27,28.27,26,26.02,325
