date,open,high,low,close,volume
2023-07-19,19.73,22.93,19.73,22.93,2000
2023-07-20,24.65,24.65,24.65,24.65,500
2023-07-21,26.5,26.5,26.5,26.5,1000
2023-07-26,22.67,22.67,22.67,22.67,500
2023-08-07,22,22,22,22,1000
2023-09-06,22,22,22,22,500
2023-10-25,23.65,23.65,23.65,23.65,1500
2023-10-27,25,25,25,25,500
2023-10-30,26.88,26.88,26.88,26.88,500
2023-11-01,28,28,28,28,1000
2024-01-31,26,26,26,26,1000
2024-03-28,24.25,24.25,24.25,24.25,500
2024-05-14,26.7,26.7,26.7,26.7,1000
2024-05-15,24.71,25,24.71,25,2000
2024-05-30,25,25,25,25,1000
2024-06-07,27,27,27,25,1
2024-06-11,24,26,24,24,501
2024-06-12,25.8,25.8,25.8,24,1
2024-06-21,26,26,26,26,1628
2024-06-26,25.01,25.01,25.01,25.01,500
2024-06-27,27.26,27.26,27.26,27.26,500
2024-06-28,29.71,29.71,29.71,27.26,7
2024-07-03,29.71,29.71,29.71,29.71,500
2024-07-04,32.38,32.38,32.38,32.38,500
2024-07-05,35.29,35.29,35.29,32.38,11
2024-07-09,33,35.46,33,34.38,2500
2024-07-10,37.65,37.65,37.65,34.38,10
2024-07-11,31.63,31.63,31.63,31.63,501
2024-07-12,28.65,28.65,28.65,31.63,1
2024-07-18,28.75,32,28.75,31.63,3
2024-07-19,30.5,30.5,28.65,28.65,6612
2024-07-22,26,31.52,26,26.11,510
2024-08-16,31.81,31.81,31.81,28.92,1
2024-08-19,31.8,31.8,31.8,30.36,33
2024-08-20,33.33,33.4,33.33,30.36,246
2024-08-21,33.4,33.4,33.4,30.36,53
2024-08-23,33.44,33.44,33.44,33.44,700
2024-08-26,36.7,36.78,36.7,36.77,1006
2024-08-27,40.45,40.45,40.45,40.45,800
2024-08-28,44.45,44.5,44.45,43.56,700
2024-08-29,45,47.92,42.01,47.92,6002
2024-08-30,52.71,52.71,52.71,52.71,600
2024-09-02,57.95,57.98,48,57.98,7837
2024-09-03,62.1,63.78,62,63.78,5112
2024-09-04,69,70.16,68.5,70.16,21203
2024-09-05,77.18,77.18,63.14,63.16,23531
2024-09-06,56.84,66,56.84,58,6083
2024-09-09,63.78,63.78,52.2,54.02,3643
2024-09-10,54.2,57,54.2,55.81,902
2024-09-11,56.99,61,56.99,55.81,577
2024-09-12,60,60,60,55.81,150
2024-09-18,50.23,50.23,50.23,50.23,1000
2024-09-19,50,55.25,50,55.25,3860
2024-09-20,58,60,58,59.2,505
2024-09-24,58,58,58,59.2,21
2024-10-02,54,54,54,59.2,100
2024-10-03,55.02,63,55.02,59.2,32
2024-10-04,63,63,63,63,500
2024-10-07,0,0,0,63,2500
2024-10-10,63,63,63,63,433
2024-10-28,60,60,60,63,7
2024-10-29,56.7,56.7,56.7,63,225
2024-11-04,57.5,57.5,57.5,63,180
2024-11-08,56.7,56.7,56.7,63,1
2024-11-11,56.7,56.7,56.7,63,99
2024-11-13,56.7,68,56.7,59.58,2271
2024-11-14,63,65.54,59.9,60,557
2024-11-18,54,54.54,54,54.52,983
2024-11-20,0,0,0,54.52,1
2024-11-22,49.07,49.07,49.07,54.52,3
2024-11-25,49.07,49.07,49.07,54.52,40
2024-11-27,49.1,53,49.07,49.22,6630
2024-11-28,49.22,49.22,44.3,44.67,1773
2024-12-02,0,0,0,44.67,15
2024-12-03,40.51,40.51,40.51,44.67,1
2024-12-05,40.21,46.99,40.21,44.67,4
2024-12-06,47,49.14,47,49.06,3842
2024-12-09,53,53.97,46.01,49.06,752
2024-12-10,46.6,46.6,46.6,49.06,10
2024-12-13,0,0,0,49.06,13
2024-12-16,51,53.96,46.01,53.93,751
2024-12-17,55,59.3,49,55.95,1183
2024-12-18,51,61.55,51,61.54,8005
2024-12-19,67.69,67.69,61.01,67.69,6632
2024-12-20,74,74.46,60.92,74.42,1156
2024-12-23,81.8,81.86,81.8,81.86,1379
2024-12-24,90,90.05,89.75,90.05,2620
2024-12-26,99,99.06,99,99.06,612
2024-12-27,108.97,108.97,108.95,108.97,4220
2024-12-30,119.87,119.87,119.87,119.87,1345
2024-12-31,131.86,131.86,131.86,131.86,2595
2025-01-01,145.05,145.05,145.05,145.05,393
2025-01-02,159.56,159.56,159.56,159.56,1199
2025-01-03,175.52,175.52,175.52,175.52,449
2025-01-06,193.07,193.07,193.07,193.07,885
2025-01-07,212.38,212.38,173.76,173.76,27355
2025-01-08,161,180,156.38,156.38,3837
2025-01-09,140.74,140.74,140.74,140.74,414
2025-01-10,126.67,126.67,126.67,126.71,55
2025-01-13,114.04,114.04,114.04,114.04,1774
2025-01-14,104,125.44,104,125.44,6183
2025-01-15,129.9,130,115.05,125.71,4587
2025-01-16,116,124.49,113.14,113.21,3166
2025-01-17,120.49,122.5,103,113.21,62
2025-01-20,121.94,121.94,105,113.47,1971
2025-01-21,102.5,116.98,102.5,113.47,251
2025-01-22,102.2,106.02,102.12,103,609
2025-01-23,111.8,111.8,109.99,110.15,411
2025-01-24,118.74,118.74,117,110.15,13
2025-01-27,118.74,118.74,99.14,99.19,1860
2025-01-28,103,103,89.27,90.65,715
2025-01-29,90.5,90.5,82.02,89.57,277
2025-01-30,89.99,89.99,89.98,89.57,16
2025-01-31,96.5,96.5,96.5,89.57,56
2025-02-03,94.99,94.99,89.89,89.57,214
2025-02-04,89.99,89.99,89.99,89.57,2979
2025-02-06,87,88.98,81.02,89.57,194
2025-02-07,81,89.9,81,89.57,258
2025-02-11,89,89,89,89.57,1
2025-02-12,89.57,89.57,80.62,89.57,239
2025-02-13,81,98.53,81,98.5,7429
2025-02-14,100,108.35,100,108.29,5171
2025-02-17,115,119.12,97.66,118.93,4941
2025-02-18,118,130.82,107.56,128.57,3234
2025-02-19,140.99,141.43,130,141.43,1516
2025-02-20,128.27,155.57,127.29,127.29,39703
2025-02-21,131.5,132,114.56,115,6947
2025-02-24,125,125,104.11,105.33,677
2025-02-25,115,115,95.25,105.33,134
2025-02-26,115,115,100,103.06,731
2025-02-27,102,102.5,102,103.06,681
2025-02-28,93.5,96.02,93.5,103.06,25
2025-03-03,103,103,93.5,103.06,21
2025-03-04,94.82,94.82,94.82,103.06,1
2025-03-06,109.99,109.99,109.99,103.06,1
2025-03-07,95,107,95,103.06,102
2025-03-10,103.06,107.5,97,101.58,257
2025-03-11,94.01,100,93.09,101.58,257
2025-03-12,93.1,97.5,93.1,95.62,569
2025-03-13,95,95,87.01,87.17,646
2025-03-14,87.25,87.25,87.25,87.17,1
2025-03-17,88,90,88,87.17,14
2025-03-18,93.99,93.99,93.99,87.17,50
2025-03-19,92,92,92,92,296
2025-03-20,86.02,92,86.02,92,204
2025-03-21,83.07,95,83.07,92.1,1843
2025-03-24,98.99,98.99,97.99,92.1,41
2025-03-25,99.96,99.96,99.96,92.1,2
2025-03-26,99.89,99.89,98.99,92.1,6
2025-04-03,98,100,98,92.1,63
2025-04-04,87.27,96.99,87.27,88,601
2025-04-07,89.5,92,88,88.26,625
2025-04-08,90,90,90,88.26,40
2025-04-09,80.12,90,80.12,88.26,32
2025-04-11,90,90,90,88.26,10
2025-04-14,80.11,85,80.1,88.26,286
2025-04-15,0,0,0,88.26,1
2025-04-17,81,97.09,81,95.81,2021
2025-04-18,91,91,91,95.81,1
2025-04-21,92,92,92,95.81,1
2025-04-22,91,91,91,95.81,148
2025-04-23,96,100,96,95.81,14
2025-04-24,86.25,94.74,86.25,86.6,1048
2025-04-25,89,89,80,86.6,38
2025-04-28,83,90,83,86.6,115
2025-04-30,80,80,80,86.6,66
2025-05-06,77.94,90,77.94,86.6,217
2025-05-07,77.94,77.94,77.94,86.6,100
2025-05-09,85.97,85.97,85.97,86.6,20
2025-05-12,86.5,86.5,80.01,86.6,100
2025-05-13,77.96,90,77.96,78.36,655
2025-05-14,0,0,0,78.36,10
2025-05-15,84.99,84.99,84.99,78.36,1
2025-05-16,77.5,77.5,77.5,78.36,103
2025-05-20,78.36,78.36,78.36,78.36,10
2025-05-21,78.36,78.36,78.35,78.36,170
2025-05-22,77,77,77,78.36,100
2025-05-23,72,84.98,70.52,78.36,124
2025-05-27,84.99,85,75.5,78.36,226
2025-05-29,86,86.2,77.01,83.32,613
2025-05-30,91.64,91.64,86,90,731
2025-06-02,99,99,83,90,306
2025-06-03,98.7,98.7,91.01,90,75
2025-06-04,98.7,98.7,91.01,91.13,203
2025-06-05,99.7,99.7,83,91.13,268
2025-06-11,98.15,98.15,95,91.13,21
2025-06-12,93.15,93.15,93.15,91.13,14
2025-06-16,83,83,83,91.13,26
2025-06-23,84,84,83.02,91.13,200
2025-06-24,90,99.98,85,91.13,198
2025-06-25,95,95,87,91.13,200
2025-06-26,90,90,90,91.13,100
2025-06-27,90,100.24,86.04,98.92,7838
2025-06-30,108.8,108.81,90,93.98,17240
2025-07-01,94.9,103.34,90.5,99.63,4873
2025-07-02,108,108,98.5,99.63,43
2025-07-03,106.9,106.9,90.06,94.42,739
2025-07-04,102,102.98,84.98,89.89,3831
2025-07-07,90,91,90,90.8,1120
2025-07-08,96.99,96.99,88,90.8,34
2025-07-09,92,99.88,92,99.62,13073
2025-07-10,108,109.58,95,109.58,1472
2025-07-11,120.54,120.54,120.53,120.54,2400
2025-07-14,132.59,132.59,132.59,129.93,142
2025-07-15,142.91,142.91,116.94,118.06,23650
2025-07-16,123.99,123.99,107.03,110,348
2025-07-17,103.06,115.92,103.06,112.28,537
2025-07-18,122,122,102.1,102.7,1650
2025-07-21,112,112,103,102.7,221
2025-07-22,108,108,102.7,102.7,154
2025-07-23,112.7,112.97,107,112.97,1268
2025-07-24,112.97,112.97,102.27,103.2,906
2025-07-25,105,105,103,103.2,700
2025-07-28,100,109.98,100,103.2,10
2025-07-29,113.45,113.52,95.01,113.45,3112
2025-07-30,120.99,124.8,110,124.8,5856
2025-07-31,125.45,137.28,113,114.64,10329
2025-08-01,111,115.88,107,114.64,167
2025-08-04,103.36,110,103.36,114.64,159
2025-08-05,106,124,106,109.41,909
2025-08-06,110,110,100.1,109.41,33
2025-08-08,109,109,109,109.41,68
2025-08-11,101,112,101,109.41,27
2025-08-12,105,115,105,114.93,2497
2025-08-13,105.1,105.3,105.1,114.93,5
2025-08-18,105,105,105,114.93,100
2025-08-20,111.87,111.87,108,114.93,80
2025-08-25,114,114,114,114.93,100
2025-08-26,114,126.42,114,126.42,4933
2025-08-27,137.5,139.06,137.5,139.06,2487
2025-08-28,152.97,152.97,125.15,138.4,25301
2025-08-29,140,152.24,124.56,125.96,18919
2025-09-01,125.95,125.95,124.56,125.96,808
2025-09-02,113.6,128.99,113.6,127.99,834
2025-09-03,133.9,133.9,116.5,121.51,985
2025-09-04,116,121.5,111.52,116.41,476
2025-09-05,126.98,126.98,110.01,116.41,67
2025-09-08,116.4,126.98,104.77,113.52,3928
2025-09-10,115.88,115.88,106,113.52,318
2025-09-11,106.01,114.99,106.01,108.11,1513
2025-09-12,115,115,109,108.11,334
2025-09-16,117.98,117.98,107.5,114.69,986
2025-09-17,117.88,117.88,110,114.69,202
2025-09-18,108.01,120,108.01,110.4,613
2025-09-19,119.98,119.98,119.98,110.4,1
2025-09-22,119.98,119.98,106.01,110.4,4
2025-09-23,121.2,121.2,103.22,103.85,595
2025-09-24,113.97,113.97,113.97,103.85,1
2025-09-25,108,109.99,108,103.85,29
2025-09-26,110,114,106.5,113.04,789
2025-09-29,111,111,107,110.5,1622
2025-09-30,112,112,107.2,108,2320
2025-10-01,105.02,111,105,108,110
2025-10-02,105,105,102.22,102.22,499
2025-10-03,108.98,111.97,108.98,102.22,8
2025-10-06,106,111.2,98,108.92,411
2025-10-07,101.39,107.99,101.39,102.04,537
2025-10-08,105.01,105.01,96,102.04,4
2025-10-09,111.5,111.5,95,102.04,62
2025-10-10,93.95,100,93.95,102.04,96
2025-10-13,111.05,111.05,108.99,102.04,174
2025-10-15,95,108,95,102.04,26
2025-10-16,96.5,96.5,96,96,460
2025-10-17,0,0,0,96,28
2025-10-20,96,103.99,96,96,101
2025-10-21,97,102,96.99,96,203
2025-10-24,96,96,96,96,3
2025-10-28,95,97,95,96,25
