date,open,high,low,close,volume
2023-01-03,155,155,155,155,200
2023-01-04,143.38,143.38,143.38,143.38,800
2023-01-06,132.63,132.63,132.63,132.63,200
2023-01-09,125.01,125.01,125,125,5100
2023-01-10,115.7,132,115.7,125.3,1400
2023-01-11,116.1,134.69,116.1,134.69,900
2023-01-12,144.79,144.79,140,143.19,300
2023-01-13,153.9,153.9,153.9,153.9,200
2023-01-19,141.76,163.7,141.76,142.01,5700
2023-01-25,131.36,132,131.36,131.68,200
2023-01-26,125,125.5,125,125.25,200
2023-01-27,123.1,125.25,123.1,125.25,200
2023-01-30,134.4,134.4,125.25,125.25,100
2023-01-31,125.5,125.5,125.5,125.5,200
2023-02-01,125.5,126,125.5,125.5,1500
2023-02-06,125.5,134.91,125.5,134.91,800
2023-02-07,145.02,145.02,124.8,143.99,900
2023-02-08,152.85,152.85,152.85,152.85,200
2023-02-09,141.39,141.39,141.39,141.39,1900
2023-02-10,133.2,133.2,133.2,133.2,500
2023-02-13,125,141.93,125,130.64,300
2023-02-14,130.64,130.64,130.64,130.64,100
2023-02-15,120.86,121.1,120.86,120.94,300
2023-02-16,130.01,130.01,120.94,120.94,100
2023-02-20,130,130,120.94,120.94,100
2023-02-23,130.01,130.01,121.5,121.5,100
2023-02-24,130.61,130.61,130.2,130.2,100
2023-02-27,130.3,130.3,123,126.73,400
2023-02-28,129,134,129,134,300
2023-03-06,128,128,125,125,400
2023-03-07,120.01,125,120.01,125,100
2023-03-09,116,116,115.7,115.95,1100
2023-03-10,110,120,108,114,3500
2023-03-15,105.5,115,105.5,108.5,500
2023-03-17,112.01,112.01,112.01,112.01,300
2023-03-21,103.65,110,103.65,109,700
2023-03-24,110,110,109,109,100
2023-03-28,101,101,101,101,300
2023-03-29,93.5,101,93.5,95.38,400
2023-03-30,102.53,102.53,95.38,95.38,100
2023-04-05,102.53,102.53,95.38,95.38,200
2023-04-06,102.53,102.53,95.38,95.38,200
2023-04-07,102.53,102.53,95.38,95.38,100
2023-04-12,110.21,110.21,110.21,110.21,500
2023-04-13,105,105,101.95,102.49,1200
2023-04-18,97.1,102.49,97.1,102.49,100
2023-04-19,102,102.49,102,102.49,200
2023-04-27,97.01,97.01,97.01,97.01,300
2023-04-28,90,102,90,92.03,900
2023-05-02,91,91,91,91,400
2023-05-03,91,91,91,91,100
2023-05-04,91,97.82,87.01,91.33,700
2023-05-05,92,92,85.15,85.15,400
2023-05-08,88,88,85.15,85.15,100
2023-05-10,91.53,91.53,91.53,91.53,300
2023-05-11,84.75,84.75,84.75,84.75,300
2023-05-15,91.1,91.1,91.1,91.1,100
2023-05-25,97.93,97.93,95.01,96.95,300
2023-05-26,97,97,97,97,200
2023-05-29,104.28,104.28,104.28,104.28,1600
2023-05-31,112.1,112.1,108,112.1,4000
2023-06-05,112,112,112,112,2000
2023-06-09,112,120,112,115.93,3300
2023-06-13,112,112,112,115.93,200
2023-07-20,105,105,105,105,1000
2023-07-26,98,98,98,98,500
2023-08-04,92,92,92,92,500
2023-08-08,88,88,88,88,1000
2023-08-09,94.6,94.6,94.6,94.6,500
2023-08-24,100,101.7,100,101.7,1000
2023-08-31,109.33,109.33,109.33,109.33,500
2023-09-22,98.61,98.61,98.61,98.61,500
2023-09-26,99,106.01,99,106.01,4500
2023-09-28,103,103,103,103,4500
2023-10-04,99,99,99,99,500
2023-10-05,103,103,103,103,3500
2023-10-06,103,103,103,103,500
2023-10-18,110.73,110.73,110.73,110.73,500
2023-11-06,93,93,93,93,1500
2023-11-07,92.25,92.25,91.2,91.2,1500
2023-11-08,98.04,98.04,98.04,98.04,10000
2023-11-21,124.3,124.3,124,124,1000
2023-11-24,133.3,133.3,133.3,133.3,500
2023-11-27,139,139,139,139,5000
2023-11-28,149.25,149.25,149.25,149.25,5000
2023-11-29,157.25,157.25,157.25,157.25,2000
2023-11-30,156.75,156.75,156.75,156.75,3000
2023-12-01,145,146,145,146,1000
2023-12-06,136.1,136.5,136.1,136.5,1500
2023-12-07,136,136,136,136,500
2023-12-18,135,135,135,135,8000
2023-12-20,124.88,124.88,124.88,124.88,1000
2024-01-01,125,125,125,125,400
2024-01-04,120,120,120,125,200
2024-01-29,125,125,125,125,3000
2024-02-12,134.38,134.38,134.38,125,100
2024-03-14,120,120,120,125,100
2024-03-21,125,125,125,125,200
2024-04-09,125,125,125,125,200
2024-04-16,132.99,134.38,132.99,134.38,700
2024-04-17,143.99,143.99,124.3,130.57,600
2024-04-18,134.99,134.99,134.99,130.57,100
2024-04-23,129.9,137,128,129.81,573
2024-04-24,139,139,129,134.59,604
2024-04-25,124.5,135,124.5,131.07,841
2024-04-26,140.5,140.5,125,127.26,371
2024-04-29,123.01,131.99,123.01,127.26,138
2024-04-30,135,135,131,127.26,2
2024-05-02,131,131,131,127.26,11
2024-05-03,136.7,136.7,135,127.26,51
2024-05-06,136.8,136.8,129,131,734
2024-05-07,135,135,121.25,125.01,156
2024-05-08,131,131,121.98,131,190
2024-05-10,133.99,134.99,121.18,125.77,252
2024-05-13,135,135,133.49,125.77,11
2024-05-14,125,135,125,129.18,421
2024-05-15,138.85,138.85,130,130.9,419
