date,open,high,low,close,volume
2023-07-11,100,107.49,93.1,107.49,7000
2023-07-21,99.43,99.45,99.43,99.44,2000
2023-07-25,94,94,94,94,500
2023-07-26,97.01,97.01,97.01,97.01,500
2023-07-27,93.5,95,93.5,95,1000
2023-08-01,95,95,95,95,1500
2023-08-03,100.99,100.99,100.99,100.99,1000
2023-08-04,94.14,94.14,94.14,94.14,500
2023-08-07,96,96,96,96,500
2023-08-09,95.01,95.01,95.01,95.01,500
2023-08-24,93,93,93,93,500
2023-09-04,92,92,86.03,86.77,6000
2023-09-06,86,86,86,86,500
2023-09-08,91.9,91.9,91.9,91.9,500
2023-09-11,94,98.79,93,98.79,13000
2023-09-12,100,100.5,100,100.25,3500
2023-09-18,97,97,93.02,93.02,3500
2023-09-25,99.9,99.99,99.9,99.99,1000
2023-09-27,100,100,100,100,500
2023-10-04,92.5,92.5,92.5,92.5,1500
2023-10-05,94.89,94.89,87.61,87.61,1000
2023-10-10,94,94,94,94,500
2023-10-12,89.03,89.03,89.03,89.03,500
2023-10-13,95.7,95.71,85.51,93.21,5000
2023-10-20,95.95,95.95,92.29,92.29,3500
2023-10-23,95,99,95,99,2500
2023-10-27,94.15,94.15,93,93,7000
2023-10-30,93,93,93,93,1000
2023-11-01,94.95,94.95,93.2,94.37,21500
2023-11-02,92,92,92,92,500
2023-11-03,98.75,98.9,98.75,98.88,21500
2023-11-06,105.98,106.3,100,100,13500
2023-11-07,103.05,103.05,100.52,100.52,2000
2023-11-08,98.51,101.5,98.51,101.5,1500
2023-11-10,102.99,103,102.99,103,1000
2023-11-13,106.99,106.99,106.99,106.99,500
2023-11-15,101.2,101.2,101.11,101.11,7500
2023-11-16,102,102,100,100,1500
2023-11-17,101.5,101.5,100.1,100.1,2000
2023-11-20,98,100,98,100,2500
2023-11-21,100,100,100,100,500
2023-11-22,100,100,100,100,500
2023-11-23,104,107.5,103,107,10500
2023-11-24,111.01,115.03,111.01,115.03,6500
2023-11-27,123,123.66,123,123.66,10000
2023-11-28,132,132,118,118,10500
2023-12-04,126,126,116,116,1500
2023-12-05,115,115,115,115,1000
2023-12-07,120,120,120,120,1500
2023-12-11,111,111,111,111,1500
2023-12-13,106,106,106,106,500
2023-12-14,101.01,105,101.01,105,1000
2023-12-18,102.02,103,102.02,103,1000
2023-12-19,107.9,107.9,107.88,107.88,1500
2023-12-26,102.01,106,102.01,106,1000
2023-12-28,108,111,106,111,2000
2023-12-29,103,103,102.68,102.84,1000
2024-01-01,107,107,107,107,1000
2024-01-05,108,108,108,108,1000
2024-01-08,108,108,108,108,1000
2024-01-12,103,103,101,101,4500
2024-01-17,93.45,93.45,93.45,93.45,500
2024-01-18,90.03,91,90.03,91,1500
2024-01-23,87.5,89,87.5,89,2000
2024-01-26,82.55,90,82.55,90,1500
2024-01-29,89.89,89.89,85.05,86.71,3500
2024-02-06,83,83,83,83,500
2024-02-07,89,89,89,89,500
2024-02-09,89,89,89,89,500
2024-02-19,92,92,89,89,1000
2024-02-22,95,95.68,95,95.68,2000
2024-02-26,92.1,92.1,92.1,92.1,500
2024-02-27,85.53,87,85.3,86.83,7500
2024-02-28,93,93,89.9,93,3000
2024-02-29,86.8,90.3,86.75,90.3,1500
2024-03-01,88,88,88,88,500
2024-03-06,91.5,91.5,91.5,91.5,500
2024-03-11,91.02,91.02,91.02,91.02,500
2024-03-13,94.5,94.5,94.5,94.5,500
2024-03-14,96,96,93.5,93.5,1000
2024-03-19,92.5,92.5,92.5,92.5,500
2024-03-20,89,89,89,89,500
2024-03-21,90,90,89,89,1000
2024-04-01,91.65,91.65,91.65,91.65,1500
2024-04-03,88,88,88,88,1000
2024-04-04,91.6,91.6,91.6,91.6,500
2024-04-18,88,88,88,88,500
2024-04-19,91.65,94.6,91.65,94.6,1000
2024-04-22,91,99.8,91,95.99,1500
2024-04-23,92,92,91.5,91.75,1000
2024-04-24,92,92,91.7,91.7,9500
2024-04-25,91.7,91.7,91.7,91.7,4000
2024-04-26,91.7,91.7,91.69,91.69,3000
2024-04-30,90.5,90.5,90.5,90.5,2000
2024-05-02,90,90,85.21,85.5,3000
2024-05-03,89,89,85,85,4500
2024-05-06,85,86.5,83,86.5,2000
2024-05-07,88.5,89.5,88.5,89.5,2500
2024-05-08,87,87,87,87,1000
2024-05-10,88,88,88,88,500
2024-05-13,88.1,90,88.1,90,3000
2024-05-15,89.5,89.9,89.5,89.6,2000
2024-05-16,90.5,95.9,90.5,92,6000
2024-05-20,92.5,92.5,92.5,92.5,500
2024-05-23,92,92,92,92,500
2024-05-27,91,91,90.6,90.7,820
2024-05-29,88.41,93.78,88.41,89.16,2560
2024-05-30,91.65,91.65,91,89.16,2
2024-05-31,91.51,91.51,89.51,89.16,191
2024-06-03,91,91,91,89.16,400
2024-06-04,91.5,91.5,91.5,91.5,283
2024-06-05,91.5,91.7,91.5,91.54,657
2024-06-06,90,90.91,90,90.63,477
2024-06-07,91.2,91.2,91.2,91.2,500
2024-06-10,91,92.1,91,92.01,820
2024-06-11,97.99,97.99,90.02,90.02,311
2024-06-13,91.7,91.7,91,91.34,390
2024-06-14,90.11,92.59,90,90.43,1012
2024-06-20,92,92,88,88.4,1817
2024-06-21,93.48,93.49,80.89,85.96,8273
2024-06-24,86.99,87.98,86,87.12,2716
2024-06-25,90,90,85.2,86.99,1289
2024-06-26,87.5,87.5,85,85.18,1110
2024-06-27,85.86,86.95,85.86,85.18,132
2024-06-28,87,87,86,86.3,355
2024-07-01,87,87,82.51,82.79,807
2024-07-02,86.85,86.86,86.85,86.86,401
2024-07-03,89.89,89.89,88,86.86,136
2024-07-04,87,87.98,86.26,86.92,705
2024-07-05,87.92,87.92,87.92,86.92,10
2024-07-08,87,87,86.5,86.92,135
2024-07-09,87,87,87,86.92,340
2024-07-11,83.25,87.5,83.25,87.22,1605
2024-07-12,85.11,89,85.11,85.26,1185
2024-07-15,93,93,86,87.13,471
2024-07-18,87.15,88.15,83.5,85.43,653
2024-07-19,83.5,84.03,83.5,83.78,2200
2024-07-22,84.99,85,84.84,84.92,335
2024-07-24,87,87,87,84.92,5
2024-07-25,85.1,86,85.1,85.13,520
2024-07-26,85,85,80.8,84.94,506
2024-07-29,80.8,82.82,80.8,82.82,938
2024-07-31,89.99,89.99,82,82.82,85
2024-08-02,86.15,86.15,86.15,82.82,35
2024-08-05,90.99,90.99,84,82.82,126
2024-08-06,85.5,85.84,77,83.16,1326
2024-08-08,82,85,82,82.76,600
2024-08-09,78,84.99,78,82.76,201
2024-08-12,83.01,83.01,83.01,82.76,50
2024-08-13,83,84.5,80,80.19,1112
2024-08-15,80.5,83,80.02,80.3,1900
2024-08-16,87.3,87.3,84.95,80.3,110
2024-08-19,81.88,81.88,81.87,80.3,12
2024-08-20,82,82,82,80.3,161
2024-08-21,81.01,82.01,81.01,81.79,453
2024-08-22,82,82.03,80.1,80.57,649
2024-08-23,81.2,84,80.05,81.7,357
2024-08-26,85.05,85.05,81.05,81.05,555
2024-08-27,84.9,84.9,82,82,565
2024-08-28,80,83,80,81.09,450
2024-08-29,80.11,80.11,80.01,81.09,130
2024-08-30,79.8,81.99,79.8,80.15,1050
2024-09-02,79,82.02,75,79.08,1439
2024-09-03,79,80,78.4,78.61,361
2024-09-04,80,82,80,78.61,236
2024-09-05,80,80,80,78.61,100
2024-09-06,80.01,80.99,79.11,78.61,241
2024-09-09,80.01,80.01,80.01,78.61,200
2024-09-10,80.01,80.01,80.01,78.61,100
2024-09-12,81,81,81,78.61,100
2024-09-13,82.05,82.1,77,79.38,1179
2024-09-16,80,87.32,80,87.32,5083
2024-09-18,94.73,96.05,87.01,89.79,22571
2024-09-19,92.85,94,85.1,87.01,6002
2024-09-20,82.5,85.49,82.2,83.74,5949
2024-09-23,82.25,85.9,82.25,84.53,942
2024-09-25,84.5,84.5,84,84.53,200
2024-09-26,84.1,84.1,81.1,84.53,200
2024-09-27,84.53,90,84.53,85.19,577
2024-10-02,89.95,89.99,84,85.56,525
2024-10-03,86,86.5,85,86.28,770
2024-10-04,90,90,81,84.35,7661
2024-10-07,80,85.69,80,81.56,5798
2024-10-08,85.43,85.43,81.1,81.1,2162
2024-10-09,82.99,82.99,82.89,81.1,51
2024-10-10,82.5,82.5,82,82.28,550
2024-10-11,83,84.8,82.5,82.5,2630
2024-10-14,78.01,82.5,78.01,82.25,517
2024-10-15,82.25,82.75,81,82.25,1239
2024-10-16,82,83.5,81.5,81.68,1220
2024-10-17,81.52,89.85,81.5,89.76,7617
2024-10-18,90,98.74,89,98.74,19903
2024-10-21,101,108.61,88.87,102.63,110700
2024-10-22,107.99,107.99,92.37,92.83,46058
2024-10-23,92.83,92.83,83.55,85.52,53240
2024-10-24,85.52,87.87,84,84.61,3809
2024-10-25,87,88,84,84.09,17645
2024-10-28,84.09,85,80.01,80.02,2002
2024-10-29,85.95,85.95,80.1,80.76,924
2024-10-30,81,84,81,83.14,3892
2024-10-31,81.02,81.55,81.02,81.36,758
