date,open,high,low,close,volume
2024-01-15,3.72,3.78,3.7,3.75,637500
2024-01-16,3.84,3.84,3.66,3.77,1422000
2024-01-17,3.72,3.79,3.72,3.76,335500
2024-01-18,3.78,3.78,3.6,3.66,370000
2024-01-19,3.57,3.76,3.55,3.66,188500
2024-01-22,3.65,3.7,3.6,3.64,222000
2024-01-23,3.65,3.7,3.65,3.65,276500
2024-01-24,3.75,4.12,3.65,3.9,3851500
2024-01-25,3.98,3.99,3.6,3.71,892000
2024-01-26,3.75,3.79,3.62,3.69,291000
2024-01-29,3.74,3.74,3.58,3.62,895500
2024-01-30,3.6,3.7,3.55,3.56,598000
2024-01-31,3.6,3.65,3.55,3.58,367000
2024-02-01,3.59,3.68,3.53,3.62,815500
2024-02-02,3.69,3.69,3.56,3.6,337000
2024-02-06,3.65,3.74,3.56,3.6,170000
2024-02-07,3.69,3.69,3.6,3.64,151500
2024-02-09,3.62,3.64,3.54,3.55,295500
2024-02-12,3.63,3.64,3.5,3.51,238000
2024-02-13,3.61,3.61,3.4,3.47,1617000
2024-02-14,3.6,3.65,3.5,3.55,526000
2024-02-15,3.56,3.65,3.45,3.46,892000
2024-02-16,3.54,3.57,3.45,3.5,205500
2024-02-19,3.41,3.48,3.32,3.38,1598000
2024-02-20,3.5,3.55,3.44,3.45,230000
2024-02-21,3.5,3.6,3.48,3.56,256000
2024-02-22,3.57,3.63,3.53,3.53,342500
2024-02-23,3.48,3.6,3.48,3.54,200500
2024-02-26,3.51,3.6,3.51,3.54,393000
2024-02-27,3.56,3.6,3.47,3.58,196500
2024-02-28,3.6,3.85,3.55,3.74,2286500
2024-02-29,3.83,4.09,3.82,3.84,6863500
2024-03-01,3.86,4.14,3.84,4.04,5285000
2024-03-04,4.05,4.09,3.91,3.95,1864000
2024-03-05,4,4,3.8,3.88,971500
2024-03-06,3.85,3.94,3.81,3.84,736500
2024-03-07,3.9,3.9,3.75,3.85,858000
2024-03-08,3.9,3.9,3.75,3.82,528500
2024-03-11,3.85,3.95,3.85,3.85,684500
2024-03-12,3.84,3.85,3.65,3.72,859000
2024-03-13,3.72,3.83,3.64,3.7,592500
