date,open,high,low,close,volume
2023-11-23,50,50,50,50,500
2024-06-05,39.04,39.5,39.04,39.22,517
2024-06-06,36.08,37,36.08,39.22,2
2024-07-11,35.51,35.51,35.5,39.22,131
2024-07-18,35.5,35.5,35.5,35.5,782
2024-07-22,32,32,32,35.5,327
2024-08-21,32.01,33,31.95,32.33,2305
2024-08-22,32.33,32.33,30,32.33,11
2024-08-26,29.1,31.99,29.1,31.99,3904
2024-08-28,29.33,31.99,29.31,31.99,172
2024-08-29,30,31.9,30,31.99,225
2024-08-30,31,31.1,31,31.99,100
2024-09-02,31.75,31.75,31.75,31.99,150
2024-09-03,31,31,31,31.99,10
2024-09-04,31.99,31.99,31.99,31.99,445
2024-09-05,31.99,31.99,31.99,31.99,100
2024-09-06,32,32,32,31.99,50
2024-09-13,31.99,32.1,31.99,31.99,11
2024-09-18,31,31,30.5,30.95,1052
2024-09-19,30.95,30.95,29.5,30.95,102
2024-09-23,29,29,29,29,1000
2024-09-24,30.99,30.99,30.99,29,260
2024-09-25,31.9,31.9,31.89,29,226
2024-09-27,27,27,27,29,80
2024-09-30,27,27.25,27,28.31,240
2024-10-04,31.1,31.1,31.1,28.31,2
2024-10-07,28.3,28.3,28.3,28.31,375
2024-10-08,31.13,31.13,31.13,28.31,2
2024-10-09,31.13,31.13,31.13,28.31,30
2024-10-14,28.31,28.31,28.31,28.31,1
2024-10-16,31.14,31.14,31.14,31.14,1001
2024-10-22,34,34,34,31.14,5
2024-11-04,31.14,31.14,31.14,31.14,1
2024-11-08,34,34,34,31.14,13
2024-11-11,0,0,0,31.14,4
2024-11-15,31.14,31.14,31.14,31.14,1
2024-11-18,34,34,34,31.14,10
2024-11-19,34,34,34,31.14,10
2024-11-20,34,34,34,31.14,2
2024-11-21,34,34,30,31.14,37
2024-11-25,34,34,34,31.14,5
2024-11-26,34,34,33,31.14,2
2024-12-02,33,33,33,31.14,1
2024-12-03,29.15,29.15,29.15,29.15,3928
2024-12-06,31,31,31,29.87,300
2024-12-11,28,28,28,29.87,500
2024-12-12,28.1,28.1,28.1,29.87,150
2024-12-18,28.1,31,28.1,29.87,102
2024-12-23,29,29,29,29.87,99
2024-12-24,28,28,28,29.87,201
2024-12-30,27.5,27.5,27.5,29.87,1
2025-01-03,27.3,27.3,27.3,29.87,5
2025-01-08,27.1,27.1,27.1,29.87,1
2025-01-14,29.8,29.8,29.8,29.87,465
2025-01-16,30,30,30,29.87,70
2025-01-20,30,30,30,29.87,1
2025-01-23,28.5,28.5,28.5,29.87,96
2025-02-04,30,30,30,29.87,17
2025-03-24,32,32,32,29.87,1
2025-04-09,27.22,30,27.22,29.87,12
2025-04-14,27.26,27.26,27.26,29.87,1
2025-04-17,29.5,29.5,28,29.87,381
2025-04-18,30,30,28,29.87,3
2025-04-21,29.9,29.9,28,29.87,2
2025-04-22,30,30,30,29.87,88
2025-05-16,31,31,31,29.87,20
2025-05-20,27.1,31,27.1,29.87,3
2025-05-22,30,30,30,30,2005
2025-05-26,31,31,31,30,1
2025-05-29,31,31,31,30,1
2025-05-30,30,33,30,30,217
2025-06-02,33,33,31.13,32.94,552
2025-06-03,36.2,36.2,31.6,32.94,79
2025-06-04,35,36.23,35,36.23,1085
