date,open,high,low,close,volume
2024-01-16,99,99.01,96.86,97.57,101509
2024-01-17,98.5,98.99,95,95.74,81610
2024-01-18,95.5,95.5,92.01,94.46,167120
2024-01-19,94.51,101.48,94.51,98.28,486470
2024-01-22,98.9,98.9,97.1,97.84,75604
2024-01-23,97.4,98,96.81,96.96,197824
2024-01-24,98,98.8,96.5,96.74,132542
2024-01-25,97.47,97.95,95.06,96.25,280215
2024-01-26,96.96,97,95.25,96.16,200729
2024-01-29,96.11,96.11,94,94.56,193296
2024-01-30,95.8,95.88,90.51,91.8,74041
2024-01-31,92.51,97.51,92.11,92.33,63166
2024-02-01,92.97,93.85,92.01,93.22,58992
2024-02-02,93,94.4,92,92.83,49514
2024-02-06,94.15,95.75,92.39,93.62,108580
2024-02-07,94.5,94.6,93,93.05,55973
2024-02-09,93.2,93.2,88.5,90.79,172692
2024-02-12,89.25,91.54,89,89.72,184383
2024-02-13,89.72,91.1,88.13,90.57,79129
2024-02-14,91.99,94.9,91.99,93.22,216810
2024-02-15,92.75,93.34,89.8,89.96,71512
2024-02-16,91.44,91.44,87,87.89,159850
2024-02-19,87.5,89,85.06,88.5,112250
2024-02-20,89,91,88.1,88.42,66593
2024-02-21,90.06,91.84,89.75,90.38,117610
2024-02-22,91.1,94.21,90.5,92.77,277200
2024-02-23,92.1,97.1,92,95.17,430734
2024-02-26,98,102.31,98,102.31,925642
2024-02-27,105.03,106,99.7,100.74,1077797
2024-02-28,100.84,101.5,98,99.19,848690
2024-02-29,99.99,101.99,99,99.33,927777
2024-03-01,99.35,102.8,99.2,101.68,465656
2024-03-04,102.05,102.5,99.55,100.33,410602
2024-03-05,100.13,102.48,100,100.84,544460
2024-03-06,101.06,101.99,99.5,100.17,222369
2024-03-07,100.49,100.92,99,100.05,178778
2024-03-08,100,100.45,99.05,99.82,324911
2024-03-11,100.49,104.94,99.22,102.55,1083892
2024-03-12,102.55,103.3,100.02,100.49,383342
2024-03-13,100.4,101.2,98.56,99.01,296827
2024-03-14,98.56,101,98.56,100.09,402981
2024-03-15,101.77,102,99.5,99.87,203563
2024-03-18,99.6,100,99.01,99.36,146968
2024-03-19,99.02,99.82,98.05,99.06,183771
2024-03-20,99.49,104.9,99.49,103.79,1466661
2024-03-21,104.99,109.35,102.5,103.06,1146130
2024-03-22,103.25,104,101.35,101.82,223555
2024-03-25,101.89,102,100.6,101.13,91505
2024-03-26,102,104,100.5,103.14,208984
2024-03-27,103.5,104.1,102.75,103.51,233178
2024-03-28,104.1,106,103,105.71,322960
2024-03-29,106.3,110,106,107.56,976373
2024-04-01,107.55,108.44,106.01,106.38,186963
2024-04-02,106.5,107,105.11,105.44,117121
