date,open,high,low,close,volume
2024-01-10,22.49,22.65,21.99,22.09,529000
2024-01-11,22.35,22.35,22.0,22.09,476000
2024-01-12,22.15,22.38,21.81,21.88,545500
2024-01-15,22.05,22.18,21.6,21.63,278500
2024-01-16,21.55,21.6,21.11,21.29,265500
2024-01-17,21.39,21.5,20.51,21.01,581000
2024-01-18,20.85,21.07,20.51,20.87,367000
2024-01-19,20.62,21.13,20.62,20.86,174500
2024-01-22,20.62,21.34,20.52,20.85,199500
2024-01-23,20.85,21.25,20.65,21.13,245500
2024-01-24,21.2,21.37,21.02,21.05,310000
2024-01-25,21.06,21.3,20.82,20.89,337500
2024-01-26,21.0,21.0,20.4,20.59,368000
2024-01-29,20.56,20.94,20.5,20.55,157000
2024-01-30,20.56,20.7,20.01,20.11,227000
2024-01-31,20.19,20.5,19.5,19.83,544500
2024-02-01,19.62,20.1,19.62,19.81,212500
2024-02-02,20.19,20.3,19.82,19.98,200500
2024-02-06,20.29,20.29,19.81,20.0,444000
2024-02-07,20.18,20.47,19.96,20.38,667000
2024-02-09,20.06,20.14,19.32,19.93,153500
2024-02-12,19.8,19.98,19.0,19.07,375500
2024-02-13,19.13,19.25,18.6,18.92,566000
2024-02-14,19.47,19.59,19.21,19.33,365500
2024-02-15,19.6,19.63,18.99,19.06,336000
2024-02-16,18.85,19.28,18.68,18.96,210500
2024-02-19,19.16,19.5,18.7,19.46,449000
2024-02-20,19.7,19.7,19.17,19.24,232000
2024-02-21,19.35,19.8,19.3,19.43,262500
2024-02-22,19.45,19.7,19.4,19.44,218000
2024-02-23,19.57,19.57,19.3,19.37,268500
2024-02-26,19.3,20.25,19.3,20.05,877000
2024-02-27,20.1,20.5,19.73,19.84,862500
2024-02-28,19.8,20.5,19.8,20.31,624000
2024-02-29,20.4,21.18,20.32,20.44,1206500
2024-03-01,20.4,20.53,20.2,20.4,163000
2024-03-04,20.5,20.87,20.45,20.76,659000
2024-03-05,20.8,20.91,20.7,20.83,737000
2024-03-06,20.83,21.0,20.75,20.81,536000
2024-03-07,20.81,21.09,20.75,21.01,431500
2024-03-08,21.08,22.59,21.05,22.59,1908500
2024-03-11,23.0,24.28,23.0,24.26,9399000
2024-03-12,24.76,25.4,22.79,23.33,6209000
2024-03-13,23.5,24.3,22.25,22.57,2561500
2024-03-14,22.66,24.0,22.66,23.86,1317500
2024-03-15,23.95,25.65,23.88,25.56,8628500
2024-03-18,25.9,27.48,25.81,27.48,9677000
2024-03-19,28.01,29.54,27.75,29.54,14646500
2024-03-20,29.96,31.74,28.3,28.97,17997500
2024-03-21,28.0,30.16,27.72,28.06,5827500
2024-03-22,28.07,29.0,27.51,28.04,3632000
2024-03-25,28.19,29.84,27.8,29.15,5762000
2024-03-26,29.2,31.34,29.2,30.91,8519000
2024-03-27,31.55,33.23,31.5,33.12,18792000
2024-03-28,33.47,34.48,31.0,31.36,11787500
2024-03-29,31.45,32.2,30.45,30.88,6755000
2024-04-01,30.81,31.9,29.75,30.09,4385000
2024-04-02,30.23,31.87,29.4,31.25,6531000
2024-04-03,31.5,31.55,29.49,29.82,3302500
2024-04-04,29.82,30.55,29.5,30.18,2711000
2024-04-08,30.26,31.2,29.76,30.5,3127500
2024-04-09,31.0,31.0,29.5,29.86,1264500
2024-04-15,29.87,29.87,28.61,29.43,3531500
2024-04-16,29.51,30.69,29.4,29.75,3763000
2024-04-17,29.75,29.94,29.3,29.62,814000
2024-04-18,29.8,30.25,28.55,29.05,1866000
2024-04-19,28.77,30.0,28.6,29.23,3182000
2024-04-22,29.49,31.42,29.4,31.13,7265500
2024-04-23,31.9,33.46,31.3,33.46,7985500
2024-04-24,34.2,35.97,34.2,35.97,4421000
2024-04-25,36.9,38.2,34.15,34.72,16637000
2024-04-26,35.02,36.2,34.6,35.18,5594000
2024-04-29,35.88,37.7,35.25,36.23,9590000
2024-04-30,36.51,36.88,33.51,33.63,7700500
2024-05-02,32.52,35.65,31.32,33.8,10032500
2024-05-03,34.35,35.25,33.65,34.71,4094500
2024-05-06,35.11,37.31,35.03,36.17,9984868
2024-05-07,36.75,37.3,34.7,34.95,6936342
2024-05-08,34.99,35.4,33.2,34.02,3337288
2024-05-09,34.25,34.6,33.45,33.64,3094812
2024-05-10,34.13,34.5,33.25,34.04,2698994
2024-05-13,34.23,34.99,33.6,33.79,2127333
2024-05-14,33.83,34.34,33.35,33.57,1377068
2024-05-15,33.88,33.88,32.45,32.61,1395157
2024-05-16,32.5,32.86,31.82,32.03,933833
2024-05-17,32.2,33.4,31.8,32.94,3584313
2024-05-20,33.51,34.4,33.0,33.78,4726347
2024-05-21,33.6,34.75,33.4,33.55,3700066
2024-05-22,33.8,33.8,32.15,32.48,1130489
2024-05-23,32.38,34.92,32.38,34.92,5711269
2024-05-24,35.9,37.01,34.3,34.57,5856941
2024-05-27,34.5,34.56,32.92,33.18,1889055
2024-05-29,33.2,33.44,32.32,32.82,1647132
2024-05-30,32.7,34.25,31.85,33.91,1872092
2024-05-31,34.0,36.62,33.6,36.62,7247773
2024-06-03,37.55,39.55,36.72,39.55,8324053
2024-06-04,41.37,41.37,36.6,36.9,7629418
2024-06-05,36.9,37.97,36.25,36.81,2388797
2024-06-06,37.07,37.41,35.0,35.28,1579968
2024-06-07,35.3,35.9,32.9,35.27,4734591
2024-06-10,35.9,36.69,34.5,35.33,1883296
2024-06-11,36.0,36.35,33.75,34.15,2337410
2024-06-12,34.47,35.3,33.51,34.59,633272
2024-06-13,34.51,36.73,32.0,34.7,10821686
2024-06-14,34.32,35.6,33.6,34.03,2204643
2024-06-20,34.05,36.2,34.0,35.73,3932402
2024-06-21,35.03,36.8,35.03,36.27,3464468
2024-06-24,36.51,39.53,35.8,38.99,7596720
2024-06-25,38.01,38.79,37.15,37.42,2070910
2024-06-26,37.1,37.59,35.78,36.67,2455281
2024-06-27,37.0,37.25,35.8,35.96,874850
2024-06-28,36.23,36.9,34.95,35.19,2194458
2024-07-01,34.34,35.8,34.34,34.55,2987978
2024-07-02,34.85,36.8,34.35,35.05,7388047
2024-07-03,35.05,37.3,34.85,36.64,5673392
2024-07-04,36.99,37.0,35.84,36.26,1768474
2024-07-05,36.3,36.65,35.5,35.66,1133120
2024-07-08,35.5,35.99,34.9,35.48,1055504
2024-07-09,35.45,36.6,34.85,35.65,5218164
2024-07-10,35.65,36.2,35.03,35.37,1454336
2024-07-11,35.1,35.65,34.94,35.06,660670
2024-07-12,35.15,35.95,33.5,35.01,1648844
2024-07-15,35.97,38.0,35.15,37.59,8087858
2024-07-18,38.5,40.99,38.41,39.43,10767597
2024-07-19,39.88,40.01,35.68,36.14,6329422
2024-07-22,36.29,36.59,34.75,35.64,2636945
2024-07-23,36.01,37.89,36.01,37.01,3198500
2024-07-24,37.4,38.8,37.25,37.59,4347139
2024-07-25,37.6,37.88,36.23,36.39,2141130
2024-07-26,36.5,37.62,35.56,36.96,3167561
2024-07-29,37.65,40.35,37.35,39.02,10496470
2024-07-30,39.78,42.92,39.0,40.47,24830333
2024-07-31,40.74,41.4,39.15,39.39,3069062
2024-08-01,39.4,42.4,39.4,40.67,10503448
2024-08-02,41.4,44.74,41.05,44.67,18623103
2024-08-05,44.67,46.0,43.2,44.22,13892929
2024-08-06,44.5,45.58,43.0,44.1,11220385
2024-08-07,44.29,45.88,44.1,44.51,7330559
2024-08-08,44.69,46.25,44.0,44.36,7491253
2024-08-09,44.51,47.7,44.51,46.29,18118186
2024-08-12,46.7,47.4,42.0,42.62,9995689
2024-08-13,43.02,43.6,42.0,42.92,5161322
2024-08-15,43.02,44.34,42.2,42.85,4170702
2024-08-16,42.88,44.15,42.11,42.32,2881133
2024-08-19,42.7,42.85,40.5,41.13,2099299
2024-08-20,41.75,42.19,40.8,41.28,1755285
2024-08-21,42.0,42.5,41.25,41.69,2739721
2024-08-22,41.71,42.2,41.0,41.12,1579091
2024-08-23,41.5,41.95,40.75,40.96,1777281
2024-08-26,41.0,41.19,40.25,40.52,902205
2024-08-27,40.75,42.64,40.5,41.94,6082981
2024-08-28,42.15,43.49,41.46,41.61,5146436
2024-08-29,42.0,42.35,40.91,41.23,2158452
2024-08-30,41.89,42.0,40.81,41.09,3098201
2024-09-02,41.59,41.99,39.8,40.05,2748338
2024-09-03,40.5,41.25,40.21,40.71,1835848
2024-09-04,41.49,43.1,41.45,42.78,6292639
2024-09-05,43.0,43.15,41.7,41.81,1950600
2024-09-06,42.0,42.19,41.4,41.79,1018593
2024-09-09,42.0,42.04,41.51,41.65,425310
2024-09-10,41.85,41.95,41.31,41.71,833501
2024-09-11,41.75,42.6,41.66,41.75,1484077
2024-09-12,42.0,42.01,41.2,41.41,1186434
2024-09-13,42.48,42.48,40.96,41.05,1499226
2024-09-16,41.35,41.48,40.66,40.73,483206
2024-09-18,41.52,42.44,41.03,41.17,2082742
2024-09-19,41.5,41.74,40.7,40.97,1255364
2024-09-20,41.0,41.69,40.57,40.98,1567056
2024-09-23,41.38,42.0,41.0,41.17,2151496
2024-09-24,41.2,43.45,41.2,41.79,11534643
2024-09-25,42.2,43.0,41.22,41.83,3127756
2024-09-26,42.29,42.29,40.81,40.93,1620027
2024-09-27,40.3,40.98,39.45,39.61,1575162
2024-09-30,39.0,39.0,36.65,36.85,2970676
2024-10-01,36.66,38.25,36.35,37.6,1035215
2024-10-02,37.8,37.8,33.84,34.36,8438707
2024-10-03,34.36,35.8,34.36,35.14,4807544
2024-10-04,35.14,35.5,34.4,34.93,1237216
2024-10-07,35.02,35.5,34.9,35.09,972037
2024-10-08,35.18,35.38,33.7,34.68,2889181
2024-10-09,35.1,35.35,34.75,34.94,1089978
2024-10-10,35.25,35.25,34.8,34.95,735081
2024-10-11,35.0,35.2,34.1,34.66,866163
2024-10-14,34.89,35.0,34.4,34.56,562620
2024-10-15,34.7,35.28,34.5,35.11,1064850
2024-10-16,35.21,37.24,35.21,36.79,5534966
2024-10-17,36.9,37.1,36.2,36.3,1573061
2024-10-18,36.08,36.89,35.51,35.67,1092467
2024-10-21,35.56,36.15,35.45,35.91,774437
2024-10-22,36.15,36.65,36.02,36.13,1140020
2024-10-23,36.26,36.5,35.92,36.04,1137329
2024-10-24,36.3,36.59,35.92,36.17,1423162
2024-10-25,36.25,36.25,35.1,35.35,1846291
2024-10-28,35.65,35.79,34.39,34.72,1326722
2024-10-29,34.72,37.4,34.43,36.78,4550431
2024-10-30,37.74,38.37,36.55,36.98,6414920
2024-10-31,37.15,37.4,35.35,35.63,1668776
2024-11-01,35.55,35.89,35.35,35.54,541374
2024-11-04,35.6,36.4,35.3,35.94,1411925
2024-11-05,36.01,36.29,35.55,35.86,1213477
2024-11-06,36.1,36.84,35.86,36.12,2372094
2024-11-07,36.21,36.73,36.05,36.2,1085445
2024-11-08,36.68,36.68,35.95,36.21,837009
2024-11-11,36.25,36.47,35.7,36.09,1139633
2024-11-12,36.06,36.07,35.6,35.67,1136638
2024-11-13,35.6,35.67,35.25,35.41,852562
2024-11-14,35.5,37.4,35.0,36.6,4764627
2024-11-15,36.7,37.25,36.05,36.47,3642550
2024-11-18,36.12,36.12,32.82,34.39,8769982
2024-11-19,34.32,35.14,32.9,34.88,5996301
2024-11-20,35.0,35.4,33.75,34.55,3941917
2024-11-21,35.0,35.29,34.36,34.51,3074729
2024-11-22,34.52,34.8,33.0,33.73,2212634
2024-11-25,33.5,33.89,33.12,33.46,912568
2024-11-26,33.6,33.6,31.85,31.97,1705655
2024-11-27,32.5,33.5,32.2,32.57,1546444
2024-11-28,32.5,34.9,32.5,34.05,4273368
2024-11-29,34.05,36.07,33.73,35.49,10409837
2024-12-02,36.0,36.37,34.8,35.0,6550888
2024-12-03,35.25,35.47,34.1,34.26,3282427
2024-12-04,34.4,35.1,34.01,34.84,3184500
2024-12-05,35.1,35.3,34.76,35.03,2226492
2024-12-06,35.5,35.65,34.5,34.83,1745519
2024-12-09,35.0,35.65,34.7,35.23,1839899
2024-12-10,35.32,36.5,35.05,35.39,3179273
2024-12-11,35.39,35.75,34.5,35.3,1115071
2024-12-12,35.51,35.98,35.24,35.42,1233967
2024-12-13,35.65,37.18,35.3,36.61,5255801
2024-12-16,37.0,40.25,37.0,38.6,8744415
2024-12-17,38.98,38.98,37.5,38.21,2808036
2024-12-18,38.95,39.55,36.0,36.41,3899389
2024-12-19,36.0,36.93,34.55,35.03,1442574
2024-12-20,34.92,35.49,32.1,35.0,1060204
