date,open,high,low,close,volume
2024-01-17,182.95,182.95,177.01,177.62,4000
2024-01-18,177.5,178.9,170,176.08,10200
2024-01-19,178.99,184.98,178.99,181.63,10900
2024-01-22,180.1,180.1,178,179,3200
2024-01-23,180.99,192,180.99,189.48,70900
2024-01-24,188.01,188.01,185,185.31,18600
2024-01-25,184.5,185,181.55,181.84,8200
2024-01-26,180.02,182,179.02,181.5,9000
2024-01-29,180,180.5,175.01,180.25,9300
2024-01-30,177.01,180,176,176.01,5100
2024-01-31,178.97,178.98,177.45,178.15,1600
2024-02-01,178.05,180.5,177.5,179.89,2900
2024-02-02,180.99,181.98,179.5,179.85,4900
2024-02-06,180,181.98,179.26,180.96,7600
2024-02-07,181,182.47,180,180.86,17500
2024-02-09,180.01,180.01,176.3,179.3,12300
2024-02-12,177.01,177.01,170,171.14,8200
2024-02-13,171.14,176,171.14,175.02,6200
2024-02-14,178.94,179.99,178.94,179.35,7600
2024-02-15,179.95,183,177.51,181.55,24000
2024-02-16,182.25,183,177.1,178.13,16800
2024-02-19,178.88,178.88,176,176.98,4800
2024-02-20,176,178,176,178,4900
2024-02-21,178.98,180.5,178.1,180.08,9200
2024-02-22,180,182.5,180,180.93,19500
2024-02-23,180.5,183,180.5,182.51,18400
2024-02-26,182.9,184,168.82,168.88,82400
2024-02-27,161.12,168.95,158.01,162.14,23200
2024-02-28,160.52,165.11,160,163.82,14700
2024-02-29,164.5,165,161.55,162.39,13200
2024-03-01,162,163.88,160,161.38,9300
2024-03-04,163,163,159,160.13,12000
2024-03-05,159.9,162.85,158,160.28,10600
2024-03-06,158.63,159.9,158,158.38,13600
2024-03-07,158.5,159.8,156.1,157.36,6800
2024-03-08,157,159.2,157,158.48,6600
2024-03-11,158,159.93,157.12,158.57,7700
2024-03-12,159,159,155.51,156.04,14000
2024-03-13,158.98,158.98,154.01,154.6,21100
2024-03-14,157.51,157.51,152.05,153.68,8600
2024-03-15,153.81,158,153.81,155.07,12500
2024-03-18,155.15,155.5,154,154,4000
2024-03-19,154.02,157.98,153.57,156.68,15900
2024-03-20,157.88,159.98,156.02,157.68,19300
2024-03-21,155.02,159.7,153.1,154.77,13200
2024-03-22,153.07,153.08,150,150.25,12400
2024-03-25,154.86,156.89,145.02,152.11,13200
2024-03-26,150.41,153.07,150.01,152.99,8500
2024-03-27,150.1,152.9,150.02,152.79,7700
2024-03-28,152,157.98,152,157.67,27100
2024-03-29,155,159.98,155,157.75,13400
2024-04-01,156,159.4,156,156.59,4600
2024-04-02,156.02,160,155,159.13,15700
2024-04-03,160,160.29,159.9,160.29,4900
2024-04-04,160.45,160.5,158,159.6,1700
2024-04-08,157.2,159.39,157,158.75,3800
2024-04-09,159.89,159.98,158,158.75,2200
2024-04-15,156.05,160.48,156.05,159,5700
2024-04-16,158.01,159.5,158.01,159.23,5800
2024-04-17,158.12,158.12,157.01,157.64,14400
2024-04-18,158,158.49,156.61,157.09,3700
2024-04-19,157.5,158,155.51,157.64,6000
2024-04-22,156.12,158.5,156.12,156.43,11169
2024-04-23,156.43,158,155,156,23284
2024-04-24,157,158.98,155.52,158.27,20508
2024-04-25,158,159.5,156,158.15,29834
2024-04-26,159.47,159.48,147,149.61,34603
2024-04-29,152,152,138.39,143.77,27947
2024-04-30,145,146.8,145,145.51,7237
2024-05-02,146,146,137,138.94,25341
2024-05-03,142,142,139.75,140.71,7491
2024-05-06,141,141,138,140.06,5520
2024-05-07,141.41,142,140,140.9,4693
2024-05-08,140.99,141,140,140,5551
2024-05-09,140,141.49,140,141,2820
2024-05-10,140,150,140,146.18,41411
2024-05-13,149.48,157.14,148.99,157.14,36148
2024-05-14,161.99,165.44,158.28,161.28,86019
2024-05-15,161.28,161.28,153.05,153.76,17347
2024-05-16,153.83,155,148.02,151.63,10824
2024-05-17,153,153.49,150,150.06,2787
2024-05-20,150.5,152,147.01,149.98,12252
2024-05-21,152,152,148,149.43,12634
2024-05-22,149,149.9,145,146.56,15906
2024-05-23,146.5,146.5,142,143.45,24183
2024-05-24,143.45,149.98,143.45,146.55,10705
2024-05-27,146,147.9,143,145.03,7174
2024-05-29,145,147.49,143.17,143.64,5343
2024-05-30,145,145,142.99,143,2835
2024-05-31,143,145,143,144.33,6193
2024-06-03,143.1,146,143,145.98,2988
2024-06-04,143.58,146,142,142.03,5957
2024-06-05,143.01,144.95,142,144.94,2110
2024-06-06,142.36,145.5,140,143.57,2825
2024-06-07,140.01,146,140,145.41,3897
2024-06-10,144.9,144.9,143.44,143.44,1060
2024-06-11,144.88,144.99,140.5,140.54,4140
2024-06-12,141,141.98,138.1,139.73,5149
2024-06-13,140.05,141.9,139.5,140.57,5002
2024-06-14,140.6,142.5,140.6,141.34,1884
2024-06-20,142.5,142.99,141.5,142.7,7106
