date,open,high,low,close,volume
2023-01-05,8,8.5,8,8.5,1000
2023-05-17,9,9,9,9,1000
2023-06-16,9,9,9,9,1000
2023-06-23,8.5,8.5,8.5,8.5,23000
2023-07-04,8.5,8.5,8.5,8.5,2500
2023-07-05,8.5,8.5,8.5,8.5,6000
2023-07-06,8.5,8.5,8.5,8.5,115500
2023-07-07,8.5,8.5,8.5,8.5,11500
2023-07-10,8.05,8.05,7.5,7.99,4500
2023-07-11,7.01,7.48,6.99,7.48,3000
2023-07-12,7.3,7.7,7.3,7.48,1500
2023-07-13,7.75,7.75,7.75,7.75,500
2023-07-17,7.01,7.75,7.01,7.75,1000
2023-07-19,8.5,8.75,8,8.1,7500
2023-07-20,8,8.3,7.5,8.2,4000
2023-07-21,8.25,8.25,8.25,8.25,500
2023-07-24,9,9.25,9,9.25,1000
2023-07-27,8.61,9,8.55,9,6500
2023-08-01,9.39,9.39,9.39,9.39,500
2023-08-02,8.71,8.85,8.7,8.85,1500
2023-08-04,8.01,9.25,8.01,9.25,1000
2023-08-11,9,9,9,9,1000
2023-08-16,9.25,9.25,9.25,9.25,500
2023-11-30,9.25,9.25,8.25,8.25,4500
2023-12-06,7.51,7.51,7.51,7.51,3500
2023-12-07,7.01,7.01,7,7.01,1000
2023-12-08,7.49,7.49,7.49,7.49,500
2023-12-11,7.65,8.49,7.65,8.49,6500
2023-12-12,9.49,9.49,9.49,9.49,500
2023-12-13,10.49,10.49,10.49,10.49,1500
2023-12-18,10.5,10.5,10.5,10.5,500
2023-12-19,9.75,9.75,9.75,9.75,1000
2023-12-22,10.75,10.75,10.75,10.75,500
2023-12-27,10.05,10.05,10.05,10.05,1000
2024-01-09,11.05,11.05,11.05,11.05,1000
2024-01-19,12.05,12.05,12.05,12.05,500
2024-01-22,13.05,13.05,13.05,13.05,500
2024-01-23,12.05,14.05,12.05,14.05,1000
2024-02-09,15.1,15.1,15.1,15.1,500
2024-03-12,16.13,16.13,16.13,16.13,500
2024-03-29,17.34,17.34,17.34,17.34,500
2024-04-01,18.64,18.64,18.64,18.64,500
2024-05-09,15,15,15,15,1000
2024-05-31,12.88,15,12.88,12.92,511
2024-06-03,11.89,13.9,11.89,11.91,540
2024-06-04,12.9,12.9,11.91,11.91,296
2024-06-07,12.5,12.5,12.5,11.91,1
2024-06-11,11.91,12.92,11.91,12.92,25093
2024-06-12,12.05,14.02,12.05,13.98,25162
2024-06-13,15,15.17,13,15.01,14600
2024-06-14,16.2,16.29,16.2,16.28,21000
2024-06-20,17.6,17.66,17,17.61,2174
2024-06-21,19.11,19.11,16.11,19.08,10847
2024-06-24,20.75,20.75,20.46,20.46,1000
2024-06-25,22.3,22.3,18.66,22.19,2650
2024-06-26,24.14,24.19,20.2,23.93,11564
2024-06-27,26.08,26.08,25.05,26.08,10723
2024-06-28,28,28.43,23.75,28.35,14250
2024-07-01,30.9,30.9,27.51,29,4888
2024-07-02,29.95,31.31,26.45,30.31,5013
2024-07-03,27.59,31,27.58,30.85,18504
2024-07-04,28.13,32.2,28.13,30.74,2409
2024-07-05,29.99,30,27.98,28.31,2603
2024-07-08,30.7,31,30.7,31,2817
2024-07-09,30,30,28.06,28.45,5673
2024-07-10,26.62,26.62,25.75,25.8,582
2024-07-11,27.9,28.25,23.35,26.46,19559
2024-07-12,28.45,28.45,28.45,26.46,525
2024-07-15,27.5,28.85,24.1,24.22,7861
2024-07-18,25.4,26.52,25.4,26.49,1525
2024-07-19,29.01,29.01,28,28.9,5415
2024-07-22,29,29,27,27.05,1472
2024-07-23,24.37,29.76,24.37,29.3,6013
2024-07-24,30,32.23,30,30.1,2500
2024-07-25,31.85,31.85,27.1,30.1,117
2024-07-26,31.99,31.99,31.99,30.1,1
2024-07-29,31.85,31.9,27.5,31.48,575
2024-07-30,28.5,28.5,28.33,31.48,56
2024-07-31,31,34.63,31,32.19,5000
2024-08-01,31,35.4,28.97,32.85,18251
2024-08-02,32,34.84,29.57,34.83,25772
2024-08-05,32.02,32.99,31.35,32.24,27420
2024-08-06,32.99,34.5,30,34.02,8825
2024-08-07,32,35.84,30.81,34.24,14568
2024-08-08,31.65,35.39,31.65,34.2,2011
2024-08-09,36,36,35,34.2,51
2024-08-12,31.25,36.45,31.25,35.01,7573
2024-08-15,33.01,33.01,33.01,33.01,500
2024-08-19,35,36.31,34.5,36,4527
2024-08-20,39.5,39.5,38.95,39.44,2651
2024-08-21,39.5,42.95,39,39.14,3102
2024-08-22,38.98,40,36.56,39.84,2653
2024-08-23,40,43.82,40,42.81,1827
2024-08-26,46,46,40,42.81,7
2024-08-27,45.9,45.9,45.9,42.81,2
2024-08-28,46,46,38.56,42.81,70
2024-08-29,45.99,45.99,45.99,42.81,1
2024-08-30,38.53,45.94,38.53,43.75,3169
2024-09-02,40.26,43.85,39.38,41.79,8920
2024-09-03,37.61,44.9,37.61,43.1,6704
2024-09-04,41,41,39,39,3104
2024-09-05,41.95,41.95,41.95,41.95,2000
2024-09-06,38.01,41.75,37.76,37.92,4325
2024-09-12,38.95,41.71,36.55,40.59,5200
2024-09-13,39,41,37.01,41,2505
2024-09-16,40.95,41,40.95,41,3000
2024-09-19,37.57,37.57,37.57,41,36
2024-09-23,37.11,37.11,37.1,41,57
2024-09-24,37.02,37.02,37.02,41,6
2024-09-25,37.11,41.99,37.11,41,111
2024-09-26,37.01,37.01,37.01,41,82
2024-09-27,37.26,37.26,36.9,41,116
2024-09-30,36.9,42,36.9,41.34,2034
2024-10-02,37.27,45,37.26,42.57,5150
2024-10-03,39.51,43.95,39,42.71,8217
2024-10-04,0,0,0,42.71,1010
2024-10-07,42.85,44.9,40.11,44,4603
2024-10-08,41.2,41.2,41.2,44,3
2024-10-09,40.26,41.75,39.6,39.77,10880
2024-10-10,40.95,40.95,40.95,40.95,2100
2024-10-11,37.01,43.99,37.01,43.03,4500
2024-10-16,40.01,41.3,40,40,1540
2024-10-18,36.26,41.12,36,38.99,11183
2024-10-22,39.95,42.5,39.95,41.63,6242
2024-10-24,44,44,44,41.63,2600
2024-10-25,38.01,43.98,38.01,43.98,784
2024-10-28,39.77,39.77,39.76,39.76,500
2024-10-29,41.99,42,41.99,42,2000
2024-11-04,42,42,42,42,100
2024-11-06,41,42.99,41,41.99,765
2024-11-07,37.8,42,37.8,41.95,1622
2024-11-13,42,45,40.01,43.1,6016
2024-11-14,43,46.75,41.51,46.03,2016
2024-11-15,42.25,48,42.25,47.9,518
2024-11-18,49.45,49.45,49.45,49.45,505
2024-11-20,49.7,50.25,45,49.45,113
2024-11-21,45,54.25,44.56,49.92,5619
2024-11-26,50,50,50,50,1000
2024-11-28,45.01,50,45.01,48.25,1002
2024-12-02,48.1,52,48.1,48.25,3
2024-12-04,47,47,46.26,48.25,4
2024-12-11,44.5,52.89,44.5,48.25,486
2024-12-12,50,50,50,48.25,13
2024-12-17,48.02,48.02,48.02,48.25,3
2024-12-18,44.26,44.26,44.25,44.25,601
2024-12-19,44.02,48.55,40,46.59,850
2024-12-20,41.93,41.93,41.93,46.59,1
2024-12-23,42.01,42.01,42.01,46.59,100
2024-12-26,51.25,51.25,51.25,51.25,501
2024-12-27,50.01,56,50.01,51.25,18
2024-12-30,51,51,51,51.25,3
2025-01-01,56.3,56.3,55.98,51.25,10
2025-01-06,46.5,55,46.25,54.56,4395
2025-01-07,49.15,59,49.15,54.57,2038
2025-01-08,50.01,56.5,50.01,56.5,501
2025-01-09,57,57,57,56.5,152
2025-01-22,51,51,51,51,1000
2025-01-23,55.75,55.9,46.06,51.82,3514
2025-02-06,47.01,56.55,47.01,56.52,503
2025-02-11,50.9,50.9,50.9,56.52,1
2025-02-12,56.52,56.52,56.52,56.52,4
2025-02-19,51.51,59.95,51.25,58.05,1643
2025-02-20,52.25,52.25,52.25,58.05,250
2025-02-21,62.95,62.95,62,62.95,998
2025-02-26,67.4,67.4,67,67.35,460
