date,open,high,low,close,volume
2023-01-26,14,14,14,14,500
2023-02-01,13,13,13,13,500
2023-02-07,12.02,12.02,12.02,12.02,500
2023-02-09,13,13.02,13,13.02,1000
2023-02-20,12.02,12.02,12.02,12.02,500
2023-02-21,11.02,11.02,11.02,11.02,1000
2023-02-22,10.04,10.04,10.04,10.04,1000
2023-02-23,9.04,9.04,9.04,9.04,500
2023-02-24,8.04,8.16,8.04,8.16,1600500
2023-02-28,9.11,9.11,8.16,9.11,549500
2023-03-01,10.11,10.11,10.11,10.11,1000
2023-03-02,11.11,11.11,11.11,11.11,500
2023-03-03,12.11,12.11,11.11,12.11,2000
2023-03-06,13.11,13.11,13.11,13.11,500
2023-03-07,12.2,14.11,12.2,14.11,26000
2023-03-08,15.16,15.16,15.16,15.16,10500
2023-03-09,16.27,16.28,15.16,16,2414500
2023-03-10,16,16,16,16,490000
2023-04-06,14.5,14.5,14.5,14.5,500
2023-04-07,13.42,13.42,13.42,13.42,500
2023-04-10,12.42,12.42,12.42,12.42,500
2023-04-11,11.42,11.45,11.42,11.45,1500
2023-04-12,10.47,10.47,10.46,10.46,1010000
2023-04-13,11.43,11.46,10.46,11.46,1507500
2023-04-17,12.41,12.46,12.41,12.46,5000
2023-04-18,11.46,13.46,11.46,13.46,7000
2023-04-19,13.8,14.46,13.8,14.41,1918500
2023-04-26,15.47,15.47,14.41,15.47,305500
2023-05-04,14,14,14,14,1000
2023-05-05,13.01,13.01,13.01,13.01,500
2023-05-08,12.1,12.1,12.1,12.1,500
2023-05-10,11.25,11.25,11.25,11.25,500
2023-05-16,10.8,12.25,10.8,12.25,1000
2023-05-17,11.26,12.39,11.26,12.38,3000
2023-05-18,11.45,13.38,11.4,13.38,2500
2023-06-27,14,14.38,14,14.25,6500
2023-11-03,13.18,13.18,13.18,13.18,2000
2023-11-06,12.2,12.2,12.18,12.18,5000
2023-11-07,11.2,12,11.2,12,245500
2023-11-10,11,11.04,11,11.02,3500
2023-11-14,10.1,10.16,10.05,10.09,5500
2023-11-16,11,11,11,11,1000
2023-11-21,10.9,11,10.9,11,1500
2023-11-22,10.21,10.21,10.2,10.21,2000
2023-11-23,10,10,10,10,1000
2023-11-28,10.01,10.01,10,10,2000
2023-11-29,10,10,10,10,1000
2023-11-30,10.01,10.01,9.06,9.06,2000
