date,open,high,low,close,volume
2023-01-16,3.99,4,3.99,4,2500
2023-01-24,4.9,4.9,4.9,4.9,500
2023-01-25,3.9,4.69,3.9,4.69,11000
2023-01-26,4.02,4.02,4.02,4.02,500
2023-01-27,4.85,4.85,4.85,4.85,500
2023-01-31,4.01,4.7,4,4.18,2000
2023-02-08,4,4,4,4,1000
2023-02-09,3.7,4.85,3.7,4.85,2000
2023-02-16,4,4,4,4,1000
2023-02-22,3.51,4.4,3.5,4.4,2500
2023-02-23,4,4,4,4,3000
2023-02-28,3.55,3.55,3.55,3.55,2500
2023-03-10,3.11,3.11,3.11,3.11,1000
2023-03-17,3.69,4,3.69,4,2000
2023-04-12,3.1,3.8,3.1,3.8,3000
2023-04-17,4.5,4.5,4.5,4.5,500
2023-05-12,3.61,4.5,3.55,3.55,6500
2023-05-17,3.15,3.85,3.15,3.85,2500
2023-05-19,3.6,3.6,3.6,3.6,500
2023-06-06,3,4,3,3.08,6500
2023-06-09,2.21,3,2.21,3,1500
2023-06-14,3.5,3.5,3.5,3.5,1000
2023-07-07,4.5,4.5,4.5,3.5,500
2023-07-10,3.5,4.25,3.5,4.5,1500
2023-07-11,4.95,4.95,4.95,4.95,500
2023-07-18,4,4.9,4,4.72,2500
2023-07-20,4,4,4,4,500
2023-07-24,4,4,4,4,500
2023-07-25,4.25,4.25,4.25,4.25,7500
2023-07-27,3.75,3.75,3.3,3.38,3000
2023-07-31,3.5,3.9,3.5,3.9,1500
2023-08-01,3.9,4.8,3.4,4,16500
2023-08-08,3.41,3.41,3.41,3.41,500
2023-08-09,3.9,4,3.9,4,3000
2023-08-16,3.5,3.5,3.5,3.5,5000
2023-08-18,3.21,3.21,3.2,3.2,7000
2023-08-22,3.7,3.7,3.7,3.7,500
2023-08-24,4.45,4.45,3.1,3.12,6500
2023-08-25,3.65,3.65,3.6,3.6,1000
2023-08-30,3.65,3.79,3.65,3.79,2500
2023-08-31,3.25,3.25,3,3,2000
2023-09-07,3.7,3.7,3.7,3.7,500
2023-09-15,4,4,3.1,3.75,9500
2023-09-18,4.7,4.7,3.1,3.1,2000
2023-09-19,3.9,3.9,3.9,3.9,500
2023-09-20,4.49,4.49,4.49,4.49,500
2023-09-21,4.49,4.49,4.49,4.49,500
2023-10-04,4,4.95,4,4.95,4500
2023-10-05,4,4.75,3.95,4.75,30000
2023-10-06,4.1,4.12,4.1,4.12,6500
2023-10-13,3.28,4.2,3.28,3.81,2000
2023-10-16,4.15,4.15,4.15,4.15,500
2023-10-19,4.01,4.01,4,4,1500
2023-10-20,3.41,3.85,3.4,3.62,42500
2023-10-25,3.79,4.62,3.4,4.62,57000
2023-10-26,5.59,5.62,5.59,5.62,13500
2023-10-27,6.62,6.62,4.9,5.04,162500
2023-10-30,5.49,5.99,4.55,4.6,15500
2023-10-31,4.6,4.99,4.6,4.61,19500
2023-11-01,4.65,4.65,4.65,4.65,500
2023-11-02,4.21,4.21,4.19,4.19,1500
2023-11-03,4.28,4.28,4.28,4.28,500
2023-11-06,4.06,4.06,4.06,4.06,500
2023-11-07,4.8,4.8,4.8,4.8,8500
2023-11-08,4.79,4.8,4.79,4.8,1000
2023-11-10,5.5,5.5,5.5,5.5,500
2023-11-13,5.49,5.49,5.49,5.49,1500
2023-11-15,4.61,4.61,4.61,4.61,1000
2023-11-16,4.85,5.2,4.75,4.85,34000
2023-11-20,4.2,4.2,4.2,4.2,12500
2023-11-23,4.2,4.2,4.2,4.2,1000
2023-11-27,4.99,5,4.2,5,3500
2023-11-28,5.25,5.25,5.25,5.25,2500
2023-11-29,5.99,5.99,4.4,5.65,2000
2023-11-30,5.63,5.63,5.63,5.63,2500
2023-12-01,5,5.44,5,5.44,3000
2023-12-04,4.52,5.54,4.52,5.54,1000
2023-12-08,4.62,5.11,4.62,5.06,30000
2023-12-11,5.06,5.48,5.06,5.48,4500
2023-12-12,4.8,5.39,4.8,5.25,15000
2023-12-13,4.9,4.9,4.9,4.9,1000
2023-12-14,5.35,5.35,5.35,5.35,3000
2023-12-15,5.25,5.25,5.2,5.2,12500
2023-12-22,4.63,4.7,4.63,4.7,1500
2023-12-27,4.99,5.18,4.99,5.09,1000
2023-12-29,4.8,4.8,4.7,4.72,2500
2024-01-01,5.17,5.5,5.17,5.5,2500
2024-01-02,5.5,5.5,5.5,5.5,500
2024-01-03,5.25,5.5,5.25,5.5,4500
2024-01-10,4.99,4.99,4.99,4.99,500
2024-01-12,4.7,4.7,4.53,4.53,1500
2024-01-15,4.6,4.6,4.53,4.53,3500
2024-01-16,4.99,4.99,4.99,4.99,1000
2024-01-18,4.53,4.53,4.51,4.51,2500
2024-01-23,4.1,4.89,4,4.89,2500
2024-01-24,4.33,4.33,4.33,4.33,500
2024-01-25,4.9,4.9,4.9,4.9,500
2024-02-01,4.5,4.5,4.02,4.02,1000
2024-02-07,4.97,5,4.97,5,1000
2024-02-15,4.85,4.99,4.85,4.99,3000
2024-02-19,4,4.6,4,4.6,25500
2024-02-21,4.85,4.99,4.85,4.99,4000
2024-02-22,4.99,4.99,4.02,4.13,10500
2024-02-23,4.16,4.5,4.16,4.5,10000
2024-02-26,4.5,4.5,4.11,4.13,2000
2024-02-27,4.22,4.65,4.22,4.64,11000
2024-02-29,4.84,5,4.5,4.5,22500
2024-03-04,5.24,5.24,5,5,7000
2024-03-05,5,5,5,5,1000
2024-03-07,5.2,5.3,5.2,5.3,5000
2024-03-13,4.4,4.4,4.4,4.4,2000
2024-03-15,4.99,5.25,4.99,5.25,5000
2024-03-19,5.48,6,5.48,6,51000
2024-03-27,5.06,5.95,5.06,5.73,3000
2024-03-28,5.07,5.07,5.07,5.07,2000
2024-04-03,5.79,5.79,5.79,5.79,500
2024-04-09,5.01,5.01,5,5,2500
2024-04-16,4.6,5.26,4.6,5.25,2500
2024-04-18,4.5,5.47,4.5,5.25,11500
2024-04-22,5.75,5.75,5,5,10500
2024-04-25,5.7,5.7,5,5.1,11500
2024-04-30,4.51,4.51,4.5,4.5,3000
2024-05-03,4.4,4.4,4.4,4.4,2000
2024-05-06,4.4,4.51,4.4,4.5,6500
2024-05-08,4.5,4.5,4.4,4.4,9000
2024-05-10,4.4,4.4,4.4,4.4,4500
2024-05-13,4.45,4.45,4.4,4.4,1000
2024-05-14,4.41,4.41,4.41,4.41,5000
2024-05-17,4.21,4.41,4.21,4.41,1000
2024-05-21,4.4,4.4,4.4,4.4,4000
2024-05-22,4.9,4.9,4.9,4.9,500
2024-05-27,4.9,4.9,4.9,4.9,500
2024-05-29,4.42,4.42,4.42,4.9,95
2024-05-30,4.4,4.5,4.4,4.42,1200
2024-06-03,4.5,4.5,4.5,4.5,1700
2024-06-04,4.5,4.5,4.5,4.5,64
2024-06-05,4.88,4.9,4.88,4.5,200
2024-06-06,4.01,4.94,4.01,4.91,601
2024-06-10,4.4,4.4,4.4,4.91,100
2024-06-12,4.4,4.84,4.4,4.91,101
2024-06-13,4.4,4.61,4.4,4.6,2949
2024-06-14,4.4,4.4,4.4,4.6,150
2024-06-20,4.1,4.98,4.1,4.6,108
2024-06-21,3.73,5.33,3.73,4.6,25
2024-06-24,4.42,4.42,4.42,4.6,13081
2024-06-26,4.4,4.4,4.4,4.6,150
2024-06-27,4.4,4.41,4.4,4.6,75
2024-06-28,4.4,4.4,4.4,4.6,1
2024-07-02,4.41,4.43,4.41,4.6,100
2024-07-03,4.4,4.4,4.4,4.6,25
2024-07-04,4.85,4.9,4.85,4.9,2500
2024-07-05,5.75,5.9,4.45,5.9,202642
2024-07-08,5.93,6.35,5.35,6,19225
2024-07-09,5.25,6,5.23,5.51,24200
2024-07-10,5.2,6.51,5.12,6.37,54784
2024-07-11,5.55,7.24,5.55,7,17073
2024-07-12,6.6,7.47,6,6.93,50961
2024-07-15,6.7,7.93,6.7,7.86,52665
2024-07-18,8.45,8.86,7.1,8.83,42284
2024-07-19,8.83,9.83,8.83,9.83,124609
2024-07-22,10.1,10.83,9.31,10.47,198847
2024-07-23,11.49,11.49,9.42,9.42,61244
2024-07-24,9.8,9.8,8.42,8.94,75571
2024-07-25,8.5,8.99,8.11,8.12,7065
2024-07-26,8.12,8.8,7.12,7.14,22349
2024-07-29,7.25,7.25,6.31,6.33,8159
2024-07-30,6.97,6.97,5.6,6.65,29099
2024-07-31,6.9,6.9,6.9,6.9,2901
2024-08-01,6.95,6.95,6.95,6.9,1
2024-08-02,6.95,7.48,6.95,7.48,501
2024-08-05,7.05,7.3,6.48,6.49,10008
2024-08-06,6.95,6.95,6.93,6.49,2
2024-08-07,6.95,6.95,6.15,6.76,1213
2024-08-08,6.95,7.25,6.49,7.02,15674
2024-08-09,7.7,7.7,6.05,6.85,26566
2024-08-12,6.2,7.05,6.2,7.05,3502
2024-08-13,7.05,7.05,6.3,6.3,549
2024-08-15,6.3,7.3,6.3,6.57,24001
2024-08-16,7.54,7.54,6.11,7,4017
2024-08-19,7.73,7.73,7.11,7,17
2024-08-20,7.69,7.69,6.26,6.32,1806
2024-08-21,7.15,7.15,6.56,6.56,1017
2024-08-22,7,7.45,7,7.45,8001
2024-08-23,7.97,8.21,7.4,7.6,3010
2024-08-26,7.4,8,7.4,7.57,11300
2024-08-27,7,8.41,7,7.02,1018
2024-08-28,6.6,8.02,6.6,8,7042
2024-08-29,7.96,8,7.5,7.5,3610
2024-08-30,6.5,8,6.5,8,1905
2024-09-02,8.59,8.59,8.59,8,100
2024-09-03,8.7,8.7,7,8,350
2024-09-04,7.79,8.34,7.79,8,8217
2024-09-05,7.3,7.6,7.3,7.6,1500
2024-09-06,7.6,8.44,7.1,7.1,540
2024-09-10,7,7,7,7,1100
2024-09-11,8,8,7.95,8,102949
2024-09-12,8.05,9,8.05,8.12,80327
2024-09-13,8,8,8,8,2001
2024-09-16,8.09,8.25,8.09,8.15,155369
2024-09-18,8.25,8.25,8.25,8.25,5530
2024-09-19,8.25,8.41,7.87,8.25,11059
2024-09-20,7.51,7.51,7.51,8.25,1
2024-09-26,0,0,0,8.25,200
2024-09-30,7.5,8,7.5,8,508
2024-10-01,8,8,7,7.5,18257
2024-10-02,7.5,7.79,7.5,7.5,6
2024-10-03,7.94,7.94,7.5,7.5,5001
2024-10-04,7.2,7.5,7.2,7.44,6002
2024-10-07,7.59,7.59,6.86,7.06,8002
2024-10-08,7.48,8,7.3,7.3,22085
2024-10-11,7.21,7.21,7.2,7.2,6000
2024-10-14,6.2,7.75,6.2,7.28,14000
2024-10-16,7.89,7.89,7.77,7.86,651
2024-10-17,7.51,7.94,7.26,7.88,3158
2024-10-18,8.71,8.72,8.1,8.1,783
2024-10-21,8.65,8.74,8.1,8.16,3246
2024-10-22,8.64,8.65,7.9,8.32,4317
2024-10-23,7.3,8.32,7.3,8.31,14538
2024-10-24,8.49,8.49,7.51,7.8,5278
2024-10-28,7.13,7.13,7.13,7.13,500
2024-10-29,6.34,7.34,6.34,6.57,1451
2024-10-30,6.21,6.51,6.21,6.5,2168
2024-10-31,7.4,7.4,7.4,6.5,100
2024-11-01,6.51,6.51,6.51,6.5,183
2024-11-04,6.55,7.46,6.55,7.2,6001
2024-11-05,6.76,7.65,6.7,6.99,700
2024-11-06,6.02,7.2,6.02,6.99,406
2024-11-08,6.25,7.99,6.25,7.76,7226
2024-11-11,8.76,8.76,6.77,7.06,6825
2024-11-12,6.27,8.06,6.27,8.05,54457
2024-11-13,7.51,8.35,7.51,7.76,14293
2024-11-14,8,8.46,8,7.76,100
2024-11-15,7.03,7.95,7.03,7.62,1051
2024-11-18,6.72,8.34,6.65,7.73,2656
2024-11-19,8.2,8.24,8.2,7.73,10
2024-11-20,7.22,8.4,7.22,8.3,2245
2024-11-21,7.51,8,7.51,7.6,946
2024-11-22,7.8,7.98,7.8,7.8,1006
2024-11-25,6.91,8.19,6.91,7.8,117
2024-11-26,7,7.75,6.9,6.91,502
2024-11-27,6,7.5,6,7.46,1814
2024-11-28,7.94,8.25,6.76,8.14,7001
2024-12-02,7.26,8,7.2,7.49,2300
2024-12-03,7.2,7.99,7.2,7.48,571
2024-12-04,7.5,7.6,7.5,7.6,5625
2024-12-05,7.6,7.75,7.6,7.75,1512
2024-12-06,7.75,8,7.75,7.99,701
