date,open,high,low,close,volume
2023-11-23,16.97,16.97,15.86,16.5,27000
2023-11-24,16.6,16.6,15.5,15.5,10000
2023-11-27,14.61,15.56,14.55,15.3,3000
2023-11-28,15.69,15.69,14.82,14.9,6000
2023-11-29,15,16.02,15,16.02,47000
2023-11-30,17.22,17.22,16.88,16.89,42000
2023-12-01,17.95,17.95,17.5,17.5,1500
2023-12-04,18.47,18.5,16.38,17.98,10000
2023-12-05,17.25,18,17.25,18,2500
2023-12-06,18,18.4,17,17.65,10500
2023-12-07,18.64,18.77,16.9,17.4,17500
2023-12-08,17.98,18.47,17.98,18.05,11000
2023-12-11,17.95,17.95,17.8,17.8,3000
2023-12-13,19,19,17.3,18.7,23500
2023-12-14,19.49,19.49,17.52,18.13,11000
2023-12-15,17.5,17.5,16.85,16.85,13000
2023-12-19,15.62,16.92,15.62,16.92,1000
2023-12-20,15.65,17.5,15.65,17.23,5000
2023-12-21,17.5,17.5,17.5,17.5,2000
2023-12-22,16.65,16.65,16.19,16.19,14500
2023-12-26,15.1,15.1,14.98,14.98,4500
2023-12-27,15.49,15.49,15,15,6500
2023-12-28,14.03,15.6,14.03,15.6,1500
2024-01-02,14.53,15.59,14.53,15.59,1000
2024-01-03,15.99,15.99,15.99,15.99,500
2024-01-04,15.99,15.99,14.8,15.73,7500
2024-01-05,15.88,16.8,15.88,16.8,7000
2024-01-08,17.14,17.2,16,17,5000
2024-01-09,15.77,15.77,15.73,15.73,8500
2024-01-11,15,15,14.55,14.63,8000
2024-01-18,13.6,14,13.53,13.53,24000
2024-01-22,13.7,13.8,13,13.04,22500
2024-01-23,13.25,13.31,13.1,13.19,2000
2024-01-25,12.61,13,12.61,12.68,3500
2024-01-30,12.01,12.01,11.72,12,7000
2024-01-31,11.4,12.1,11.4,12,5000
2024-02-02,12.25,12.25,12.25,12.25,500
2024-02-06,12.3,12.79,12.3,12.79,1000
2024-02-07,12.8,12.8,12.8,12.8,500
2024-02-14,13,13.5,13,13,2000
2024-02-19,12.01,13.1,12.01,13.1,2000
2024-02-20,13,14.08,13,14.08,2500
2024-02-22,14,14.8,14,14.8,3000
2024-02-23,13.7,13.7,13.7,13.7,2500
2024-02-27,13.1,13.1,12.67,12.67,50000
2024-02-28,12.3,12.3,12.03,12.17,2000
2024-02-29,12.6,12.6,12.6,12.6,500
2024-03-01,12.1,12.1,11.6,11.65,26000
2024-03-05,12.12,12.65,12.12,12.65,14000
2024-03-06,13.65,13.65,13.25,13.25,2500
2024-03-07,12.75,13.25,12.75,13.25,2000
2024-03-08,12.31,13.5,12.3,13.42,4500
2024-03-11,13.84,14.42,13.01,13.15,11000
2024-03-13,13.5,13.7,13.5,13.7,1000
2024-03-18,13.8,14.73,13.8,14,7500
2024-03-19,13.6,13.6,13.6,13.6,500
2024-03-21,13,13,12.58,12.65,6000
2024-03-22,12.2,12.2,12.01,12.01,5000
2024-03-26,12.5,12.5,11.01,12,6000
2024-03-27,11.99,11.99,11.99,11.99,500
2024-03-28,11.7,11.7,11.6,11.6,1000
2024-03-29,11.5,11.5,11.2,11.2,16000
2024-04-02,11,12.2,11,12.2,3000
2024-04-08,13,13,13,13,1500
2024-04-09,12.5,12.5,12.5,12.5,500
2024-04-16,12.5,12.5,12.5,12.5,500
2024-04-19,12,12,12,12,1000
2024-04-23,12.25,12.25,12.25,12.25,1000
2024-04-24,12.9,12.9,12.02,12.03,5000
2024-04-25,12.5,13.03,12.01,12.27,17500
2024-04-26,11.5,11.65,11.5,11.65,1000
2024-04-29,12.2,12.49,12.2,12.49,1500
2024-04-30,11.9,11.9,11.5,11.5,2500
2024-05-02,11.1,11.1,11,11,4000
2024-05-03,11,11,11,11,500
2024-05-06,11.5,12,11.5,12,8500
2024-05-07,12.5,12.5,12.5,12.5,1000
2024-05-08,12.6,12.6,12.5,12.5,1500
2024-05-09,12.5,12.8,12.5,12.5,3000
2024-05-10,12.11,12.11,12.11,12.11,1000
2024-05-13,13,13.11,12.41,13.11,40000
2024-05-14,13.85,13.9,12.85,12.85,9500
2024-05-15,13.85,13.85,13.2,13.3,11000
2024-05-16,13.6,14.3,13.55,14,27000
2024-05-17,13.6,15.05,13.5,15.05,12000
2024-05-20,15.55,15.55,14,14.18,11500
2024-05-21,13.81,14,13.81,14,1500
2024-05-22,13.61,13.61,12.95,12.95,19000
2024-05-23,12.14,12.99,12.14,12.89,1500
2024-05-24,13.89,13.89,13,13.3,2500
2024-05-27,13,13,13,13.3,330
2024-05-29,13,13,13,13.3,100
2024-05-31,13.74,13.74,12.24,12.45,39298
2024-06-03,12.01,12.5,12.01,12.49,2390
2024-06-04,12.87,12.87,12.11,12.12,3441
2024-06-05,12.65,12.66,12.65,12.12,247
2024-06-07,12.5,12.5,12.5,12.12,100
2024-06-10,12.45,12.8,12.45,12.8,3000
2024-06-11,12,12.3,11.75,11.75,1300
2024-06-12,12.39,12.39,12.39,11.75,200
2024-06-13,12.49,12.5,12.49,12.5,5501
2024-06-14,12.9,12.9,12.2,12.22,1558
2024-06-20,12.01,12.6,11.75,11.85,9948
2024-06-21,12,12,11.75,11.75,2037
2024-06-24,11.51,12,11.5,11.75,252
2024-06-25,11.5,11.75,11.4,11.5,10923
2024-06-26,11.23,11.44,11.02,11.34,8000
2024-06-28,11.3,11.7,11.3,11.5,4178
2024-07-01,11.69,12.49,11.69,12.1,18213
2024-07-02,12.39,13.19,12,13.19,27622
2024-07-03,14.25,14.38,13.35,14.02,316137
2024-07-04,14.2,14.2,13.13,13.16,17113
2024-07-05,13.5,13.64,12.85,12.99,4502
2024-07-08,12.69,12.75,12.01,12.18,9299
2024-07-09,12.01,12.6,11.61,11.83,4275
2024-07-10,11.6,12.45,11.1,12.23,21158
2024-07-11,12.45,13,12.01,12.96,3751
2024-07-12,13.47,13.47,12.47,12.5,529
2024-07-15,13.43,13.43,12.2,12.88,1096
2024-07-18,12.31,13.58,12.31,13.11,1203
2024-07-19,13.49,13.49,12,12.25,3693
2024-07-22,11.75,12.29,11.75,12,1396
2024-07-23,11.8,12.39,11.8,12,23
2024-07-24,12,13.2,12,13.2,57483
2024-07-25,14.52,14.52,13.56,14.52,201490
2024-07-26,15.97,15.97,15.97,15.97,49677
2024-07-29,17.57,17.57,17.57,17.57,24432
2024-07-30,19.33,19.33,17,19.33,306146
2024-07-31,21.26,21.26,19.01,19.85,273719
2024-08-01,19.5,19.7,17.87,17.87,68077
2024-08-02,17.88,19.66,16.08,16.54,289134
2024-08-05,16.55,17.19,15.52,15.84,84717
2024-08-06,16.58,17.42,15.02,17.42,233898
2024-08-07,17.9,18.5,15.75,16.99,143628
2024-08-08,16.99,16.99,16.02,16.27,47751
2024-08-09,16.27,17.4,16.27,16.5,43288
2024-08-12,17.34,17.34,15.65,16.07,13752
2024-08-13,16.07,16.49,15.5,15.98,12662
2024-08-15,16.29,16.75,15.51,15.68,42417
2024-08-16,15.68,16.9,15.02,15.9,45539
2024-08-19,15.9,16,15.2,15.43,32563
2024-08-20,15.1,15.85,15.1,15.25,1627
2024-08-21,15.8,16.25,15.1,15.5,23232
2024-08-22,16.15,17.05,15.31,16.78,232117
2024-08-23,17.45,17.45,15.1,15.68,215040
2024-08-26,16.2,16.9,15.76,15.86,47891
2024-08-27,15.51,17.2,15.4,17.02,86431
2024-08-28,17.75,17.75,16.2,16.32,56465
2024-08-29,16.5,16.74,15.65,16.62,33142
2024-08-30,15.62,17.89,15.35,15.95,105072
2024-09-02,16.85,16.85,15.58,15.58,13115
2024-09-03,15.74,15.74,14.7,14.78,9118
2024-09-04,15.5,15.5,14.82,14.93,7187
2024-09-05,14.62,15.48,14.61,14.68,6274
2024-09-06,14.5,14.99,14.16,14.2,4026
2024-09-09,14.6,14.99,14,14.3,23594
2024-09-10,14.17,14.88,14.05,14.74,2673
2024-09-11,14.04,16.21,14.04,15.56,33186
2024-09-12,15.84,15.84,15,15.01,4138
2024-09-13,15.5,15.5,14.5,14.65,50137
2024-09-16,14.7,16.12,14.6,15.16,55927
2024-09-18,16.4,16.4,14.91,15.5,19609
2024-09-19,15.02,15.99,14.6,14.86,10419
2024-09-20,14.5,14.8,14.36,14.78,552
2024-09-23,14.55,15.2,14.5,14.5,2167
2024-09-24,14.13,14.97,14.02,14.31,1695
2024-09-25,14.03,15,14.03,14.95,2426
2024-09-26,15.99,15.99,13.71,14.57,10915
2024-09-27,14.9,15.8,14.6,15.24,14016
2024-09-30,15.49,15.49,15.49,15.24,1
2024-10-01,14.8,14.8,14.4,14.5,4225
2024-10-02,14.2,14.56,14.1,14.11,1733
2024-10-03,14.1,14.25,13.7,14,8962
2024-10-04,13.67,14.4,13.67,14.3,10768
2024-10-07,13.63,14.7,13.63,14.1,627
2024-10-08,13.25,14.5,13.25,14.06,1228
2024-10-09,13.72,14.35,13.72,14.05,4014
2024-10-10,14.5,14.9,13.66,14.71,7314
2024-10-11,14.85,14.85,13.24,13.38,44811
2024-10-14,13.75,14,13.1,13.65,3317
