date,open,high,low,close,volume
2024-07-15,8.16,8.39,8,8.1,69217
2024-07-18,8.2,8.2,8,8.01,185829
2024-07-19,8.15,8.7,8.02,8.22,52449
2024-07-22,8,8.2,7.25,7.99,26420
2024-07-23,8,8.25,7.78,8,25244
2024-07-24,7.9,8,7.82,7.83,35963
2024-07-25,7.8,7.99,7.8,7.8,13007
2024-07-26,7.52,7.8,7.21,7.35,13015
2024-07-29,7.75,7.75,7.5,7.5,26050
2024-07-30,7.21,8.5,7.21,8.5,481674
2024-07-31,9.15,9.5,8.7,9.5,1184975
2024-08-01,10,10,8.76,9.18,158827
2024-08-02,8.86,9.5,8.76,8.95,41719
2024-08-05,8.89,9.05,8.62,8.72,28345
2024-08-06,8.71,9.7,8.62,9.1,331135
2024-08-07,9,9.48,8.91,8.95,36007
2024-08-08,9.01,9.01,8.81,8.91,100920
2024-08-09,8.81,8.93,8.11,8.73,37676
2024-08-12,8.52,8.99,8.42,8.7,24687
2024-08-13,8.6,8.79,8.41,8.57,68612
2024-08-15,8.5,8.75,8.4,8.47,53780
2024-08-16,8.5,9,8.5,8.79,521012
2024-08-19,9,9,8.42,8.48,20408
2024-08-20,8.7,8.7,8.31,8.5,13072
2024-08-21,8.7,8.7,8.42,8.44,4267
2024-08-22,8.6,8.8,8.06,8.51,44527
2024-08-23,8.42,8.94,8.41,8.52,10012
2024-08-26,8.55,8.84,8.4,8.41,20501
2024-08-27,8.55,8.7,8.22,8.4,13761
2024-08-28,8.5,8.69,8.32,8.5,25911
2024-08-29,8.5,8.79,8.4,8.49,4758
2024-08-30,8.45,8.7,8.41,8.47,16211
2024-09-02,8.52,8.69,8.35,8.5,10052
2024-09-03,8.65,8.65,8.37,8.38,2189
2024-09-04,8.49,8.79,8.38,8.55,18583
2024-09-05,8.5,8.68,8.4,8.43,46834
2024-09-06,8.57,9.3,8.57,9.3,13036
2024-09-09,8.93,8.98,8.53,8.73,8092
2024-09-10,8.45,8.87,8.45,8.74,14621
2024-09-11,9,9.3,8.33,8.59,4768
2024-09-12,8.83,8.83,8.38,8.59,21
2024-09-13,8.82,9.48,8.55,8.58,19121
2024-09-16,8.58,8.61,8.31,8.41,31371
2024-09-18,0,0,0,8.41,1000
2024-09-19,8.82,8.82,8.3,8.38,75652
2024-09-20,8.49,8.7,8.25,8.44,28737
2024-09-23,8.87,8.87,8.33,8.44,6
2024-09-24,8.4,8.6,7.66,8.18,16505
2024-09-25,8.06,8.28,7.99,8.02,35844
2024-09-26,8.83,8.84,8.15,8.15,4225
2024-09-27,8.05,8.65,8.05,8.08,1060
2024-09-30,8.59,8.59,8.59,8.08,1
2024-10-01,8.1,8.49,8,8.25,2199
2024-10-02,8,8.49,7.84,8,7509
2024-10-03,8,8.48,8,8.27,6100
2024-10-04,8.9,8.9,7.62,8.27,59
2024-10-07,7.31,8.8,7.31,8.75,1996
2024-10-08,7.8,8.45,7.78,7.99,1075
2024-10-09,8.74,8.74,7.89,7.99,617
2024-10-10,8,8.2,7.6,7.64,15502
2024-10-11,8.25,8.25,8,8,4006
2024-10-14,7.59,8,7.59,8,501
2024-10-15,7.99,8,7.61,7.9,23473
2024-10-16,8.1,8.1,7.75,7.83,24400
2024-10-17,7.99,8,7.8,8,27876
2024-10-18,8,8.15,7.77,7.99,26555
2024-10-21,8.38,8.38,8.38,7.99,2
2024-10-22,7.81,7.99,7.81,7.84,751
2024-10-23,7.76,7.88,7.55,7.6,7622
2024-10-24,7.82,7.97,7.8,7.6,347
2024-10-25,8.44,8.44,7.66,7.6,484
2024-10-28,8.5,8.5,7.75,7.8,16851
2024-10-29,7.7,7.7,7.5,7.5,18255
2024-10-30,7.95,8.46,7.95,8.09,206210
2024-10-31,8.98,8.98,8.06,8.32,236040
2024-11-01,8.57,8.69,8.54,8.69,31503
2024-11-04,8.11,8.68,8,8.44,7846
2024-11-05,8.64,8.65,8.02,8.39,1154
2024-11-06,8.06,8.49,8.05,8.1,2263
2024-11-07,8.17,8.44,8.01,8.05,2506
2024-11-08,8.26,8.26,7.91,8,33658
2024-11-11,8,8.44,8,8.35,466580
2024-11-12,8.48,8.48,7.91,8.09,94657
2024-11-13,8,8.1,7.9,8,21699
2024-11-14,8.01,8.05,7.9,7.9,42486
2024-11-15,8.39,8.39,7.91,7.91,46186
2024-11-18,7.87,7.87,7.84,7.84,27235
2024-11-19,7.9,7.92,7.9,7.9,60500
2024-11-20,8.05,8.05,7.8,7.8,81079
2024-11-21,7.81,7.81,7.7,7.8,44500
2024-11-22,7.7,7.75,7.5,7.5,380602
2024-11-25,7.5,7.87,7.49,7.77,13776
2024-11-26,7.98,7.98,7.41,7.5,8542
2024-11-27,7.6,7.68,7.45,7.46,21975
2024-11-28,7.61,8,7.61,8,49276
2024-11-29,8,8,7.82,7.86,3950
2024-12-02,7.85,8,7.85,8,34446
2024-12-03,8,8.08,7.5,7.99,48539
2024-12-04,7.99,8.38,7.81,8.06,40902
2024-12-05,8,8.29,8,8.02,24843
2024-12-06,8.1,8.27,8.1,8.22,2219
2024-12-09,8.26,8.26,8.2,8.25,13231
2024-12-10,8,8.1,7.99,7.99,6728
2024-12-11,8.39,8.48,8.04,8.42,11190
2024-12-12,8.06,8.48,8.06,8.25,12882
2024-12-13,8,8.37,8,8,2001
2024-12-16,8.4,8.4,8,8.31,15759
2024-12-17,8.02,8.8,8,8.5,94710
2024-12-18,8.3,8.3,7.8,8,28655
2024-12-19,7.92,8.24,7.9,7.91,878
2024-12-20,8,8.22,7.9,7.91,8546
2024-12-23,7.96,8.14,7.9,7.91,22192
2024-12-24,7.93,8.18,7.9,8,8131
2024-12-26,7.92,8.3,7.92,8.3,1221
2024-12-27,7.86,7.91,7.86,7.88,2500
2024-12-30,8.5,8.5,7.96,7.88,206
2024-12-31,8.24,8.24,7.75,8,25106
2025-01-01,7.9,8.19,7.86,8.16,3165
2025-01-02,7.91,7.95,7.91,7.92,602
2025-01-03,7.86,8.2,7.86,7.89,2002
2025-01-07,8.29,8.29,7.75,7.78,2010
2025-01-08,7.84,7.84,7.84,7.84,3200
2025-01-09,7.76,7.77,7.6,7.6,26527
2025-01-10,8,8,7.53,7.95,209756
2025-01-13,7.66,7.8,7.66,7.8,4327
2025-01-14,8.5,8.5,7.62,7.7,2206
2025-01-15,7.99,8.4,7.99,8.39,12088
2025-01-16,7.95,7.96,7.95,8.39,113
2025-01-17,8,8,7.61,7.9,7582
2025-01-20,7.81,7.99,7.81,7.9,211
2025-01-22,7.61,7.65,7.6,7.65,2693
2025-01-23,7.66,7.66,7.65,7.66,1010
2025-01-24,7.52,7.66,7.49,7.6,20972
2025-01-27,7.53,8,7.53,8,6100
2025-01-28,7.53,7.56,7.52,7.52,506
2025-01-29,7.84,7.98,7.84,7.97,3000
2025-01-30,7.9,7.9,7.51,7.51,1601
2025-01-31,7.54,7.8,7.5,7.6,35800
2025-02-03,7.7,7.98,7.6,7.86,3431
2025-02-04,7.79,7.86,7.47,7.5,20242
2025-02-06,7.45,7.5,7.41,7.41,7145
2025-02-07,7.46,7.9,7.45,7.75,3645
2025-02-10,7.5,7.5,7.5,7.5,2000
2025-02-11,7.6,7.6,7.35,7.4,16340
2025-02-12,7.34,7.41,7.33,7.4,11114
2025-02-13,7.51,7.51,7.4,7.5,1434
2025-02-14,7.32,7.87,7.31,7.34,1026
2025-02-17,7.4,7.4,7.34,7.35,1208
2025-02-19,7.38,7.4,7.3,7.35,20810
2025-02-20,7.31,7.5,7.21,7.36,19994
2025-02-21,7.6,8.36,7.6,8.29,273839
2025-02-24,8.88,8.88,8.05,8.15,115854
2025-02-25,8.04,8.19,7.7,7.71,19522
2025-02-26,7.72,7.73,7.41,7.58,22969
2025-02-27,7.7,7.88,7.4,7.68,13364
2025-02-28,7.68,7.68,7.32,7.32,543
2025-03-03,7.89,7.89,7.3,7.49,15798
2025-03-04,7.5,7.5,7,7.09,14275
2025-03-05,7.12,7.4,7.11,7.26,1756
2025-03-07,7.5,7.5,7.49,7.26,200
2025-03-10,7.67,7.69,7.67,7.67,5500
2025-03-11,7.67,7.67,7.66,7.67,1057
2025-03-12,7.5,7.5,7.01,7.08,12627
2025-03-13,7.4,7.4,7.11,7.17,1328
2025-03-14,7.3,7.39,7.3,7.3,1946
2025-03-17,7.37,7.39,7.37,7.38,705
2025-03-18,0,0,0,7.38,10
2025-03-19,7.35,7.35,7.35,7.35,1000
2025-03-20,7.25,7.45,7.25,7.35,4990
2025-03-21,7.43,7.44,7.43,7.35,23
2025-03-24,7.98,7.98,7.53,7.55,5424
2025-03-25,7.58,7.64,7.58,7.64,3000
2025-03-26,7.49,7.49,7.11,7.12,1315
2025-03-27,7.12,7.5,7.11,7.18,4121
2025-04-03,7.49,7.49,7.3,7.18,450
2025-04-04,7.32,7.68,7.32,7.18,10565
2025-04-07,7.01,7.5,7.01,7.06,2253
2025-04-08,7.4,7.4,7.06,7.4,5955
2025-04-09,7.1,7.69,7.1,7.68,43346
2025-04-10,7.44,7.82,7.4,7.76,21352
2025-04-11,7.76,7.9,7.5,7.52,17604
2025-04-14,7.5,7.89,7.49,7.5,13620
2025-04-15,7.51,7.74,7.5,7.63,11777
2025-04-16,7.6,7.81,7.5,7.52,5796
2025-04-17,7.6,8.52,7.6,8.52,1636395
2025-04-18,9,9.44,8.27,8.42,243683
2025-04-21,8.88,8.88,7.5,7.8,133739
2025-04-22,7.9,8.4,7.7,7.72,122085
2025-04-23,7.94,8,7.51,7.54,18336
2025-04-24,7.5,7.85,7.12,7.36,12756
2025-04-25,7.5,7.5,7.25,7.25,10252
2025-04-28,7.5,7.59,7.22,7.38,1106
2025-04-29,7.5,7.5,7.4,7.38,2
2025-04-30,7.12,7.74,6.91,7.01,24955
2025-05-02,7.49,7.49,6.9,7,78884
2025-05-05,7,7,6.77,7,48896
2025-05-06,7.85,8,7.47,7.95,22165
2025-05-07,6.95,7.69,6.95,7.23,4226
2025-05-08,7.01,8.23,6.23,6.25,21578
2025-05-09,7,7.25,6.94,7.1,10300
2025-05-12,7.5,8.1,6.1,7.74,62301
2025-05-13,7.7,8.2,7.5,7.9,20869
2025-05-14,8,8.22,7.6,7.62,3630
2025-05-15,7.88,8.62,7.3,8.17,108151
2025-05-16,8,8.2,7.84,8.08,46422
2025-05-19,8,8,8,8.08,22
2025-05-20,8.15,8.23,8.15,8.15,2095
2025-05-21,8.14,8.15,8.14,8.15,2500
2025-05-22,8.39,8.39,7.85,7.89,9101
2025-05-23,7.99,8.36,7.99,8.21,10105
2025-05-26,8.07,8.07,8.07,8.21,10
2025-05-27,8.1,8.3,7.66,8.27,8194
2025-05-29,8,8.6,7.7,8.25,261478
2025-05-30,8.36,9.25,8.36,9.25,844262
2025-06-02,9.74,9.74,8.61,8.83,374172
2025-06-03,8.84,8.99,8.1,8.5,317502
2025-06-04,7.62,9.5,7.62,8.85,302103
2025-06-05,8.95,8.95,8.1,8.31,111838
2025-06-10,7.8,8.59,7.8,8.4,29505
2025-06-11,8.98,8.98,7.98,8.49,120282
2025-06-12,8.78,8.78,7.75,7.97,253051
2025-06-13,7.56,8.97,7.55,8.5,747046
2025-06-16,8.02,9,8.02,8.5,225526
2025-06-17,8.9,9.06,8.35,8.5,144625
2025-06-18,8.22,8.9,8.22,8.5,90813
