date,open,high,low,close,volume
2023-01-31,35.5,38,35.5,36.75,1000
2023-03-13,34,34,34,34,500
2023-03-15,31.55,32,31.5,32,2500
2023-03-27,30.11,30.11,30.11,30.11,500
2023-04-18,27.88,27.88,27.88,27.88,500
2023-04-26,29.97,29.97,29.97,29.97,500
2023-05-12,28.01,31.49,28,31.49,2500
2023-05-19,30,30,30,30,500
2023-05-22,28.05,28.05,28.05,28.05,1000
2023-05-25,28.05,30.15,28.05,30.15,1000
2023-05-26,30,30,30,30,2000
2023-06-07,30.55,30.55,30.55,30.55,500
2023-06-09,30,30,30,30,500
2023-06-13,30,30,30,30,1000
2023-06-26,27.8,31.96,27.8,31.96,1000
2023-06-27,29.56,29.56,29.56,29.56,1000
2023-07-03,31.78,31.78,31.78,31.78,1000
2023-07-10,31.78,31.78,31.78,31.78,1500
2023-07-11,31,31.78,31,31.78,4500
2023-07-13,32.5,32.6,32.5,32.6,1000
2023-08-03,33.95,35,33.95,35,3500
2023-08-23,32.4,32.4,32.4,32.4,500
2023-08-29,30.05,30.05,30,30,1000
2023-08-31,27.8,29,27.76,29,2000
2023-09-12,30,30,30,30,3500
2023-09-22,32,32,32,32,500
2023-09-26,33,33,33,33,500
2023-09-28,34,34.5,34,34.25,1500
2023-10-02,31.68,31.68,31.68,31.68,1000
2023-10-03,33.8,34.06,33.8,34.06,3000
2023-10-13,35.99,36.5,35.99,36.5,2000
2023-10-16,38.85,39.24,38.85,39.24,5000
2023-10-20,42.18,42.18,42.18,42.18,50500
2023-10-24,48.71,48.71,48.71,48.71,500
2023-10-25,52.36,52.36,51.75,51.75,10000
2023-10-26,52,52,52,52,500
2023-10-27,50,50,50,50,1000
2023-10-30,46.25,46.5,46.25,46.5,3000
2023-10-31,46.02,46.02,46.01,46.01,1000
2023-11-01,46,46,46,46,500
2023-11-02,44.4,44.4,44.4,44.4,500
2023-11-03,44,44,44,44,1000
2023-11-21,43.5,43.6,43.5,43.6,1500
2023-11-23,44.01,45.9,44.01,45.9,3000
2023-11-29,45,45,45,45,2000
2023-12-01,43,43.06,43,43.05,30500
2023-12-13,42.99,43,42.99,43,1000
2023-12-18,41,41,40.05,41,4000
2023-12-28,38,38,37.93,37.93,2000
2024-01-02,36.06,36.06,36.06,36.06,500
2024-01-05,35.05,38,35,38,6500
2024-01-09,38,38,38,38,500
2024-01-11,39.94,39.94,36,36,3500
2024-01-12,34.15,34.15,34.15,34.15,1000
2024-01-15,36.71,36.71,35,35,2500
2024-01-24,32.6,37.59,32.6,37.59,1500
2024-02-12,35,35,35,35,500
2024-02-20,35,35,35,35,1000
2024-04-17,35,35,35,35,1000
2024-04-23,34.5,34.5,34.5,34.5,1000
2024-05-06,34.5,34.5,34.5,34.5,1000
2024-05-08,34,34,34,34,7500
2024-05-09,33,33,33,33,500
2024-05-15,34.9,35.48,34.9,35.48,5000
2024-05-16,38.14,38.14,38.14,38.14,1000
2024-05-17,41,41,41,41,5500
2024-05-20,42.99,44.08,42.5,43.5,14500
2024-05-21,40.24,41.49,40.24,40.24,5000
2024-05-22,38.05,38.05,38.05,38.05,1000
2024-05-24,38,39.95,38,39.95,20500
2024-05-29,39,39,36.75,37.25,40500
2024-05-30,38.5,38.5,37.06,37.25,4
2024-05-31,38.5,38.5,38.44,37.25,7
2024-06-03,35.06,39.1,35.06,37.25,9
2024-06-04,38.95,38.95,38.95,37.25,1
2024-06-05,37,37,37,37.25,502
2024-06-06,37.5,37.5,36.76,37.25,505
2024-06-07,35,36.95,35,37.25,6
2024-06-11,36.1,36.1,36,37.25,58
2024-06-12,37,37,36.83,37.25,53
2024-06-13,36,38.4,35.25,37.25,640
2024-06-14,38.4,40,35.5,37.95,517
2024-06-20,38.89,39.5,38.89,38.93,1500
2024-06-24,37.5,37.5,37.5,38.93,18
2024-06-25,37.5,39.9,37.5,37.53,520
2024-06-26,37.25,37.25,37,37,4721
2024-06-27,37.1,38,37,37.41,850
2024-06-28,37,37,37,37.41,54
2024-07-01,37,37,36.3,36.3,1500
2024-07-03,39,39,39,39,640
2024-07-04,40,40,39,39.95,1048
2024-07-05,38,38,38,39.95,102
2024-07-09,41.99,41.99,38,38,3900
2024-07-11,37,37,36.01,36.52,1000
2024-07-22,38,38,37.99,38,2192
2024-07-23,39.3,39.5,39.3,39.5,4033
2024-07-24,39.5,39.5,39.5,39.5,1500
2024-07-26,39.5,39.5,37.3,39.5,161
2024-07-29,39,40.6,39,40.54,3750
2024-07-30,39.1,40.98,39.1,40.54,4
2024-07-31,38.25,40.5,38.25,40.05,1503
2024-08-06,39.05,39.05,39.05,40.05,110
2024-08-09,40.2,40.2,40.2,40.05,250
2024-08-21,41.85,41.85,39,40,3500
2024-08-22,40.49,40.49,38,38.55,4022
2024-08-26,38,38,38,38,1500
2024-08-28,36.55,36.55,36.55,36.55,2000
2024-08-29,39.96,39.96,39.96,39.96,500
2024-08-30,38.5,38.5,38.5,38.5,500
2024-09-02,36,36.6,35,36.6,2000
2024-09-04,38,38,38,38,1000
2024-09-05,38,38,37,37.5,3968
2024-09-06,39.9,39.99,39.9,39.92,600
2024-09-10,37.25,37.25,37.1,37.18,2000
2024-09-18,39.99,40,39.2,39.5,2421
2024-09-19,39.99,39.99,39.99,39.5,1
2024-09-20,37.5,39.99,37.5,39.5,2
2024-09-24,37.5,37.5,37.5,37.5,1000
2024-09-26,41.25,41.25,41.25,41.25,5768
2024-09-27,43.5,43.5,39.01,41.62,27591
2024-09-30,42,43,40,40.01,13774
2024-10-01,42.49,42.49,40.2,40.2,2438
2024-10-02,39.5,41.97,39.5,40,4015
2024-10-03,41.99,43.74,40.95,42.97,2435
2024-10-04,41,43.5,39.99,40.15,13102
2024-10-07,40,41.88,40,41.19,3609
2024-10-08,42,43.99,41.95,43.63,1311
2024-10-10,43.49,43.89,41.5,42.57,2463
2024-10-11,43.9,43.99,41.68,43.5,6427
2024-10-14,42,44,42,44,2111
2024-10-15,45,45,42,44,602
2024-10-16,44,44,44,44,1300
2024-10-17,44,44,43,43.44,2591
2024-10-18,40,43,39.9,41.5,3389
2024-10-21,42.99,42.99,41,41.5,37
2024-10-22,40,40,38.25,39.31,1190
2024-10-23,40,42,38.25,39.31,511
2024-10-24,41.99,41.99,41.99,41.99,804
2024-10-25,40.15,41.97,40,41.99,245
2024-10-28,42.94,42.94,40.01,41.99,76
2024-10-29,42.7,42.7,42.7,41.99,3
2024-10-30,43,43.95,40,40.03,2505
2024-10-31,39.51,41,39.51,40.03,56
2024-11-01,40.01,40.01,37.5,40.03,300
2024-11-04,42.98,42.98,38.6,39.53,973
2024-11-05,38.03,41.85,36.6,38,7050
2024-11-06,38.99,39.73,37.8,38,255
2024-11-07,37.5,39.99,36.65,36.78,1411
2024-11-08,37.51,38.25,35,37.27,9513
2024-11-11,39.01,39.01,37,37,7353
2024-11-12,39.5,39.5,37,38,19216
2024-11-13,39.98,41.8,39,41.8,27737
2024-11-14,45.98,45.98,45.98,45.98,10549
2024-11-15,50.58,50.58,50.58,50.58,28982
2024-11-18,50.51,52.95,45.52,45.53,57108
2024-11-19,45.55,46,43,44,2818
2024-11-20,45.87,47.99,44.31,46.98,6696
2024-11-21,48.86,48.86,44.35,44.36,1502
2024-11-22,46.99,46.99,42.05,45,705
2024-11-25,47.5,47.5,45.01,46,2526
2024-11-26,45.97,45.97,45.97,46,1
2024-11-27,49.7,49.7,44,46,1552
2024-11-28,48.49,48.5,45.01,48.28,904
2024-11-29,50.9,50.9,43.45,46,2310
2024-12-02,46,46.98,42.01,45.89,2279
2024-12-03,43.5,50.48,43.5,50.48,19942
2024-12-04,46.05,53.7,46.05,48.76,5558
2024-12-05,51.95,51.95,47.1,48.13,5608
2024-12-06,48.14,52.94,48,51.21,69706
2024-12-09,53,55.55,50.06,54,33964
2024-12-10,52,54,51.02,51.03,7020
2024-12-11,51.1,54.5,51.1,51.5,34738
2024-12-12,51.59,53.99,51.12,52.02,12210
2024-12-13,52.25,57.22,52.25,57.07,41547
2024-12-16,59.99,60.99,56.2,60.1,15388
2024-12-17,61.49,61.49,56.51,59,1506
2024-12-18,59,60,57.1,59.51,5300
2024-12-19,57.01,59,54.25,57.75,2080
2024-12-20,55.01,56,54.6,55.87,8926
2024-12-23,58.99,59.98,55.01,59.02,12362
2024-12-24,57,58,57,57,4298
2024-12-26,56,57.6,56,57,5002
2024-12-30,58.85,58.85,56.1,56.1,2003
2024-12-31,58.99,58.99,55.21,55.33,780
2025-01-01,55.8,57,55.5,55.58,5419
2025-01-02,56.4,57.94,55,55.02,6104
2025-01-03,52.43,57,52.43,55,514
2025-01-06,58.9,59,55.21,58.1,5389
2025-01-07,58,63.8,53.11,54.62,7855
2025-01-08,59.95,60.08,55.77,56.19,4300
2025-01-09,52.05,59.9,52.05,56.14,3026
2025-01-10,58.75,58.75,54.15,55.52,920
2025-01-13,55,57,54.5,55.52,42
2025-01-14,54.01,55.1,52.05,54.42,6978
2025-01-15,57.88,57.88,53.5,54.42,18
2025-01-16,57.73,57.73,53.02,54.42,253
2025-01-17,54,58.5,53.05,54.42,454
2025-01-20,54.55,58.2,54.55,55.54,902
2025-01-21,53.11,53.5,53.01,55.54,2960
2025-01-22,55,55,54,55.54,254
