date,open,high,low,close,volume
2024-01-16,23.85,23.93,23.37,23.65,887764
2024-01-17,23.79,23.9,23.12,23.25,914468
2024-01-18,23,23.4,22.5,22.75,1326494
2024-01-19,22.9,23.08,22.33,22.45,944416
2024-01-22,22.6,22.61,22.25,22.48,823704
2024-01-23,22.5,23.15,22.33,22.76,3804402
2024-01-24,22.52,23.25,22.52,22.7,3772805
2024-01-25,22.99,23,22.23,22.47,1857041
2024-01-26,22.22,22.49,21.6,22.03,2873124
2024-01-29,22,22.01,20.85,20.92,2520879
2024-01-30,20.75,21.19,19.6,20.08,3629422
2024-01-31,20.15,20.36,19.85,19.94,788540
2024-02-01,19.95,20.2,19.75,19.98,771087
2024-02-02,19.82,21.2,19.25,20.95,2667331
2024-02-06,21.46,21.53,21,21.23,950195
2024-02-07,21.47,21.5,21.2,21.29,676893
2024-02-09,21.3,21.3,20,20.74,696592
2024-02-12,20.49,20.54,19.18,19.24,1294102
2024-02-13,18.9,19.58,17.81,18.93,3315083
2024-02-14,19.03,20.2,19.03,19.69,1799398
2024-02-15,19.6,19.68,18.71,18.9,1217194
2024-02-16,18.95,18.95,17.83,18.09,1260027
2024-02-19,17.8,19.4,17.6,19.3,2712452
2024-02-20,19.31,20.75,19.31,20.61,10505845
2024-02-21,21.49,21.49,20.4,20.63,9443016
2024-02-22,20.74,20.8,20.31,20.44,1592225
2024-02-23,20.45,20.9,19.25,20.47,4373155
2024-02-26,20.74,22.01,20.5,21.91,13281754
2024-02-27,21.99,22.3,20.8,21.16,12427995
2024-02-28,20.61,22.75,20.61,22.75,13295726
2024-02-29,23.5,24.3,23.25,23.63,19373606
2024-03-01,23.78,23.8,23,23.04,3537222
2024-03-04,23.31,24.2,22.9,23.62,6478457
2024-03-05,23.74,23.74,22.71,23,2885496
2024-03-06,23,24.5,22.9,23.67,18613018
2024-03-07,23.6,23.85,23.32,23.53,4405511
2024-03-08,23.65,24.3,23.5,23.67,9503275
2024-03-11,23.78,24.09,23.48,23.64,3404865
2024-03-12,23.65,23.85,22.26,22.42,2237288
2024-03-13,22.23,23.25,21.5,22,3112730
2024-03-14,22.38,23.1,22.37,22.95,1296740
2024-03-15,23.19,23.24,22.8,22.92,948840
2024-03-18,23.13,24.4,23.1,24.04,9724206
2024-03-19,24.1,25.3,24.1,25,15917634
2024-03-20,25.35,25.35,24.2,24.31,13130571
2024-03-21,24.3,24.55,23.75,24,7503182
2024-03-22,23.8,24,23.4,23.69,1971246
2024-03-25,23.8,23.9,23.11,23.45,1156971
2024-03-26,23.55,23.8,23.3,23.51,1799670
2024-03-27,23.68,23.8,23.19,23.51,4604457
2024-03-28,23.63,24.19,23.51,23.74,5098913
2024-03-29,23.94,23.94,23.25,23.47,1693534
2024-04-01,23.6,23.77,23.16,23.4,2117682
2024-04-02,23.49,23.5,23,23.42,1843511
2024-04-03,23.5,23.7,23.37,23.66,1729482
2024-04-04,23.7,24,23.45,23.9,3200540
2024-04-08,24.1,24.18,23.9,23.96,2846253
2024-04-09,24.01,24.24,23.56,23.67,4761081
2024-04-15,23.59,23.79,23.21,23.39,887247
2024-04-16,23.33,23.86,23.33,23.45,3542142
2024-04-17,23.7,24.41,23.5,23.94,13480507
2024-04-18,23.98,24,23.35,23.54,3273329
2024-04-19,23.55,23.73,23.25,23.49,2499130
2024-04-22,23.83,23.84,23.41,23.55,5351757
2024-04-23,23.82,24.15,23.6,23.71,14819865
2024-04-24,23.94,24.55,23.61,24.31,16685503
2024-04-25,24.78,26.13,24.7,24.91,44276576
2024-04-26,25.07,25.83,24.6,25.28,22021403
