date,open,high,low,close,volume
2023-10-23,22000,22000,22000,22000,20
2023-10-25,21900,21900,21000,21000,40
2023-10-27,21900,21900,21900,21900,20
2023-10-30,22250,22250,21600,22225,80
2023-11-01,22550,22750,22550,22750,40
2023-11-03,22400,22400,22400,22400,20
2023-11-08,22999,23400,22999,23400,200
2023-11-13,22100,22100,22000,22000,40
2023-11-17,23000,23000,23000,23000,60
2023-11-20,22500,22500.15,22500,22500.15,60
2023-11-21,23000,23000,23000,23000,40
2023-11-24,22500,22500,22500,22500,20
2023-11-27,22500,22500,22500,22500,20
2023-11-28,22100,22400,22100,22400,40
2023-11-29,22100,22100,21500,22100,120
2023-11-30,22500,22500,22500,22500,20
2023-12-01,21750,21750,21500,21500,120
2023-12-04,22199.99,22200,22199.99,22200,100
2023-12-06,22000,22200,22000,22200,100
2023-12-07,21500,22200,21500,22200,120
2023-12-08,21500,22100,21500,21600.25,180
2023-12-11,21550,21799,21150.01,21600,120
2023-12-12,22000,22100,22000,22100,60
2023-12-14,22275,22275,22275,22275,20
2023-12-19,22100,22100,21550,21550,100
2023-12-20,21799,21799,21799,21799,20
2023-12-21,21799,21799,21355,21355,40
2023-12-26,21001,21100,20714.35,21000,140
2023-12-28,21580,21999,21580,21999,80
2023-12-29,21990,21990,21900,21900,60
2024-01-01,22000,22200,22000,22200,40
2024-01-02,22100,22200,22100,22200,60
2024-01-04,22250,22250,22250,22250,60
2024-01-05,22100,22100,22100,22100,40
2024-01-08,22100,22100,22100,22100,20
2024-01-12,22399,22399,22399,22399,20
2024-01-15,22300,22350,22297,22297,120
2024-01-18,21900,21900,21900,21900,20
2024-01-25,21100.01,21900,21100.01,21900,40
2024-01-26,21899,21899,21500,21500,40
2024-01-29,22200,22500,22200,22500,40
2024-01-30,20812.5,20812.5,20812.5,20812.5,40
2024-01-31,22350,22373,22350,22364.33,60
2024-02-09,22300,22300,22300,22300,40
2024-02-19,22290,22290,22290,22290,20
2024-02-20,21800,21800,21800,21800,20
2024-02-23,21800,21800,21798.5,21799.17,80
2024-02-26,21190,21190,21100,21145,40
2024-02-28,21800,21800,21800,21800,60
2024-03-05,21100,21100,21100,21100,20
2024-03-06,22000,22000,21001,21500,100
2024-03-07,21900,21900,21900,21900,20
2024-03-11,21900,21900,20898,21200,100
2024-03-13,20800,21400,20800,21400,40
2024-03-15,21500,21500,21500,21500,40
2024-03-18,21500,21500,21500,21500,40
2024-03-19,21700,21700,21700,21700,20
2024-03-27,21600,21600,21600,21600,20
2024-03-28,20599,21000,20500,21000,80
2024-04-04,21000,21000,21000,21000,20
2024-04-08,20100,20800,20000,20800,60
2024-04-15,20600,20800,20600,20800,120
2024-04-16,21500,21500,20600,20699,120
2024-04-17,20699,20699,20699,20699,20
2024-04-18,20700,20700,20700,20700,40
2024-04-19,20000,20900,20000,20900,60
2024-04-22,20790,20790,20500.01,20533.34,21
2024-04-23,20550,20550,20002.02,20474.5,204
2024-04-24,20700,20700,20255.02,20627.99,121
2024-04-25,20600,20600,20255,20255,24
2024-04-26,20400,21499.98,20000,20153.92,93
2024-04-29,20020.01,20155,19500,19553.71,45
2024-04-30,20750,20750,19999.99,20000,54
2024-05-02,20699,20699,19000,19282.15,140
2024-05-03,19225,19400,19001,19379.98,49
2024-05-06,18720.03,19694.88,18720.02,19447.5,62
2024-05-07,19550,19550,19546,19546,5
2024-05-08,19548,19650,18560,18995.18,177
2024-05-09,18995,19189.98,18950,19189.98,44
2024-05-10,19480,19480,18900,19090,39
2024-05-13,19544.9,19544.9,19000,19007.7,28
2024-05-14,19100,19299.99,18990,18998.57,51
2024-05-15,19099.99,19099.99,18901,19000,24
