date,open,high,low,close,volume
2024-01-16,154.5,154.5,151.8,152.59,287020
2024-01-17,153.26,154.94,149,149.59,514600
2024-01-18,147.63,149.99,141.1,146.14,482058
2024-01-19,147,149,145.75,146.47,148037
2024-01-22,146.4,149.22,146,148.84,208081
2024-01-23,150,157,146.86,154.78,1003739
2024-01-24,154.78,156.5,151.02,152.3,576992
2024-01-25,151.3,153,148.4,148.88,310205
2024-01-26,148,149.89,146,146.25,244947
2024-01-29,147.03,147.03,142,142.28,160529
2024-01-30,143,144.97,135.11,135.89,406966
2024-01-31,137,140.46,136,137.04,349489
2024-02-01,137.5,139,135.53,137.26,188254
2024-02-02,138,138.25,135.6,137.4,296688
2024-02-06,138,141.8,137,139.29,253229
2024-02-07,140.6,141.39,139,140.06,191357
2024-02-09,138.5,139.7,129.56,138.23,132340
2024-02-12,139.99,139.99,130.1,131.86,228514
2024-02-13,130.51,133.5,124,132.2,553525
2024-02-14,135,137.69,133,137.06,300880
2024-02-15,136.99,142.5,133,135.43,588280
2024-02-16,135,137,131.11,135.63,300481
2024-02-19,133.4,137.5,128.51,136.52,276761
2024-02-20,135.2,141.5,135,136.43,692875
2024-02-21,138.85,139.87,135.05,139.19,368506
2024-02-22,139.3,144,139,142.1,543892
2024-02-23,140,147.88,140,146.98,733701
2024-02-26,147.35,153.35,147.35,151.21,1257470
2024-02-27,151.84,153.9,148,148.63,674729
2024-02-28,148,152,147.8,148.55,502114
2024-02-29,147.7,149.99,147.25,148.08,349337
2024-03-01,149,151,148.01,149.93,404356
2024-03-04,151.01,152.5,148,148.87,381839
2024-03-05,151.49,151.49,142.56,147.21,1040739
2024-03-06,148,156.89,147,154.52,8150583
2024-03-07,154.8,158.5,154,154.67,3387205
2024-03-08,155,166.27,154.31,165.16,4019494
2024-03-11,166.85,168.48,160.11,160.84,2421789
2024-03-12,160.25,161.84,153,153.42,1001214
2024-03-13,154,158,150,151.78,1249230
2024-03-14,152.75,158,152.75,157.15,866192
2024-03-15,158.05,162.5,156.5,157.26,1178115
2024-03-18,157.86,160.9,157,158.27,595118
2024-03-19,159.11,164,158.7,159.71,1484322
2024-03-20,160.2,162.4,158,159.2,666438
2024-03-21,160,160.25,155.61,156.41,586147
2024-03-22,156.51,162.25,155,157.82,1056114
2024-03-25,159.75,161.9,158.65,160.01,952702
2024-03-26,160.96,161,154.5,156.07,1408215
2024-03-27,156.25,156.25,152.6,153.21,445551
2024-03-28,154,156.2,152.8,153.65,699175
2024-03-29,154.59,154.59,149.06,149.88,701907
2024-04-01,151,151,148.16,148.91,160161
2024-04-02,148.9,152.42,148.9,150.57,285893
2024-04-03,148.1,151.75,148.1,151.16,303945
