date,open,high,low,close,volume
2024-01-10,8.1,8.12,7.9,7.97,307000
2024-01-11,7.98,8.1,7.93,8.0,448500
2024-01-12,8.09,8.18,7.82,7.91,1479000
2024-01-15,7.95,8.05,7.73,7.77,600500
2024-01-16,7.53,7.79,7.5,7.62,626500
2024-01-17,7.79,7.86,7.51,7.53,369000
2024-01-18,7.54,7.54,7.3,7.39,357000
2024-01-19,7.48,7.6,7.32,7.39,357500
2024-01-22,7.47,7.5,7.3,7.32,157000
2024-01-23,7.4,7.64,7.32,7.52,473000
2024-01-24,7.5,7.7,7.48,7.6,895000
2024-01-25,7.6,7.74,7.45,7.52,373500
2024-01-26,7.55,7.55,7.25,7.3,771500
2024-01-29,7.31,7.35,7.12,7.24,168000
2024-01-30,7.34,7.36,7.0,7.02,414500
2024-01-31,7.05,7.14,6.96,7.06,300000
2024-02-01,7.1,7.19,6.94,6.97,270000
2024-02-02,7.0,7.14,6.91,7.08,309000
2024-02-06,7.18,7.2,6.97,7.13,502500
2024-02-07,7.19,7.4,7.02,7.31,566500
2024-02-09,7.15,7.3,6.6,7.04,393000
2024-02-12,7.2,7.22,6.62,6.79,458000
2024-02-13,6.75,6.95,6.5,6.9,2263500
2024-02-14,7.1,7.19,6.95,7.04,154000
2024-02-15,7.0,7.0,6.85,6.86,272500
2024-02-16,6.8,6.99,6.71,6.77,260500
2024-02-19,6.76,6.88,6.62,6.74,350000
2024-02-20,6.89,7.03,6.76,6.89,185500
2024-02-21,6.98,7.03,6.81,6.91,170000
2024-02-22,7.09,7.14,6.76,6.88,429000
2024-02-23,6.9,7.06,6.85,7.04,1540000
2024-02-26,7.0,7.16,6.95,7.02,406500
2024-02-27,7.0,7.15,6.96,7.02,310000
2024-02-28,7.0,7.08,6.95,6.99,180000
2024-02-29,7.1,7.1,6.8,6.86,637500
2024-03-01,6.94,6.95,6.81,6.9,277000
2024-03-04,7.05,7.65,6.87,7.29,3092500
2024-03-05,7.3,7.44,7.15,7.17,334500
2024-03-06,7.28,7.33,7.11,7.15,217500
2024-03-07,7.21,7.78,7.0,7.65,2694000
2024-03-08,7.74,8.1,7.49,7.86,3054500
2024-03-11,7.9,8.05,7.62,7.67,889500
2024-03-12,7.89,7.89,7.45,7.51,458000
