date,open,high,low,close,volume
2024-01-15,8.05,8.34,8.04,8.13,1141000
2024-01-16,7.93,8.25,7.55,7.96,1165500
2024-01-17,7.7,8,7.63,8,810000
2024-01-18,7.56,7.97,7.5,7.84,720500
2024-01-19,7.55,8.2,7.55,7.91,677500
2024-01-22,7.91,8.24,7.5,7.81,562500
2024-01-23,7.75,7.93,7.51,7.85,695000
2024-01-24,7.89,7.89,7.6,7.86,549000
2024-01-25,7.63,7.85,7.5,7.57,471500
2024-01-26,7.69,7.69,7.11,7.56,843000
2024-01-29,7.27,7.65,7.25,7.33,589500
2024-01-30,7.44,7.49,7,7.37,644000
2024-01-31,7.34,7.44,7.11,7.39,586500
2024-02-01,7.18,7.48,7.02,7.24,384000
2024-02-02,7.11,7.97,7.03,7.39,505000
2024-02-06,7.26,7.5,7.16,7.49,347000
2024-02-07,7.35,7.75,7.3,7.63,378000
2024-02-09,7.41,7.74,7.01,7.36,501000
2024-02-12,7.36,7.45,7.06,7.33,228000
2024-02-13,7.15,7.48,7.15,7.47,198000
2024-02-14,7.79,7.96,7.2,7.37,382000
2024-02-15,7.23,7.4,6.9,7.13,232000
2024-02-16,6.83,7.18,6.75,7.06,145000
2024-02-19,6.81,7.18,6.7,7.06,212500
2024-02-20,6.9,7.18,6.51,6.84,339000
2024-02-21,6.98,7.07,6.88,6.93,199000
2024-02-22,6.81,7.2,6.81,6.99,135000
2024-02-23,7.08,7.17,6.95,7.07,237500
2024-02-26,7.2,7.2,6.95,7.01,285000
2024-02-27,6.99,7,6.76,6.94,114500
2024-02-28,6.9,6.96,6.76,6.91,163500
2024-02-29,6.82,7,6.81,6.97,142500
2024-03-01,6.83,7.17,6.81,6.99,163000
2024-03-04,6.88,7.14,6.67,6.87,1730500
2024-03-05,6.94,6.94,6.78,6.81,198500
2024-03-06,6.76,6.92,6.7,6.8,163000
2024-03-07,6.71,6.85,6.7,6.75,299000
2024-03-08,6.79,7.23,6.79,6.98,655000
2024-03-11,7,7.18,6.75,6.95,470000
2024-03-12,7.1,7.1,6.8,6.86,132000
2024-03-13,6.85,6.95,6.58,6.64,187500
2024-03-14,6.8,6.98,6.71,6.84,125500
2024-03-15,6.93,6.99,6.72,6.82,134000
2024-03-18,6.83,6.89,6.72,6.83,133000
2024-03-19,6.74,7,6.73,6.93,108000
2024-03-20,6.8,6.98,6.7,6.74,112500
2024-03-21,6.61,6.77,6.61,6.72,145000
2024-03-22,6.72,6.72,6.5,6.54,158000
2024-03-25,6.52,6.52,6.43,6.49,107000
2024-03-26,6.44,6.63,6.4,6.53,120500
2024-03-27,6.42,6.65,6.42,6.58,113000
2024-03-28,6.39,6.65,6.39,6.63,152000
2024-03-29,6.7,6.88,6.55,6.87,180500
2024-04-01,6.7,6.86,6.6,6.83,135000
2024-04-02,6.65,6.79,6.5,6.63,175500
2024-04-03,6.6,6.98,6.6,6.65,225000
2024-04-04,6.65,6.84,6.61,6.73,153500
2024-04-08,6.73,6.89,6.7,6.89,113000
2024-04-09,6.71,6.91,6.6,6.83,187500
2024-04-15,6.55,6.88,6.5,6.78,166000
2024-04-16,6.7,6.89,6.66,6.78,257500
2024-04-17,6.75,6.75,6.66,6.69,133500
2024-04-18,6.67,6.78,6.58,6.64,135000
2024-04-19,6.55,6.78,6.5,6.63,176000
2024-04-22,6.63,6.67,6.48,6.62,237000
2024-04-23,6.52,6.73,6.5,6.62,299000
2024-04-24,6.7,6.75,6.54,6.6,177500
2024-04-25,6.67,6.67,6.53,6.61,126000
2024-04-26,6.56,6.64,6.25,6.4,218500
2024-04-29,6.51,6.6,6.5,6.58,525500
2024-04-30,6.57,6.77,6.5,6.61,903000
2024-05-02,6.6,6.64,6.4,6.61,1156500
2024-05-03,6.9,7.24,6.74,6.99,358500
2024-05-06,7.1,7.5,6.95,7.46,963500
2024-05-08,8.7,8.9,8.25,8.75,2013500
2024-05-09,8.89,9.3,8.57,9.06,663500
2024-05-10,9.21,9.89,8.81,9.34,872500
2024-05-13,9.55,9.8,8.86,9.11,484500
2024-05-14,9.45,9.45,8.84,8.97,203500
2024-05-15,9,9.14,8.9,9,564000
2024-05-16,9.08,9.3,8.75,9.18,556500
2024-05-17,9.25,9.5,8.9,9.26,421000
2024-05-20,9.35,9.8,9.09,9.71,1002000
2024-05-21,9.87,10.71,9.87,10.71,1190500
2024-05-22,10.31,11.71,10.31,11.71,1660000
2024-05-23,12.71,12.71,12.71,12.71,260500
2024-05-24,13.71,13.71,11.71,11.72,2503000
2024-05-27,12,12.55,11.25,12.21,984020
2024-05-29,12.45,13.21,12.01,13.21,1039049
2024-05-30,13.8,13.95,12.81,13.49,903788
2024-05-31,13.87,14.57,13.51,14.57,1120481
2024-06-03,15.5,15.74,14.22,15.74,2345239
2024-06-04,16,17,15.85,16.96,3578674
2024-06-05,18.3,18.32,15.67,16.32,2322496
2024-06-06,16.6,16.64,15.01,15.01,1188941
2024-06-07,14.51,15.39,13.81,14.9,1750468
2024-06-10,15,16,14.9,15.46,714182
