date,open,high,low,close,volume
2024-01-17,3.85,3.94,3.77,3.82,307000
2024-01-18,3.82,3.82,3.62,3.73,616000
2024-01-19,3.98,3.98,3.67,3.72,263000
2024-01-22,3.73,3.9,3.67,3.87,863000
2024-01-23,3.9,4,3.86,3.96,318500
2024-01-24,3.9,3.95,3.85,3.88,399000
2024-01-25,3.89,3.9,3.77,3.79,652000
2024-01-26,3.76,3.8,3.67,3.69,350000
2024-01-29,3.65,3.65,3.16,3.28,1411500
2024-01-30,3.34,3.58,3.15,3.29,969500
2024-01-31,3.26,3.39,3.2,3.22,787000
2024-02-01,3.23,3.25,3.15,3.21,102000
2024-02-02,3.19,3.35,3.19,3.24,216500
2024-02-06,3.3,3.49,3.25,3.38,527500
2024-02-07,3.45,3.56,3.44,3.47,483000
2024-02-09,3.3,3.55,3.3,3.43,444500
2024-02-12,3.56,3.56,3.23,3.28,363500
2024-02-13,3.25,3.3,3.12,3.25,333000
2024-02-14,3.27,3.43,3.27,3.34,183000
2024-02-15,3.43,3.43,3.21,3.22,413500
2024-02-16,3.35,3.35,3.07,3.12,134500
2024-02-19,3.31,3.31,3.15,3.2,236000
2024-02-20,3.12,3.37,3.08,3.1,369500
2024-02-21,3.16,3.39,3.16,3.27,446500
2024-02-22,3.4,3.46,3.35,3.38,782000
2024-02-23,3.45,4.3,3.44,4.12,16722000
2024-02-26,4.21,4.25,3.84,3.9,4559000
2024-02-27,3.78,3.9,3.73,3.76,1009500
2024-02-28,3.9,3.97,3.77,3.83,761000
2024-02-29,3.78,4,3.7,3.75,1438500
2024-03-01,3.75,4.14,3.71,3.98,3099500
2024-03-04,4.19,4.22,4.02,4.09,3699000
2024-03-05,4.14,4.14,3.91,3.93,978500
2024-03-06,3.91,4.19,3.86,3.89,1287500
2024-03-07,3.86,3.86,3.75,3.79,626500
2024-03-08,3.85,4.05,3.8,3.9,1173500
2024-03-11,3.9,3.99,3.65,3.74,1056000
2024-03-12,3.9,3.9,3.62,3.65,420500
2024-03-13,3.66,3.78,3.5,3.52,413000
2024-03-14,3.65,3.72,3.55,3.69,463000
2024-03-15,3.69,3.75,3.6,3.63,383500
2024-03-18,3.6,3.69,3.58,3.62,174000
2024-03-19,3.66,3.7,3.6,3.64,302500
2024-03-20,3.65,3.85,3.65,3.67,776500
2024-03-21,3.7,3.75,3.54,3.6,583000
2024-03-22,3.54,3.6,3.5,3.51,247000
2024-03-25,3.63,3.63,3.48,3.56,152000
2024-03-26,3.5,3.55,3.4,3.47,1078500
2024-03-27,3.5,3.5,3.3,3.35,1057000
2024-03-28,3.4,3.49,3.35,3.37,830500
2024-03-29,3.48,3.48,3.36,3.4,342500
2024-04-01,3.44,3.53,3.39,3.4,261500
2024-04-02,3.38,3.41,3.3,3.4,446500
2024-04-03,3.45,3.47,3.36,3.44,342000
2024-04-04,3.48,3.54,3.43,3.45,274000
2024-04-08,3.5,3.53,3.42,3.49,103000
2024-04-09,3.45,3.55,3.43,3.45,130500
2024-04-15,3.41,3.46,3.38,3.4,532000
2024-04-16,3.45,3.71,3.45,3.66,1752500
2024-04-17,3.69,3.79,3.6,3.69,1466000
2024-04-18,3.6,3.8,3.56,3.6,782500
2024-04-19,3.7,3.78,3.56,3.75,2735500
2024-04-22,3.78,3.91,3.73,3.8,1620000
2024-04-23,3.76,3.81,3.6,3.63,391000
2024-04-24,3.67,3.76,3.63,3.65,804000
2024-04-25,3.66,3.8,3.62,3.63,960500
2024-04-26,3.63,3.69,3.5,3.53,555500
2024-04-29,3.55,3.69,3.45,3.46,637000
2024-04-30,3.46,3.5,3.36,3.4,1189500
2024-05-02,3.49,3.49,3.28,3.29,251500
2024-05-03,3.3,3.43,3.25,3.37,482500
2024-05-06,3.48,3.55,3.36,3.49,1117000
2024-05-07,3.54,3.57,3.4,3.42,275500
2024-05-08,3.42,3.5,3.34,3.39,529000
2024-05-09,3.32,3.45,3.3,3.38,552500
2024-05-10,3.44,3.66,3.38,3.52,2392000
2024-05-13,3.53,3.72,3.49,3.58,1778148
2024-05-14,3.63,3.7,3.6,3.64,1420849
2024-05-15,3.64,3.69,3.53,3.55,191048
2024-05-16,3.55,3.59,3.5,3.51,162782
2024-05-17,3.55,3.88,3.55,3.67,4201167
2024-05-20,3.73,3.77,3.5,3.57,813902
2024-05-21,3.58,3.69,3.49,3.53,474568
2024-05-22,3.59,3.65,3.46,3.49,1683173
2024-05-23,3.53,4.02,3.49,3.87,7665716
2024-05-24,3.9,4,3.75,3.8,5398479
2024-05-27,3.82,3.82,3.68,3.71,954654
2024-05-29,3.76,3.76,3.5,3.52,898605
2024-05-30,3.52,3.59,3.48,3.52,919879
2024-05-31,3.55,3.69,3.51,3.6,447535
2024-06-03,3.63,3.78,3.51,3.64,911286
2024-06-04,3.66,3.69,3.55,3.56,594319
2024-06-05,3.54,3.63,3.51,3.52,688703
2024-06-06,3.6,3.94,3.5,3.64,5893039
2024-06-07,3.84,3.9,3.56,3.79,4066444
2024-06-10,3.73,3.97,3.6,3.62,1314654
