date,open,high,low,close,volume
2025-03-03,15.94,15.94,15.5,15.8,978757
2025-03-04,15.99,16.2,15.5,15.98,523008
2025-03-05,16.0,16.4,15.85,15.95,234278
2025-03-06,16.2,16.2,15.76,15.88,187095
2025-03-07,16.0,16.13,15.13,15.23,994573
2025-03-10,15.3,16.1,15.3,16.02,798487
2025-03-11,16.2,16.92,15.75,16.58,1501268
2025-03-12,16.75,16.94,16.3,16.45,773835
2025-03-13,16.69,16.8,16.15,16.17,418863
2025-03-14,16.3,16.38,16.02,16.16,255699
2025-03-17,16.02,16.25,15.9,15.96,549972
2025-03-18,16.0,16.0,15.75,15.82,302526
2025-03-19,15.85,16.0,15.65,15.72,338738
2025-03-20,15.72,16.0,15.7,15.81,145089
2025-03-21,15.74,15.87,15.5,15.59,214094
2025-03-24,15.6,15.99,15.2,15.35,394256
2025-03-25,15.26,15.5,15.15,15.33,238285
2025-03-26,15.33,16.0,15.23,15.42,226031
2025-03-27,15.9,15.9,15.21,15.26,406918
2025-04-03,15.3,15.4,14.9,14.99,446005
2025-04-04,14.99,15.18,14.9,14.91,280583
2025-04-07,14.71,14.99,13.44,14.54,195521
2025-04-08,14.5,14.51,13.9,13.96,761566
2025-04-09,14.19,14.19,13.9,14.14,135547
2025-04-10,14.25,14.9,14.25,14.52,927360
2025-04-11,14.67,14.99,14.3,14.37,246684
2025-04-14,14.37,14.5,14.03,14.28,664276
2025-04-15,14.49,14.74,14.0,14.38,1171628
2025-04-16,14.3,14.5,14.15,14.39,49702
2025-04-17,14.49,14.63,14.16,14.49,153710
2025-04-18,14.53,14.54,14.11,14.32,322186
2025-04-21,14.32,15.75,14.32,15.65,1754751
2025-04-22,16.24,16.4,15.55,16.04,1736787
2025-04-23,16.3,16.3,15.6,15.74,364843
2025-04-24,15.03,15.8,14.95,15.11,121167
2025-04-25,15.39,15.4,14.9,15.0,134604
2025-04-28,15.24,15.95,15.01,15.48,2221591
2025-04-29,15.65,16.35,15.2,15.33,1705844
2025-04-30,15.8,16.5,15.4,16.25,2397826
2025-05-02,16.5,17.4,16.42,16.59,5276268
2025-05-05,16.69,16.95,16.01,16.53,3754571
2025-05-06,16.95,16.95,16.45,16.61,3115055
2025-05-07,15.3,16.19,15.3,15.48,1291204
2025-05-08,15.49,15.88,13.93,14.01,932281
2025-05-09,14.02,15.41,13.27,15.09,1706967
2025-05-12,16.25,16.4,15.77,16.26,1795860
2025-05-13,16.26,16.26,14.9,15.62,709130
2025-05-14,15.65,16.37,15.5,16.07,3192401
2025-05-15,15.83,16.55,15.83,16.11,2238349
2025-05-16,16.11,16.19,15.75,15.89,940398
2025-05-19,16.12,16.5,15.89,15.99,819308
2025-05-20,15.92,16.4,15.92,16.16,358083
2025-05-21,15.95,16.28,15.86,16.13,535588
2025-05-22,16.25,16.63,16.13,16.21,3890395
2025-05-23,16.2,16.4,16.0,16.08,533006
2025-05-26,16.07,16.3,15.76,15.9,1870148
2025-05-27,15.93,15.95,15.5,15.77,995013
2025-05-29,15.67,16.3,15.6,16.0,966251
2025-05-30,16.19,16.2,16.0,16.15,373954
2025-06-02,16.4,16.65,16.0,16.18,1348641
2025-06-03,15.91,16.28,15.8,15.98,494225
2025-06-04,15.92,16.18,15.81,16.0,496933
2025-06-05,15.86,16.05,15.86,15.92,252952
2025-06-10,15.92,16.1,15.65,15.86,701426
2025-06-11,16.0,16.18,15.86,16.06,454797
2025-06-12,15.75,16.25,15.6,15.66,651405
2025-06-13,15.47,15.98,14.17,15.4,177787
2025-06-16,15.5,15.78,15.4,15.44,357970
2025-06-17,15.45,15.8,15.1,15.3,629831
2025-06-18,15.49,15.6,15.15,15.48,262979
2025-06-19,15.22,15.68,15.0,15.25,340350
2025-06-20,15.41,15.6,15.11,15.49,80287
